seed	unit_substitution_rate	array_fragments	fragment_gap_bp	locate_identity_model	locate_min_identity	coverage	substitution_rate	read_length	assembly_fraction	family_id	truth_assembly_read_ratio	truth_underrepresented	predicted_assembly_read_ratio	native_status	predicted_underrepresented	outcome
5501	0.01	1	500	iid_base	0.9	1	0	5000	1	f1	1.0	False	0.5914	possible_collapse	True	FP
5501	0.01	1	500	iid_base	0.9	1	0	5000	1	f2	1.0	False	0.945	consistent	False	TN
5501	0.01	1	500	iid_base	0.9	1	0	5000	1	f3	1.0	False	1.435	consistent	False	TN
5501	0.01	1	500	iid_base	0.9	1	0	5000	0.75	f1	0.75	False	0.4437	possible_collapse	True	FP
5501	0.01	1	500	iid_base	0.9	1	0	5000	0.75	f2	0.75	False	0.7091	consistent	False	TN
5501	0.01	1	500	iid_base	0.9	1	0	5000	0.75	f3	0.75	False	1.0761	consistent	False	TN
5501	0.01	1	500	iid_base	0.9	1	0	5000	0.5	f1	0.5	True	0.294	possible_collapse	True	TP
5501	0.01	1	500	iid_base	0.9	1	0	5000	0.5	f2	0.5	True	0.4727	possible_collapse	True	TP
5501	0.01	1	500	iid_base	0.9	1	0	5000	0.5	f3	0.5	True	0.7175	consistent	False	FN
5501	0.01	1	500	iid_base	0.9	1	0	5000	0.25	f1	0.25	True	0.1482	possible_collapse	True	TP
5501	0.01	1	500	iid_base	0.9	1	0	5000	0.25	f2	0.25	True	0.2364	possible_collapse	True	TP
5501	0.01	1	500	iid_base	0.9	1	0	5000	0.25	f3	0.25	True	0.3586	possible_collapse	True	TP
5501	0.01	1	500	iid_base	0.9	1	0	5000	0	f1	0.0	True	0.0	reads_only	True	TP
5501	0.01	1	500	iid_base	0.9	1	0	5000	0	f2	0.0	True	0.0	reads_only	True	TP
5501	0.01	1	500	iid_base	0.9	1	0	5000	0	f3	0.0	True	0.0	reads_only	True	TP
5501	0.01	1	500	iid_base	0.9	1	0.001	5000	1	f1	1.0	False	0.6093	consistent	False	TN
5501	0.01	1	500	iid_base	0.9	1	0.001	5000	1	f2	1.0	False	0.9678	consistent	False	TN
5501	0.01	1	500	iid_base	0.9	1	0.001	5000	1	f3	1.0	False	1.4665	consistent	False	TN
5501	0.01	1	500	iid_base	0.9	1	0.001	5000	0.75	f1	0.75	False	0.4571	possible_collapse	True	FP
5501	0.01	1	500	iid_base	0.9	1	0.001	5000	0.75	f2	0.75	False	0.7262	consistent	False	TN
5501	0.01	1	500	iid_base	0.9	1	0.001	5000	0.75	f3	0.75	False	1.0996	consistent	False	TN
5501	0.01	1	500	iid_base	0.9	1	0.001	5000	0.5	f1	0.5	True	0.3029	possible_collapse	True	TP
5501	0.01	1	500	iid_base	0.9	1	0.001	5000	0.5	f2	0.5	True	0.4841	possible_collapse	True	TP
