unit_substitution_rate	array_fragments	coverage	substitution_rate	family_observations	mean_signed_relative_error	median_absolute_relative_error	mean_absolute_relative_error	interval_empirical_coverage	mean_interval_relative_width	mean_oracle_relative_error	mean_estimator_minus_oracle
0.01	1	1	0	9	-0.007818333333333316	0.15382499999999996	0.2536933333333333	0.2222222222222222	0.15651472222222224	0.21142274219076762	-0.21924107552410094
0.01	1	1	0.001	9	-0.032152777777777766	0.20359999999999995	0.25314027777777776	0.2222222222222222	0.17504208333333335	0.21142274219076762	-0.2435755199685454
0.01	1	1	0.01	9	-0.17788291666666667	0.253375	0.28649402777777777	0.1111111111111111	0.16481055555555554	0.21142274219076762	-0.3893056588574343
0.01	1	5	0	9	-0.25212419444444445	0.21710624999999997	0.27891641666666667	0	0.09654866666666666	-0.08580812012745223	-0.16631607431699222
0.01	1	5	0.001	9	-0.27018891666666667	0.23211374999999998	0.2903111388888889	0	0.09999483333333332	-0.08580812012745223	-0.18438079653921444
0.01	1	5	0.01	9	-0.3940295833333333	0.36968375	0.3940295833333333	0	0.09243519444444447	-0.08580812012745223	-0.3082214632058811
0.01	1	20	0	9	-0.18461838888888887	0.159328	0.18461838888888887	0	0.10534530555555553	-0.006191759901129616	-0.17842662898775927
0.01	1	20	0.001	9	-0.20273869444444445	0.1768365	0.20273869444444445	0	0.10509358333333335	-0.006191759901129616	-0.19654693454331482
0.01	1	20	0.01	9	-0.3410996388888889	0.31740700000000005	0.3410996388888889	0	0.09336572222222222	-0.006191759901129616	-0.3349078789877593
0.01	3	1	0	9	-0.022341249999999997	0.17470625	0.25005486111111114	0.2222222222222222	0.19564402777777778	0.18624200757347759	-0.2085832575734776
0.01	3	1	0.001	9	-0.045077500000000006	0.19160000000000005	0.2525811111111111	0.2222222222222222	0.21613472222222221	0.18624200757347759	-0.23131950757347758
0.01	3	1	0.01	9	-0.20563472222222223	0.29264999999999997	0.2865625	0.2222222222222222	0.21332777777777778	0.18624200757347759	-0.3918767297956998
0.01	3	5	0	9	-0.2134995277777778	0.22861850000000003	0.2803095277777778	0	0.13417797222222222	-0.03730343767384978	-0.176196090103928
0.01	3	5	0.001	9	-0.2318419722222222	0.2436255	0.2919819722222222	0.1111111111111111	0.14418305555555555	-0.03730343767384978	-0.19453853454837242
0.01	3	5	0.01	9	-0.3642410555555556	0.34967875	0.37769105555555554	0.1111111111111111	0.12300477777777778	-0.03730343767384978	-0.3269376178817058
0.01	3	20	0	9	-0.16758800000000004	0.184595	0.167698	0.2222222222222222	0.1409025833333333	0.02039995234729288	-0.1879879523472929
0.01	3	20	0.001	9	-0.18451280555555555	0.20160499999999998	0.18451280555555555	0.2222222222222222	0.14186277777777778	0.02039995234729288	-0.20491275790284844
0.01	3	20	0.01	9	-0.32665338888888884	0.339675	0.32665338888888884	0	0.11655805555555554	0.02039995234729288	-0.34705334123618176
0.03	1	1	0	9	-0.37615333333333334	0.44252	0.37615333333333334	0.2222222222222222	0.2524698611111111	0.21142274219076762	-0.587576075524101
0.03	1	1	0.001	9	-0.38610833333333333	0.452475	0.38610833333333333	0.2222222222222222	0.2574473611111111	0.21142274219076762	-0.597531075524101
0.03	1	1	0.01	9	-0.4685136111111111	0.50225	0.4685136111111111	0.1111111111111111	0.22315791666666665	0.21142274219076762	-0.6799363533018787
0.03	1	5	0	9	-0.5363785	0.48974375	0.5363785	0	0.1499083611111111	-0.08580812012745223	-0.4505703798725478
0.03	1	5	0.001	9	-0.5514415833333334	0.5072525	0.5514415833333334	0	0.14512825000000001	-0.08580812012745223	-0.4656334632058811
0.03	1	5	0.01	9	-0.621977	0.57978875	0.621977	0	0.12739699999999998	-0.08580812012745223	-0.5361688798725478
0.03	1	20	0	9	-0.49513527777777777	0.47223499999999996	0.49513527777777777	0	0.1617062777777778	-0.006191759901129616	-0.4889435178766482
0.03	1	20	0.001	9	-0.5059882777777778	0.47973999999999994	0.5059882777777778	0	0.158719	-0.006191759901129616	-0.49979651787664814
0.03	1	20	0.01	9	-0.5874598888888889	0.569785	0.5874598888888889	0	0.13209458333333332	-0.006191759901129616	-0.5812681289877593
0.03	3	1	0	9	-0.39791041666666666	0.444225	0.40024375	0.1111111111111111	0.26273	0.18624200757347759	-0.5841524242401442
0.03	3	1	0.001	9	-0.41924319444444447	0.444225	0.41924319444444447	0.1111111111111111	0.2621686111111111	0.18624200757347759	-0.605485202017922
0.03	3	1	0.01	9	-0.5003638888888888	0.545275	0.5003638888888888	0.1111111111111111	0.2515022222222222	0.18624200757347759	-0.6866058964623665
0.03	3	5	0	9	-0.5214853055555555	0.48074300000000003	0.5214853055555555	0	0.16752750000000002	-0.03730343767384978	-0.48418186788170575
0.03	3	5	0.001	9	-0.5349364722222222	0.490748	0.5349364722222222	0	0.15735575000000002	-0.03730343767384978	-0.49763303454837243
0.03	3	5	0.01	9	-0.6096958888888888	0.5807925	0.6096958888888888	0	0.14546069444444445	-0.03730343767384978	-0.5723924512150391
0.03	3	20	0	9	-0.48573144444444444	0.482245	0.48573144444444444	0	0.17247394444444442	0.02039995234729288	-0.5061313967917374
0.03	3	20	0.001	9	-0.4978346388888889	0.49974999999999997	0.4978346388888889	0	0.16710994444444444	0.02039995234729288	-0.5182345912361818
0.03	3	20	0.01	9	-0.5857673333333333	0.587295	0.5857673333333333	0	0.13859705555555557	0.02039995234729288	-0.6061672856806262
0.05	1	1	0	9	-0.56944625	0.591845	0.56944625	0	0.2275823611111111	0.21142274219076762	-0.7808689921907677
0.05	1	1	0.001	9	-0.5849318055555556	0.6018	0.5849318055555556	0	0.22951805555555554	0.21142274219076762	-0.7963545477463232
0.05	1	1	0.01	9	-0.6366425	0.6665075	0.6366425	0	0.2054601388888889	0.21142274219076762	-0.8480652421907676
0.05	1	5	0	9	-0.6857866666666667	0.655827	0.6857866666666667	0	0.13995883333333334	-0.08580812012745223	-0.5999785465392145
0.05	1	5	0.001	9	-0.696014	0.6618299999999999	0.696014	0	0.13645713888888888	-0.08580812012745223	-0.6102058798725477
0.05	1	5	0.01	9	-0.7485404166666667	0.729865	0.7485404166666667	0	0.12189483333333333	-0.08580812012745223	-0.6627322965392144
0.05	1	20	0	9	-0.6509634166666667	0.6460725	0.6509634166666667	0	0.15560530555555557	-0.006191759901129616	-0.644771656765537
0.05	1	20	0.001	9	-0.6605791944444445	0.6554525	0.6605791944444445	0	0.15299352777777778	-0.006191759901129616	-0.6543874345433148
0.05	1	20	0.01	9	-0.7179280277777778	0.7167325	0.7179280277777778	0	0.1280637222222222	-0.006191759901129616	-0.7117362678766481
0.05	3	1	0	9	-0.5924316666666667	0.6210625000000001	0.5924316666666667	0	0.2158540277777778	0.18624200757347759	-0.7786736742401442
0.05	3	1	0.001	9	-0.60337875	0.63369375	0.60337875	0	0.2110822222222222	0.18624200757347759	-0.7896207575734776
0.05	3	1	0.01	9	-0.6687805555555556	0.6968500000000001	0.6687805555555556	0	0.1863811111111111	0.18624200757347759	-0.8550225631290331
0.05	3	5	0	9	-0.6761724166666667	0.6638335000000001	0.6761724166666667	0	0.14040236111111112	-0.03730343767384978	-0.6388689789928169
0.05	3	5	0.001	9	-0.682898	0.6698365	0.682898	0	0.13339900000000002	-0.03730343767384978	-0.6455945623261502
0.05	3	5	0.01	9	-0.7421498333333333	0.726865	0.7421498333333333	0	0.11205583333333334	-0.03730343767384978	-0.7048463956594835
0.05	3	20	0	9	-0.6547184166666666	0.6480760000000001	0.6547184166666666	0	0.1516856111111111	0.02039995234729288	-0.6751183690139595
0.05	3	20	0.001	9	-0.6619994166666667	0.6553295	0.6619994166666667	0	0.14737877777777778	0.02039995234729288	-0.6823993690139596
0.05	3	20	0.01	9	-0.72105675	0.7141084999999999	0.72105675	0	0.12049	0.02039995234729288	-0.7414567023472929
