seed	unit_substitution_rate	array_fragments	fragment_gap_bp	locate_identity_model	locate_min_identity	assembly_fraction	family_id	true_assembly_bp	predicted_assembly_bp	overlap_bp	base_recall	base_precision	fragments	truth_fragments
5501	0.01	1	500	iid_base	0.9	1	f1	1220	1221	1220	1.0	0.9991809991809992	1	1
5501	0.01	1	500	iid_base	0.9	1	f2	13680	13674	13674	0.999561403508772	1.0	1	1
5501	0.01	1	500	iid_base	0.9	1	f3	84200	84201	84200	1.0	0.9999881236564886	1	1
5501	0.01	1	500	iid_base	0.9	0.75	f1	915	916	915	1.0	0.9989082969432315	1	1
5501	0.01	1	500	iid_base	0.9	0.75	f2	10260	10260	10260	1.0	1.0	1	1
5501	0.01	1	500	iid_base	0.9	0.75	f3	63150	63137	63136	0.999778305621536	0.9999841614267386	1	1
5501	0.01	1	500	iid_base	0.9	0.5	f1	610	607	607	0.9950819672131147	1.0	1	1
5501	0.01	1	500	iid_base	0.9	0.5	f2	6840	6840	6840	1.0	1.0	1	1
5501	0.01	1	500	iid_base	0.9	0.5	f3	42100	42101	42100	1.0	0.999976247595069	1	1
5501	0.01	1	500	iid_base	0.9	0.25	f1	305	306	305	1.0	0.9967320261437909	1	1
5501	0.01	1	500	iid_base	0.9	0.25	f2	3420	3420	3420	1.0	1.0	1	1
5501	0.01	1	500	iid_base	0.9	0.25	f3	21050	21042	21041	0.9995724465558194	0.9999524760003802	1	1
5501	0.01	1	500	iid_base	0.9	0	f1	0	0	0	NA	NA	0	0
5501	0.01	1	500	iid_base	0.9	0	f2	0	0	0	NA	NA	0	0
5501	0.01	1	500	iid_base	0.9	0	f3	0	0	0	NA	NA	0	0
5501	0.01	3	500	iid_base	0.9	1	f1	1220	1224	1218	0.9983606557377049	0.9950980392156863	3	3
5501	0.01	3	500	iid_base	0.9	1	f2	13680	13675	13674	0.999561403508772	0.999926873857404	3	3
5501	0.01	3	500	iid_base	0.9	1	f3	84200	84202	84200	1.0	0.999976247595069	3	3
5501	0.01	3	500	iid_base	0.9	0.75	f1	915	918	912	0.9967213114754099	0.9934640522875817	3	3
5501	0.01	3	500	iid_base	0.9	0.75	f2	10260	10261	10260	1.0	0.9999025436117337	3	3
5501	0.01	3	500	iid_base	0.9	0.75	f3	63150	63129	63127	0.9996357878068092	0.9999683188392022	3	3
5501	0.01	3	500	iid_base	0.9	0.5	f1	610	612	607	0.9950819672131147	0.9918300653594772	3	3
5501	0.01	3	500	iid_base	0.9	0.5	f2	6840	6841	6840	1.0	0.9998538225405642	3	3
5501	0.01	3	500	iid_base	0.9	0.5	f3	42100	42102	42100	1.0	0.9999524963184647	3	3
5501	0.01	3	500	iid_base	0.9	0.25	f1	305	293	289	0.9475409836065574	0.9863481228668942	3	3
5501	0.01	3	500	iid_base	0.9	0.25	f2	3420	3400	3399	0.993859649122807	0.9997058823529412	3	3
