seed	unit_substitution_rate	array_fragments	fragment_gap_bp	coverage	substitution_rate	assembly_fraction	family_id	truth_assembly_read_ratio	truth_underrepresented	assembly_predicted_bp	period	estimated_haploid_depth	method	read_estimated_copies	read_estimated_bp	predicted_assembly_read_ratio	native_status	predicted_underrepresented	outcome	fit_status	decision_threshold
5501	0.01	1	500	1	0	1	f1	1.0	False	1221.0	61	1.0045	single_k21	33.847	2064.667	0.5913786581564969	possible_collapse	True	FP	single_k_baseline	0.6
5501	0.01	1	500	1	0	1	f1	1.0	False	1221.0	61	1.0045	multik_loglinear	40.19119733103165	2451.663037192931	0.4980292892933617	possible_collapse	True	FP	experimental_log_linear_extrapolation	0.6
5501	0.01	1	500	1	0	1	f2	1.0	False	13674.0	171	1.0045	single_k21	84.6175	14469.5925	0.9450162470021184	consistent	False	TN	single_k_baseline	0.6
5501	0.01	1	500	1	0	1	f2	1.0	False	13674.0	171	1.0045	multik_loglinear	104.52092463585943	17873.078112731964	0.7650612789667868	consistent	False	TN	experimental_log_linear_extrapolation	0.6
5501	0.01	1	500	1	0	1	f3	1.0	False	84201.0	421	1.0045	single_k21	139.37	58674.770000000004	1.4350461024389187	consistent	False	TN	single_k_baseline	0.6
5501	0.01	1	500	1	0	1	f3	1.0	False	84201.0	421	1.0045	multik_loglinear	172.42788896262635	72592.1412532657	1.1599189464081563	consistent	False	TN	experimental_log_linear_extrapolation	0.6
5501	0.01	1	500	1	0	0.75	f1	0.75	False	916.0	61	1.0045	single_k21	33.847	2064.667	0.44365507851871516	possible_collapse	True	FP	single_k_baseline	0.6
5501	0.01	1	500	1	0	0.75	f1	0.75	False	916.0	61	1.0045	multik_loglinear	40.19119733103165	2451.663037192931	0.3736239385689757	possible_collapse	True	FP	experimental_log_linear_extrapolation	0.6
5501	0.01	1	500	1	0	0.75	f2	0.75	False	10260.0	171	1.0045	single_k21	84.6175	14469.5925	0.7090731822613525	consistent	False	TN	single_k_baseline	0.6
5501	0.01	1	500	1	0	0.75	f2	0.75	False	10260.0	171	1.0045	multik_loglinear	104.52092463585943	17873.078112731964	0.5740477345472599	possible_collapse	True	FP	experimental_log_linear_extrapolation	0.6
5501	0.01	1	500	1	0	0.75	f3	0.75	False	63137.0	421	1.0045	single_k21	139.37	58674.770000000004	1.076050234197765	consistent	False	TN	single_k_baseline	0.6
5501	0.01	1	500	1	0	0.75	f3	0.75	False	63137.0	421	1.0045	multik_loglinear	172.42788896262635	72592.1412532657	0.8697497953631401	consistent	False	TN	experimental_log_linear_extrapolation	0.6
5501	0.01	1	500	1	0	0.5	f1	0.5	True	607.0	61	1.0045	single_k21	33.847	2064.667	0.29399414045945427	possible_collapse	True	TP	single_k_baseline	0.6
5501	0.01	1	500	1	0	0.5	f1	0.5	True	607.0	61	1.0045	multik_loglinear	40.19119733103165	2451.663037192931	0.24758704226131906	possible_collapse	True	TP	experimental_log_linear_extrapolation	0.6
5501	0.01	1	500	1	0	0.5	f2	0.5	True	6840.0	171	1.0045	single_k21	84.6175	14469.5925	0.47271545484090166	possible_collapse	True	TP	single_k_baseline	0.6
5501	0.01	1	500	1	0	0.5	f2	0.5	True	6840.0	171	1.0045	multik_loglinear	104.52092463585943	17873.078112731964	0.38269848969817327	possible_collapse	True	TP	experimental_log_linear_extrapolation	0.6
5501	0.01	1	500	1	0	0.5	f3	0.5	True	42101.0	421	1.0045	single_k21	139.37	58674.770000000004	0.7175315727696929	consistent	False	FN	single_k_baseline	0.6
5501	0.01	1	500	1	0	0.5	f3	0.5	True	42101.0	421	1.0045	multik_loglinear	172.42788896262635	72592.1412532657	0.5799663610020045	possible_collapse	True	TP	experimental_log_linear_extrapolation	0.6
5501	0.01	1	500	1	0	0.25	f1	0.25	True	306.0	61	1.0045	single_k21	33.847	2064.667	0.14820791924315158	possible_collapse	True	TP	single_k_baseline	0.6
5501	0.01	1	500	1	0	0.25	f1	0.25	True	306.0	61	1.0045	multik_loglinear	40.19119733103165	2451.663037192931	0.12481323712020367	possible_collapse	True	TP	experimental_log_linear_extrapolation	0.6
5501	0.01	1	500	1	0	0.25	f2	0.25	True	3420.0	171	1.0045	single_k21	84.6175	14469.5925	0.23635772742045083	possible_collapse	True	TP	single_k_baseline	0.6
5501	0.01	1	500	1	0	0.25	f2	0.25	True	3420.0	171	1.0045	multik_loglinear	104.52092463585943	17873.078112731964	0.19134924484908664	possible_collapse	True	TP	experimental_log_linear_extrapolation	0.6
