panel	metric	dataset	method	unit_substitution_rate	array_fragments	assembly_fraction	value	numerator	denominator
A	failed_development	NA	NA	NA	NA	NA	3.0	3	3
A	selected_development	NA	NA	NA	NA	NA	3.0	3	3
A	held-out_genomes	NA	NA	NA	NA	NA	3.0	3	3
A	array_scenarios	NA	NA	NA	NA	NA	6.0	6	6
A	held-out_commands	NA	NA	NA	NA	NA	1062.0	1062	1062
B	mean_full_assembly_base_recall	development_v1	NA	0.01	1	1	0.9979325127642574	9	9
B	mean_full_assembly_base_recall	development_v1	NA	0.03	1	1	0.947102318800779	9	9
B	mean_full_assembly_base_recall	development_v1	NA	0.05	1	1	0.7885068085823012	9	9
B	mean_full_assembly_base_recall	development_v1	NA	0.01	3	1	0.9932477067374771	9	9
B	mean_full_assembly_base_recall	development_v1	NA	0.03	3	1	0.9348220669736116	9	9
B	mean_full_assembly_base_recall	development_v1	NA	0.05	3	1	0.7600342918168352	9	9
B	mean_full_assembly_base_recall	development_v2	NA	0.01	1	1	0.9984102113654715	9	9
B	mean_full_assembly_base_recall	development_v2	NA	0.03	1	1	0.9827615512377217	9	9
B	mean_full_assembly_base_recall	development_v2	NA	0.05	1	1	0.9648568477455147	9	9
B	mean_full_assembly_base_recall	development_v2	NA	0.01	3	1	0.9937254053386911	9	9
B	mean_full_assembly_base_recall	development_v2	NA	0.03	3	1	0.9735979937686504	9	9
B	mean_full_assembly_base_recall	development_v2	NA	0.05	3	1	0.9410169119880119	9	9
B	mean_full_assembly_base_recall	heldout	NA	0.01	1	1	0.9998070013381302	9	9
B	mean_full_assembly_base_recall	heldout	NA	0.03	1	1	0.9883632814200946	9	9
B	mean_full_assembly_base_recall	heldout	NA	0.05	1	1	0.9744431427992453	9	9
B	mean_full_assembly_base_recall	heldout	NA	0.01	3	1	0.9992950962500147	9	9
B	mean_full_assembly_base_recall	heldout	NA	0.03	3	1	0.9750129564869966	9	9
B	mean_full_assembly_base_recall	heldout	NA	0.05	3	1	0.9492738666812203	9	9
C	mean_absolute_fragment_count_error	development_v1	NA	0.01	NA	1	0.7777777777777778	18	18
C	mean_absolute_fragment_count_error	development_v1	NA	0.03	NA	1	18.055555555555557	18	18
C	mean_absolute_fragment_count_error	development_v1	NA	0.05	NA	1	45.666666666666664	18	18
C	mean_absolute_fragment_count_error	development_v2	NA	0.01	NA	1	0.0	18	18
C	mean_absolute_fragment_count_error	development_v2	NA	0.03	NA	1	0.16666666666666666	18	18
C	mean_absolute_fragment_count_error	development_v2	NA	0.05	NA	1	0.3333333333333333	18	18
C	mean_absolute_fragment_count_error	heldout	NA	0.01	NA	1	0.0	18	18
C	mean_absolute_fragment_count_error	heldout	NA	0.03	NA	1	0.0	18	18
C	mean_absolute_fragment_count_error	heldout	NA	0.05	NA	1	0.16666666666666666	18	18
D	mean_base_recall	heldout	NA	0.01	NA	0.25	0.9922433973291389	18	18
D	mean_base_recall	heldout	NA	0.01	NA	0.5	0.9991487761612784	18	18
D	mean_base_recall	heldout	NA	0.01	NA	0.75	0.9996171825498966	18	18
D	mean_base_recall	heldout	NA	0.01	NA	1.0	0.9995510487940725	18	18
D	mean_base_recall	heldout	NA	0.03	NA	0.25	0.9492065262458556	18	18
D	mean_base_recall	heldout	NA	0.03	NA	0.5	0.9777348158957031	18	18
D	mean_base_recall	heldout	NA	0.03	NA	0.75	0.9857592737613419	18	18
D	mean_base_recall	heldout	NA	0.03	NA	1.0	0.9816881189535456	18	18
D	mean_base_recall	heldout	NA	0.05	NA	0.25	0.9179738377538035	18	18
D	mean_base_recall	heldout	NA	0.05	NA	0.5	0.9608660709941503	18	18
D	mean_base_recall	heldout	NA	0.05	NA	0.75	0.9746479380556045	18	18
D	mean_base_recall	heldout	NA	0.05	NA	1.0	0.9618585047402328	18	18
E	mean_absolute_relative_assembly_bp_error	heldout	NA	0.01	NA	0.25	0.007571814089592611	18	18
E	mean_absolute_relative_assembly_bp_error	heldout	NA	0.01	NA	0.5	0.00092453009520341	18	18
E	mean_absolute_relative_assembly_bp_error	heldout	NA	0.01	NA	0.75	0.0005659828860918887	18	18
E	mean_absolute_relative_assembly_bp_error	heldout	NA	0.01	NA	1.0	0.0006698353611748523	18	18
E	mean_absolute_relative_assembly_bp_error	heldout	NA	0.03	NA	0.25	0.05020621037961662	18	18
E	mean_absolute_relative_assembly_bp_error	heldout	NA	0.03	NA	0.5	0.022037145518012665	18	18
E	mean_absolute_relative_assembly_bp_error	heldout	NA	0.03	NA	0.75	0.01395102329166036	18	18
E	mean_absolute_relative_assembly_bp_error	heldout	NA	0.03	NA	1.0	0.018214765872499903	18	18
E	mean_absolute_relative_assembly_bp_error	heldout	NA	0.05	NA	0.25	0.08179264072145832	18	18
E	mean_absolute_relative_assembly_bp_error	heldout	NA	0.05	NA	0.5	0.03913128978705824	18	18
E	mean_absolute_relative_assembly_bp_error	heldout	NA	0.05	NA	0.75	0.025230629036077395	18	18
E	mean_absolute_relative_assembly_bp_error	heldout	NA	0.05	NA	1.0	0.03803625792856772	18	18
F	sensitivity	NA	single_k21	NA	NA	NA	0.6001371742112482	875	1458
F	false_positive_rate	NA	single_k21	NA	NA	NA	0.012345679012345678	12	972
F	precision	NA	single_k21	NA	NA	NA	0.9864712514092446	875	887
F	sensitivity	NA	multik_fallback_depth_rule	NA	NA	NA	0.9183813443072703	1339	1458
F	false_positive_rate	NA	multik_fallback_depth_rule	NA	NA	NA	0.08539094650205761	83	972
F	precision	NA	multik_fallback_depth_rule	NA	NA	NA	0.9416315049226441	1339	1422
