seed	coverage	substitution_rate	assembly_fraction	family_id	truth_assembly_read_ratio	truth_underrepresented	assembly_predicted_bp	period	estimated_haploid_depth	method	read_estimated_copies	read_estimated_bp	predicted_assembly_read_ratio	native_status	predicted_underrepresented	outcome	fit_status	decision_threshold
5201	1	0	1	f1	1.0	False	1220.0	61	1.0045	single_k21	19.91	1214.51	1.0045203415369162	consistent	False	TN	single_k_baseline	0.6
5201	1	0	1	f1	1.0	False	1220.0	61	1.0045	multik_loglinear	19.92549304272264	1215.455075606081	1.0037392779750849	consistent	False	TN	experimental_log_linear_extrapolation	0.6
5201	1	0	1	f2	1.0	False	13681.0	171	1.0045	single_k21	19.91	3404.61	4.018375085545775	possible_overexpansion	False	TN	single_k_baseline	0.6
5201	1	0	1	f2	1.0	False	13681.0	171	1.0045	multik_loglinear	20.48951130889193	3503.70643382052	3.904722115968469	possible_overexpansion	False	TN	experimental_log_linear_extrapolation	0.6
5201	1	0	1	f3	1.0	False	84200.0	421	1.0045	single_k21	199.1	83821.09999999999	1.0045203415369162	consistent	False	TN	single_k_baseline	0.6
5201	1	0	1	f3	1.0	False	84200.0	421	1.0045	multik_loglinear	199.08623124943855	83815.30335601362	1.0045898138953495	consistent	False	TN	experimental_log_linear_extrapolation	0.6
5201	1	0	0.75	f1	0.75	False	915.0	61	1.0045	single_k21	19.91	1214.51	0.7533902561526871	consistent	False	TN	single_k_baseline	0.6
5201	1	0	0.75	f1	0.75	False	915.0	61	1.0045	multik_loglinear	19.92549304272264	1215.455075606081	0.7528044584813137	consistent	False	TN	experimental_log_linear_extrapolation	0.6
5201	1	0	0.75	f2	0.75	False	10261.0	171	1.0045	single_k21	19.91	3404.61	3.0138547440088583	possible_overexpansion	False	TN	single_k_baseline	0.6
5201	1	0	0.75	f2	0.75	False	10261.0	171	1.0045	multik_loglinear	20.48951130889193	3503.70643382052	2.928612939986292	possible_overexpansion	False	TN	experimental_log_linear_extrapolation	0.6
5201	1	0	0.75	f3	0.75	False	63150.0	421	1.0045	single_k21	199.1	83821.09999999999	0.7533902561526872	consistent	False	TN	single_k_baseline	0.6
5201	1	0	0.75	f3	0.75	False	63150.0	421	1.0045	multik_loglinear	199.08623124943855	83815.30335601362	0.7534423604215122	consistent	False	TN	experimental_log_linear_extrapolation	0.6
5201	1	0	0.5	f1	0.5	True	610.0	61	1.0045	single_k21	19.91	1214.51	0.5022601707684581	possible_collapse	True	TP	single_k_baseline	0.6
5201	1	0	0.5	f1	0.5	True	610.0	61	1.0045	multik_loglinear	19.92549304272264	1215.455075606081	0.5018696389875424	possible_collapse	True	TP	experimental_log_linear_extrapolation	0.6
5201	1	0	0.5	f2	0.5	True	6841.0	171	1.0045	single_k21	19.91	3404.61	2.0093344024719424	possible_overexpansion	False	FN	single_k_baseline	0.6
5201	1	0	0.5	f2	0.5	True	6841.0	171	1.0045	multik_loglinear	20.48951130889193	3503.70643382052	1.952503764004115	possible_overexpansion	False	FN	experimental_log_linear_extrapolation	0.6
5201	1	0	0.5	f3	0.5	True	42100.0	421	1.0045	single_k21	199.1	83821.09999999999	0.5022601707684581	possible_collapse	True	TP	single_k_baseline	0.6
5201	1	0	0.5	f3	0.5	True	42100.0	421	1.0045	multik_loglinear	199.08623124943855	83815.30335601362	0.5022949069476748	possible_collapse	True	TP	experimental_log_linear_extrapolation	0.6
5201	1	0	0.25	f1	0.25	True	305.0	61	1.0045	single_k21	19.91	1214.51	0.25113008538422904	possible_collapse	True	TP	single_k_baseline	0.6
5201	1	0	0.25	f1	0.25	True	305.0	61	1.0045	multik_loglinear	19.92549304272264	1215.455075606081	0.2509348194937712	possible_collapse	True	TP	experimental_log_linear_extrapolation	0.6
5201	1	0	0.25	f2	0.25	True	3421.0	171	1.0045	single_k21	19.91	3404.61	1.0048140609350262	consistent	False	FN	single_k_baseline	0.6
5201	1	0	0.25	f2	0.25	True	3421.0	171	1.0045	multik_loglinear	20.48951130889193	3503.70643382052	0.9763945880219379	consistent	False	FN	experimental_log_linear_extrapolation	0.6
5201	1	0	0.25	f3	0.25	True	21050.0	421	1.0045	single_k21	199.1	83821.09999999999	0.25113008538422904	possible_collapse	True	TP	single_k_baseline	0.6
5201	1	0	0.25	f3	0.25	True	21050.0	421	1.0045	multik_loglinear	199.08623124943855	83815.30335601362	0.2511474534738374	possible_collapse	True	TP	experimental_log_linear_extrapolation	0.6
5201	1	0	0	f1	0.0	True	0.0	61	1.0045	single_k21	19.91	1214.51	0.0	reads_only	True	TP	single_k_baseline	0.6
5201	1	0	0	f1	0.0	True	0.0	61	1.0045	multik_loglinear	19.92549304272264	1215.455075606081	0.0	reads_only	True	TP	experimental_log_linear_extrapolation	0.6
5201	1	0	0	f2	0.0	True	0.0	171	1.0045	single_k21	19.91	3404.61	0.0	reads_only	True	TP	single_k_baseline	0.6
5201	1	0	0	f2	0.0	True	0.0	171	1.0045	multik_loglinear	20.48951130889193	3503.70643382052	0.0	reads_only	True	TP	experimental_log_linear_extrapolation	0.6
5201	1	0	0	f3	0.0	True	0.0	421	1.0045	single_k21	199.1	83821.09999999999	0.0	reads_only	True	TP	single_k_baseline	0.6
5201	1	0	0	f3	0.0	True	0.0	421	1.0045	multik_loglinear	199.08623124943855	83815.30335601362	0.0	reads_only	True	TP	experimental_log_linear_extrapolation	0.6
5201	1	0.001	1	f1	1.0	False	1220.0	61	1.0045	single_k21	19.91	1214.51	1.0045203415369162	consistent	False	TN	single_k_baseline	0.6
5201	1	0.001	1	f1	1.0	False	1220.0	61	1.0045	multik_loglinear	19.935916303501678	1216.0908945136023	1.0032144846277804	consistent	False	TN	experimental_log_linear_extrapolation	0.6
5201	1	0.001	1	f2	1.0	False	13681.0	171	1.0045	single_k21	19.91	3404.61	4.018375085545775	possible_overexpansion	False	TN	single_k_baseline	0.6
5201	1	0.001	1	f2	1.0	False	13681.0	171	1.0045	multik_loglinear	20.411184730669063	3490.31258894441	3.919706230133847	possible_overexpansion	False	TN	experimental_log_linear_extrapolation	0.6
5201	1	0.001	1	f3	1.0	False	84200.0	421	1.0045	single_k21	194.1225	81725.5725	1.030277273371196	consistent	False	TN	single_k_baseline	0.6
5201	1	0.001	1	f3	1.0	False	84200.0	421	1.0045	multik_loglinear	199.08354051427216	83814.17055650857	1.0046033915378463	consistent	False	TN	experimental_log_linear_extrapolation	0.6
5201	1	0.001	0.75	f1	0.75	False	915.0	61	1.0045	single_k21	19.91	1214.51	0.7533902561526871	consistent	False	TN	single_k_baseline	0.6
5201	1	0.001	0.75	f1	0.75	False	915.0	61	1.0045	multik_loglinear	19.935916303501678	1216.0908945136023	0.7524108634708353	consistent	False	TN	experimental_log_linear_extrapolation	0.6
5201	1	0.001	0.75	f2	0.75	False	10261.0	171	1.0045	single_k21	19.91	3404.61	3.0138547440088583	possible_overexpansion	False	TN	single_k_baseline	0.6
5201	1	0.001	0.75	f2	0.75	False	10261.0	171	1.0045	multik_loglinear	20.411184730669063	3490.31258894441	2.9398512994228057	possible_overexpansion	False	TN	experimental_log_linear_extrapolation	0.6
5201	1	0.001	0.75	f3	0.75	False	63150.0	421	1.0045	single_k21	194.1225	81725.5725	0.7727079550283971	consistent	False	TN	single_k_baseline	0.6
5201	1	0.001	0.75	f3	0.75	False	63150.0	421	1.0045	multik_loglinear	199.08354051427216	83814.17055650857	0.7534525436533847	consistent	False	TN	experimental_log_linear_extrapolation	0.6
5201	1	0.001	0.5	f1	0.5	True	610.0	61	1.0045	single_k21	19.91	1214.51	0.5022601707684581	possible_collapse	True	TP	single_k_baseline	0.6
5201	1	0.001	0.5	f1	0.5	True	610.0	61	1.0045	multik_loglinear	19.935916303501678	1216.0908945136023	0.5016072423138902	possible_collapse	True	TP	experimental_log_linear_extrapolation	0.6
5201	1	0.001	0.5	f2	0.5	True	6841.0	171	1.0045	single_k21	19.91	3404.61	2.0093344024719424	possible_overexpansion	False	FN	single_k_baseline	0.6
5201	1	0.001	0.5	f2	0.5	True	6841.0	171	1.0045	multik_loglinear	20.411184730669063	3490.31258894441	1.959996368711764	possible_overexpansion	False	FN	experimental_log_linear_extrapolation	0.6
5201	1	0.001	0.5	f3	0.5	True	42100.0	421	1.0045	single_k21	194.1225	81725.5725	0.515138636685598	possible_collapse	True	TP	single_k_baseline	0.6
5201	1	0.001	0.5	f3	0.5	True	42100.0	421	1.0045	multik_loglinear	199.08354051427216	83814.17055650857	0.5023016957689231	possible_collapse	True	TP	experimental_log_linear_extrapolation	0.6
5201	1	0.001	0.25	f1	0.25	True	305.0	61	1.0045	single_k21	19.91	1214.51	0.25113008538422904	possible_collapse	True	TP	single_k_baseline	0.6
5201	1	0.001	0.25	f1	0.25	True	305.0	61	1.0045	multik_loglinear	19.935916303501678	1216.0908945136023	0.2508036211569451	possible_collapse	True	TP	experimental_log_linear_extrapolation	0.6
5201	1	0.001	0.25	f2	0.25	True	3421.0	171	1.0045	single_k21	19.91	3404.61	1.0048140609350262	consistent	False	FN	single_k_baseline	0.6
5201	1	0.001	0.25	f2	0.25	True	3421.0	171	1.0045	multik_loglinear	20.411184730669063	3490.31258894441	0.9801414380007228	consistent	False	FN	experimental_log_linear_extrapolation	0.6
5201	1	0.001	0.25	f3	0.25	True	21050.0	421	1.0045	single_k21	194.1225	81725.5725	0.257569318342799	possible_collapse	True	TP	single_k_baseline	0.6
5201	1	0.001	0.25	f3	0.25	True	21050.0	421	1.0045	multik_loglinear	199.08354051427216	83814.17055650857	0.25115084788446157	possible_collapse	True	TP	experimental_log_linear_extrapolation	0.6
5201	1	0.001	0	f1	0.0	True	0.0	61	1.0045	single_k21	19.91	1214.51	0.0	reads_only	True	TP	single_k_baseline	0.6
5201	1	0.001	0	f1	0.0	True	0.0	61	1.0045	multik_loglinear	19.935916303501678	1216.0908945136023	0.0	reads_only	True	TP	experimental_log_linear_extrapolation	0.6
5201	1	0.001	0	f2	0.0	True	0.0	171	1.0045	single_k21	19.91	3404.61	0.0	reads_only	True	TP	single_k_baseline	0.6
5201	1	0.001	0	f2	0.0	True	0.0	171	1.0045	multik_loglinear	20.411184730669063	3490.31258894441	0.0	reads_only	True	TP	experimental_log_linear_extrapolation	0.6
5201	1	0.001	0	f3	0.0	True	0.0	421	1.0045	single_k21	194.1225	81725.5725	0.0	reads_only	True	TP	single_k_baseline	0.6
5201	1	0.001	0	f3	0.0	True	0.0	421	1.0045	multik_loglinear	199.08354051427216	83814.17055650857	0.0	reads_only	True	TP	experimental_log_linear_extrapolation	0.6
5201	1	0.01	1	f1	1.0	False	1220.0	61	1.0045	single_k21	15.928	971.6080000000001	1.255650426921145	consistent	False	TN	single_k_baseline	0.6
5201	1	0.01	1	f1	1.0	False	1220.0	61	1.0045	multik_loglinear	20.709948703255595	1263.3068708985913	0.9657194369030961	consistent	False	TN	experimental_log_linear_extrapolation	0.6
5201	1	0.01	1	f2	1.0	False	13681.0	171	1.0045	single_k21	15.928	2723.688	5.022968856932218	possible_overexpansion	False	TN	single_k_baseline	0.6
5201	1	0.01	1	f2	1.0	False	13681.0	171	1.0045	multik_loglinear	20.67472053726098	3535.377211871628	3.869742655482378	possible_overexpansion	False	TN	experimental_log_linear_extrapolation	0.6
5201	1	0.01	1	f3	1.0	False	84200.0	421	1.0045	single_k21	161.271	67895.091	1.2401485697986618	consistent	False	TN	single_k_baseline	0.6
5201	1	0.01	1	f3	1.0	False	84200.0	421	1.0045	multik_loglinear	199.3921765416776	83944.10632404627	1.0030483816810905	consistent	False	TN	experimental_log_linear_extrapolation	0.6
5201	1	0.01	0.75	f1	0.75	False	915.0	61	1.0045	single_k21	15.928	971.6080000000001	0.9417378201908588	consistent	False	TN	single_k_baseline	0.6
5201	1	0.01	0.75	f1	0.75	False	915.0	61	1.0045	multik_loglinear	20.709948703255595	1263.3068708985913	0.724289577677322	consistent	False	TN	experimental_log_linear_extrapolation	0.6
5201	1	0.01	0.75	f2	0.75	False	10261.0	171	1.0045	single_k21	15.928	2723.688	3.767318430011073	possible_overexpansion	False	TN	single_k_baseline	0.6
5201	1	0.01	0.75	f2	0.75	False	10261.0	171	1.0045	multik_loglinear	20.67472053726098	3535.377211871628	2.9023777054239224	possible_overexpansion	False	TN	experimental_log_linear_extrapolation	0.6
5201	1	0.01	0.75	f3	0.75	False	63150.0	421	1.0045	single_k21	161.271	67895.091	0.9301114273489964	consistent	False	TN	single_k_baseline	0.6
5201	1	0.01	0.75	f3	0.75	False	63150.0	421	1.0045	multik_loglinear	199.3921765416776	83944.10632404627	0.7522862862608178	consistent	False	TN	experimental_log_linear_extrapolation	0.6
5201	1	0.01	0.5	f1	0.5	True	610.0	61	1.0045	single_k21	15.928	971.6080000000001	0.6278252134605725	consistent	False	FN	single_k_baseline	0.6
5201	1	0.01	0.5	f1	0.5	True	610.0	61	1.0045	multik_loglinear	20.709948703255595	1263.3068708985913	0.48285971845154807	possible_collapse	True	TP	experimental_log_linear_extrapolation	0.6
5201	1	0.01	0.5	f2	0.5	True	6841.0	171	1.0045	single_k21	15.928	2723.688	2.511668003089928	possible_overexpansion	False	FN	single_k_baseline	0.6
5201	1	0.01	0.5	f2	0.5	True	6841.0	171	1.0045	multik_loglinear	20.67472053726098	3535.377211871628	1.9350127553654668	possible_overexpansion	False	FN	experimental_log_linear_extrapolation	0.6
5201	1	0.01	0.5	f3	0.5	True	42100.0	421	1.0045	single_k21	161.271	67895.091	0.6200742848993309	consistent	False	FN	single_k_baseline	0.6
5201	1	0.01	0.5	f3	0.5	True	42100.0	421	1.0045	multik_loglinear	199.3921765416776	83944.10632404627	0.5015241908405452	possible_collapse	True	TP	experimental_log_linear_extrapolation	0.6
5201	1	0.01	0.25	f1	0.25	True	305.0	61	1.0045	single_k21	15.928	971.6080000000001	0.31391260673028626	possible_collapse	True	TP	single_k_baseline	0.6
5201	1	0.01	0.25	f1	0.25	True	305.0	61	1.0045	multik_loglinear	20.709948703255595	1263.3068708985913	0.24142985922577404	possible_collapse	True	TP	experimental_log_linear_extrapolation	0.6
5201	1	0.01	0.25	f2	0.25	True	3421.0	171	1.0045	single_k21	15.928	2723.688	1.2560175761687828	consistent	False	FN	single_k_baseline	0.6
5201	1	0.01	0.25	f2	0.25	True	3421.0	171	1.0045	multik_loglinear	20.67472053726098	3535.377211871628	0.9676478053070109	consistent	False	FN	experimental_log_linear_extrapolation	0.6
5201	1	0.01	0.25	f3	0.25	True	21050.0	421	1.0045	single_k21	161.271	67895.091	0.31003714244966546	possible_collapse	True	TP	single_k_baseline	0.6
5201	1	0.01	0.25	f3	0.25	True	21050.0	421	1.0045	multik_loglinear	199.3921765416776	83944.10632404627	0.2507620954202726	possible_collapse	True	TP	experimental_log_linear_extrapolation	0.6
5201	1	0.01	0	f1	0.0	True	0.0	61	1.0045	single_k21	15.928	971.6080000000001	0.0	reads_only	True	TP	single_k_baseline	0.6
5201	1	0.01	0	f1	0.0	True	0.0	61	1.0045	multik_loglinear	20.709948703255595	1263.3068708985913	0.0	reads_only	True	TP	experimental_log_linear_extrapolation	0.6
5201	1	0.01	0	f2	0.0	True	0.0	171	1.0045	single_k21	15.928	2723.688	0.0	reads_only	True	TP	single_k_baseline	0.6
5201	1	0.01	0	f2	0.0	True	0.0	171	1.0045	multik_loglinear	20.67472053726098	3535.377211871628	0.0	reads_only	True	TP	experimental_log_linear_extrapolation	0.6
5201	1	0.01	0	f3	0.0	True	0.0	421	1.0045	single_k21	161.271	67895.091	0.0	reads_only	True	TP	single_k_baseline	0.6
5201	1	0.01	0	f3	0.0	True	0.0	421	1.0045	multik_loglinear	199.3921765416776	83944.10632404627	0.0	reads_only	True	TP	experimental_log_linear_extrapolation	0.6
5201	5	0	1	f1	1.0	False	1220.0	61	4.9975	single_k21	8.004	488.24399999999997	2.4987506246876565	possible_overexpansion	False	TN	single_k_baseline	0.6
5201	5	0	1	f1	1.0	False	1220.0	61	4.9975	multik_loglinear	8.010248459385991	488.62515602254547	2.496801453963022	possible_overexpansion	False	TN	experimental_log_linear_extrapolation	0.6
5201	5	0	1	f2	1.0	False	13681.0	171	4.9975	single_k21	67.0337	11462.7627	1.193516812487098	consistent	False	TN	single_k_baseline	0.6
5201	5	0	1	f2	1.0	False	13681.0	171	4.9975	multik_loglinear	67.39309232034962	11524.218786779786	1.1871520536988074	consistent	False	TN	experimental_log_linear_extrapolation	0.6
5201	5	0	1	f3	1.0	False	84200.0	421	4.9975	single_k21	193.6973	81546.56330000001	1.0325389151010365	consistent	False	TN	single_k_baseline	0.6
5201	5	0	1	f3	1.0	False	84200.0	421	4.9975	multik_loglinear	194.35616302254255	81823.94463249041	1.0290386313955109	consistent	False	TN	experimental_log_linear_extrapolation	0.6
5201	5	0	0.75	f1	0.75	False	915.0	61	4.9975	single_k21	8.004	488.24399999999997	1.8740629685157422	possible_overexpansion	False	TN	single_k_baseline	0.6
5201	5	0	0.75	f1	0.75	False	915.0	61	4.9975	multik_loglinear	8.010248459385991	488.62515602254547	1.8726010904722665	possible_overexpansion	False	TN	experimental_log_linear_extrapolation	0.6
5201	5	0	0.75	f2	0.75	False	10261.0	171	4.9975	single_k21	67.0337	11462.7627	0.8951594191163009	consistent	False	TN	single_k_baseline	0.6
5201	5	0	0.75	f2	0.75	False	10261.0	171	4.9975	multik_loglinear	67.39309232034962	11524.218786779786	0.8903857337185485	consistent	False	TN	experimental_log_linear_extrapolation	0.6
5201	5	0	0.75	f3	0.75	False	63150.0	421	4.9975	single_k21	193.6973	81546.56330000001	0.7744041863257773	consistent	False	TN	single_k_baseline	0.6
5201	5	0	0.75	f3	0.75	False	63150.0	421	4.9975	multik_loglinear	194.35616302254255	81823.94463249041	0.7717789735466333	consistent	False	TN	experimental_log_linear_extrapolation	0.6
5201	5	0	0.5	f1	0.5	True	610.0	61	4.9975	single_k21	8.004	488.24399999999997	1.2493753123438283	consistent	False	FN	single_k_baseline	0.6
5201	5	0	0.5	f1	0.5	True	610.0	61	4.9975	multik_loglinear	8.010248459385991	488.62515602254547	1.248400726981511	consistent	False	FN	experimental_log_linear_extrapolation	0.6
