panel	metric	method	seed	coverage	substitution_rate	assembly_fraction	value	numerator	denominator
A	fresh_genomes	NA	NA	NA	NA	NA	3.0	3	3
A	coverage	NA	NA	NA	NA	NA	3.0	3	3
A	read-error_tiers	NA	NA	NA	NA	NA	3.0	3	3
A	assembly_fractions	NA	NA	NA	NA	NA	5.0	5	5
A	family_conditions	NA	NA	NA	NA	NA	405.0	405	405
B	sensitivity	single_k21	NA	NA	NA	NA	0.8148148148148148	NA	NA
B	false_positive_rate	single_k21	NA	NA	NA	NA	0.08641975308641975	NA	NA
B	precision	single_k21	NA	NA	NA	NA	0.9339622641509434	NA	NA
B	sensitivity	multik_fallback_depth_rule	NA	NA	NA	NA	0.8559670781893004	NA	NA
B	false_positive_rate	multik_fallback_depth_rule	NA	NA	NA	NA	0.07407407407407407	NA	NA
B	precision	multik_fallback_depth_rule	NA	NA	NA	NA	0.9454545454545454	NA	NA
C	TP	single_k21	NA	NA	NA	NA	198.0	198	405
C	FN	single_k21	NA	NA	NA	NA	45.0	45	405
C	FP	single_k21	NA	NA	NA	NA	14.0	14	405
C	TN	single_k21	NA	NA	NA	NA	148.0	148	405
C	TP	multik_fallback_depth_rule	NA	NA	NA	NA	208.0	208	405
C	FN	multik_fallback_depth_rule	NA	NA	NA	NA	35.0	35	405
C	FP	multik_fallback_depth_rule	NA	NA	NA	NA	12.0	12	405
C	TN	multik_fallback_depth_rule	NA	NA	NA	NA	150.0	150	405
D	sensitivity	single_k21	5201	NA	NA	NA	0.7654320987654321	NA	NA
D	sensitivity	single_k21	5202	NA	NA	NA	0.9629629629629629	NA	NA
D	sensitivity	single_k21	5203	NA	NA	NA	0.7160493827160493	NA	NA
D	sensitivity	multik_fallback_depth_rule	5201	NA	NA	NA	0.7901234567901234	NA	NA
D	sensitivity	multik_fallback_depth_rule	5202	NA	NA	NA	1.0	NA	NA
D	sensitivity	multik_fallback_depth_rule	5203	NA	NA	NA	0.7777777777777778	NA	NA
E	false_positive_rate	single_k21	5201	NA	NA	NA	0.0	NA	NA
E	false_positive_rate	single_k21	5202	NA	NA	NA	0.25925925925925924	NA	NA
E	false_positive_rate	single_k21	5203	NA	NA	NA	0.0	NA	NA
E	false_positive_rate	multik_fallback_depth_rule	5201	NA	NA	NA	0.0	NA	NA
E	false_positive_rate	multik_fallback_depth_rule	5202	NA	NA	NA	0.2222222222222222	NA	NA
E	false_positive_rate	multik_fallback_depth_rule	5203	NA	NA	NA	0.0	NA	NA
F	sensitivity_gain	multik_fallback_depth_rule	NA	1	0	0.5	-0.2222222222222222	NA	NA
F	sensitivity_gain	multik_fallback_depth_rule	NA	1	0.001	0.5	-0.2222222222222222	NA	NA
F	sensitivity_gain	multik_fallback_depth_rule	NA	1	0.01	0.5	0.11111111111111116	NA	NA
F	sensitivity_gain	multik_fallback_depth_rule	NA	5	0	0.5	0.0	NA	NA
F	sensitivity_gain	multik_fallback_depth_rule	NA	5	0.001	0.5	0.11111111111111116	NA	NA
F	sensitivity_gain	multik_fallback_depth_rule	NA	5	0.01	0.5	0.5555555555555556	NA	NA
F	sensitivity_gain	multik_fallback_depth_rule	NA	20	0	0.5	0.0	NA	NA
F	sensitivity_gain	multik_fallback_depth_rule	NA	20	0.001	0.5	0.0	NA	NA
F	sensitivity_gain	multik_fallback_depth_rule	NA	20	0.01	0.5	0.6666666666666667	NA	NA
