scenario	dataset_id	tool	seed	split	successful_runs	attempted_runs	deterministic	median_runtime_seconds	median_peak_rss_mib	array_recall	array_precision	array_f1	read_detection_recall	read_detection_precision	negative_read_call_rate	sequence_family_recall	matched_period_mae_bp	matched_boundary_mae_bp	cyclic_monomer_recall	homologous_consensus_fraction	mean_best_cyclic_edit_similarity	base_union_recall	base_union_precision	base_union_f1	duplicate_bp_fraction
at_rich_control	at_rich_control_s1201	tandemx	1201	development	3	3	True	1.161807166179642	29.0	NA	NA	NA	NA	NA	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
at_rich_control	at_rich_control_s1201	tidehunter	1201	development	3	3	True	0.5831505830865353	72.1875	NA	0.0	0.0	NA	0.0	0.38	NA	NA	NA	NA	0.0	NA	NA	0.0	0.0	0.025850264091887207
clean_171	clean_171_s1201	tandemx	1201	development	3	3	True	0.4502091249451041	28.8125	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.38571428571428573	1.0	1.0	1.0	1.0	0.9996242014280345	0.9998120654012403	0.0
clean_171	clean_171_s1201	tidehunter	1201	development	3	3	True	0.28418025001883507	69.8125	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	2.8785714285714286	1.0	1.0	1.0	0.9999094959621275	0.9972919863627211	0.998599025923235	0.0
clean_421	clean_421_s1201	tandemx	1201	development	3	3	True	0.5528411250561476	28.640625	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.4357142857142857	1.0	1.0	1.0	1.0	0.999741329228525	0.9998706478844568	0.0
clean_421	clean_421_s1201	tidehunter	1201	development	3	3	True	0.46501745912246406	56.578125	1.0	0.9859154929577465	0.9929078014184397	1.0	1.0	0.0	1.0	0.0	0.65	1.0	1.0	1.0	0.9998939599592807	0.9983229647949655	0.9991078448200962	0.0034900699702056903
clean_60	clean_60_s1201	tandemx	1201	development	3	3	True	0.42085220804437995	28.765625	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.7214285714285714	1.0	1.0	1.0	1.0	0.9991990547259736	0.999599366920401	0.0
clean_60	clean_60_s1201	tidehunter	1201	development	3	3	True	0.21645974996499717	64.03125	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.4928571428571429	1.0	1.0	1.0	0.9997539682539682	0.999698429452332	0.9997261980817993	0.0
clean_729	clean_729_s1201	tandemx	1201	development	3	3	True	0.6633818328846246	29.46875	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.42857142857142855	1.0	1.0	1.0	1.0	0.9998040752351097	0.9999020280199863	0.0
clean_729	clean_729_s1201	tidehunter	1201	development	3	3	True	0.7080005831085145	112.828125	1.0	0.9859154929577465	0.9929078014184397	1.0	0.9859154929577465	0.03333333333333333	1.0	0.0	1.95	1.0	0.75	1.0	0.9999020184205369	0.9979529170931423	0.9989265169881134	0.0
dispersed_control	dispersed_control_s1201	tandemx	1201	development	3	3	True	0.8640664999838918	27.8125	NA	NA	NA	NA	NA	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
dispersed_control	dispersed_control_s1201	tidehunter	1201	development	3	3	True	0.6749994170386344	88.984375	NA	0.0	0.0	NA	0.0	0.87	NA	NA	NA	NA	0.0	NA	NA	0.0	0.0	0.017167005168246017
divergent_units	divergent_units_s1201	tandemx	1201	development	3	3	True	1.290161417098716	29.84375	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.02857142857142857	2.9214285714285713	1.0	1.0	1.0	0.9983221943748259	0.9988298146509992	0.9985759400014623	0.0
divergent_units	divergent_units_s1201	tidehunter	1201	development	3	3	True	0.35801241686567664	81.671875	0.9285714285714286	0.4744525547445255	0.6280193236714976	1.0	1.0	0.0	1.0	0.03076923076923077	191.44615384615383	1.0	0.7073170731707317	1.0	0.9816764132553606	0.9844246329561083	0.9830486023724287	0.20858932991513437
indel_01pct	indel_01pct_s1201	tandemx	1201	development	3	3	True	1.0898611252196133	29.65625	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.3285714285714285	1.0	1.0	1.0	1.0	0.9987068156377972	0.9993529894669468	0.0
indel_01pct	indel_01pct_s1201	tidehunter	1201	development	3	3	True	0.286924707936123	69.765625	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.014285714285714285	2.3142857142857145	1.0	1.0	1.0	0.9998050750113127	0.9979432017955292	0.9988732707836332	0.0
indel_1pct	indel_1pct_s1201	tandemx	1201	development	3	3	True	1.150551375001669	29.484375	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.014285714285714285	1.25	1.0	1.0	1.0	0.9999164519947086	0.9988663314346123	0.9993911158584744	0.0
indel_1pct	indel_1pct_s1201	tidehunter	1201	development	3	3	True	0.2960758339613676	63.078125	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.014285714285714285	0.9642857142857143	1.0	1.0	1.0	0.9998050546543201	0.9992554398123986	0.9995301716787488	0.0
indel_4pct	indel_4pct_s1201	tandemx	1201	development	3	3	True	1.0929700420238078	29.265625	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.2	1.7285714285714286	1.0	1.0	1.0	0.9998746832270461	0.9984427357795359	0.9991581964532938	0.0
indel_4pct	indel_4pct_s1201	tidehunter	1201	development	3	3	True	0.2896427910309285	76.1875	1.0	0.9459459459459459	0.9722222222222222	1.0	0.9859154929577465	0.03333333333333333	1.0	0.04285714285714286	0.6285714285714286	1.0	0.6	1.0	0.9997215182823248	0.9946663341784077	0.9971875195311144	0.038790348354106746
low_complexity_control	low_complexity_control_s1201	tandemx	1201	development	3	3	True	0.14590483414940536	25.28125	NA	NA	NA	NA	NA	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
low_complexity_control	low_complexity_control_s1201	tidehunter	1201	development	3	3	True	0.5741345409769565	28.90625	NA	0.0	0.0	NA	0.0	1.0	NA	NA	NA	NA	0.0	NA	NA	0.0	0.0	0.0001999600079984003
related_families	related_families_s1201	tandemx	1201	development	3	3	True	0.4523595829959959	28.21875	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.34285714285714286	1.0	1.0	1.0	1.0	0.9996659428762318	0.9998329435349148	0.0
related_families	related_families_s1201	tidehunter	1201	development	3	3	True	0.2777898330241442	74.890625	1.0	0.9859154929577465	0.9929078014184397	1.0	0.9859154929577465	0.03333333333333333	1.0	0.0	1.3642857142857143	1.0	0.75	1.0	0.9998955722639933	0.9858463692711086	0.9928212714333609	0.0
short_arrays	short_arrays_s1201	tandemx	1201	development	3	3	True	0.4958904590457678	27.359375	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.2357142857142858	1.0	1.0	1.0	1.0	0.9952054984341657	0.9975969885961136	0.0
short_arrays	short_arrays_s1201	tidehunter	1201	development	3	3	True	0.13993066688999534	47.34375	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0214285714285714	1.0	1.0	1.0	0.9992481203007518	0.9967776882691186	0.9980113754884646	0.0
substitution_1pct	substitution_1pct_s1201	tandemx	1201	development	3	3	True	0.5090399170294404	28.71875	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.6357142857142857	1.0	1.0	1.0	0.9999025341130604	0.999478082963932	0.999690263484849	0.0
substitution_1pct	substitution_1pct_s1201	tidehunter	1201	development	3	3	True	0.28980091609992087	68.890625	1.0	0.9859154929577465	0.9929078014184397	1.0	0.9859154929577465	0.03333333333333333	1.0	0.0	1.3	1.0	0.75	1.0	0.9997841826789196	0.9939852434280652	0.9968762798575583	0.0
substitution_5pct	substitution_5pct_s1201	tandemx	1201	development	3	3	True	1.2925557079724967	30.3125	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.8142857142857143	1.0	1.0	1.0	0.9995265942634364	0.9987061589615882	0.9991162081851648	0.0
substitution_5pct	substitution_5pct_s1201	tidehunter	1201	development	3	3	True	0.31378091615624726	79.359375	1.0	0.8333333333333334	0.9090909090909091	1.0	1.0	0.0	1.0	0.0	2.2928571428571427	1.0	0.25	1.0	0.9993107769423559	0.9937897229260998	0.9965426030450086	0.14132845057695395
two_arrays	two_arrays_s1201	tandemx	1201	development	3	3	True	1.229102540994063	29.921875	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.167857142857143	1.0	1.0	1.0	1.0	0.9982955167399021	0.9991470314346306	0.0
two_arrays	two_arrays_s1201	tidehunter	1201	development	3	3	True	0.3813407910056412	64.953125	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.3678571428571429	1.0	1.0	1.0	0.9997128237259816	0.9982898228819613	0.9990008165650526	0.0
