scenario	reads	truth_positive_reads	median_screen_span_fraction_positive	median_shifted_identity_positive	maximum_adjusted_identity_negative
at_rich_control	100	0	NA	NA	0.5562192182751756
clean_171	100	70	0.4104	1.0	0.36281381419650816
clean_421	100	70	0.6737	1.0	0.3792368364954167
clean_60	100	70	0.3602	1.0	0.3405883770743043
clean_729	100	70	0.875	1.0	0.3792368364954167
dispersed_control	100	0	NA	NA	0.47574642069411827
divergent_units	100	70	0.4098	0.8153968641431459	0.3448200902142712
indel_01pct	100	70	0.3612995144519806	1.0	0.36452346320590845
indel_1pct	100	70	0.07918544184128765	0.9645705143982279	0.3496195434521427
indel_4pct	100	70	0.07008594804828405	0.7587020309533399	0.3311671087533156
low_complexity_control	100	0	NA	NA	0.0
related_families	100	70	0.4104	1.0	0.30441329307113807
short_arrays	100	70	0.1026	1.0	0.33065595716198126
substitution_1pct	100	70	0.4104	0.9800852303574626	0.3792368364954167
substitution_5pct	100	70	0.4102	0.9043823014842824	0.3792368364954167
two_arrays	100	70	0.2738	1.0	0.45318544182448117
