dataset_id	scenario	seed	read_id	read_length	truth_array_count	screen_status	candidate_period_count	best_period	periodicity_score	repeat_start	repeat_end	repeat_span	repeat_span_fraction	unit_span_residual_fraction	shifted_identity	valid_pair_fraction	composition_adjusted_identity	maximum_truth_iou	minimum_truth_period_error_bp
at_rich_control_s1201	at_rich_control	1201	r0000001	5000	0	rejected_score	5	49	0.5384615384615385	4726	4827	101	0.0202	0.061224489795918366	0.6730769230769231	1.0	0.43456386780394923	0.0	NA
at_rich_control_s1201	at_rich_control	1201	r0000002	5000	0	rejected_score	5	50	0.7027501799856012	1251	1361	110	0.022	0.2	0.7666666666666667	1.0	0.5562192182751756	0.0	NA
at_rich_control_s1201	at_rich_control	1201	r0000003	5000	0	rejected_score	5	48	0.5283018867924528	4837	4938	101	0.0202	0.10416666666666667	0.660377358490566	1.0	0.3926208685067082	0.0	NA
at_rich_control_s1201	at_rich_control	1201	r0000004	5000	0	rejected_score	5	45	0.6676086188625927	1133	1235	102	0.0204	0.26666666666666666	0.7192982456140351	1.0	0.4983818185105499	0.0	NA
at_rich_control_s1201	at_rich_control	1201	r0000005	5000	0	rejected_score	5	50	0.512	2927	3027	100	0.02	0.0	0.64	1.0	0.3721660272061389	0.0	NA
at_rich_control_s1201	at_rich_control	1201	r0000006	5000	0	rejected_score	5	35	0.5415384615384616	4218	4318	100	0.02	0.14285714285714285	0.676923076923077	1.0	0.4341910278862995	0.0	NA
at_rich_control_s1201	at_rich_control	1201	r0000007	5000	0	rejected_score	5	57	0.6484614825052739	4405	4521	116	0.0232	0.03508771929824561	0.711864406779661	1.0	0.494240471905442	0.0	NA
at_rich_control_s1201	at_rich_control	1201	r0000008	5000	0	rejected_score	5	47	0.5283018867924528	4121	4221	100	0.02	0.1276595744680851	0.660377358490566	1.0	0.4164559424236529	0.0	NA
at_rich_control_s1201	at_rich_control	1201	r0000009	5000	0	rejected_score	5	47	0.6446656812451091	1246	1346	100	0.02	0.1276595744680851	0.6981132075471698	1.0	0.4653085503846436	0.0	NA
at_rich_control_s1201	at_rich_control	1201	r0000010	5000	0	rejected_score	5	49	0.6350083317904092	2549	2653	104	0.0208	0.12244897959183673	0.6909090909090909	1.0	0.4650996363636364	0.0	NA
at_rich_control_s1201	at_rich_control	1201	r0000011	5000	0	rejected_score	5	61	0.5333333333333333	1638	1762	124	0.0248	0.03278688524590164	0.6666666666666666	1.0	0.42515328248841033	0.0	NA
at_rich_control_s1201	at_rich_control	1201	r0000012	5000	0	rejected_score	5	46	0.5333333333333333	186	286	100	0.02	0.17391304347826086	0.6666666666666666	1.0	0.409611524383044	0.0	NA
at_rich_control_s1201	at_rich_control	1201	r0000013	5000	0	rejected_score	5	41	0.5288135593220339	1845	1945	100	0.02	0.43902439024390244	0.6610169491525424	1.0	0.403408921422989	0.0	NA
at_rich_control_s1201	at_rich_control	1201	r0000014	5000	0	rejected_score	5	42	0.5241379310344828	2716	2816	100	0.02	0.38095238095238093	0.6551724137931034	1.0	0.3870821432511614	0.0	NA
at_rich_control_s1201	at_rich_control	1201	r0000015	5000	0	rejected_score	5	46	0.5185185185185185	4113	4213	100	0.02	0.17391304347826086	0.6481481481481481	1.0	0.36050190503116714	0.0	NA
at_rich_control_s1201	at_rich_control	1201	r0000016	5000	0	rejected_score	5	49	0.5283018867924528	2089	2191	102	0.0204	0.08163265306122448	0.660377358490566	1.0	0.41884309831181726	0.0	NA
at_rich_control_s1201	at_rich_control	1201	r0000017	5000	0	rejected_score	5	46	0.6392876371919652	309	410	101	0.0202	0.1956521739130435	0.6909090909090909	1.0	0.45656043370624544	0.0	NA
at_rich_control_s1201	at_rich_control	1201	r0000018	5000	0	rejected_score	5	55	0.5473684210526316	2957	3069	112	0.0224	0.03636363636363636	0.6842105263157895	1.0	0.40450042725575214	0.0	NA
at_rich_control_s1201	at_rich_control	1201	r0000019	5000	0	rejected_score	5	58	0.5377049180327869	1102	1221	119	0.0238	0.05172413793103448	0.6721311475409836	1.0	0.390528902642146	0.0	NA
at_rich_control_s1201	at_rich_control	1201	r0000020	5000	0	rejected_score	5	48	0.5230769230769231	439	539	100	0.02	0.08333333333333333	0.6538461538461539	1.0	0.38733832539142277	0.0	NA
at_rich_control_s1201	at_rich_control	1201	r0000021	5000	0	rejected_score	5	52	0.5384615384615385	4038	4142	104	0.0208	0.0	0.6730769230769231	1.0	0.42653259811871563	0.0	NA
at_rich_control_s1201	at_rich_control	1201	r0000022	5000	0	rejected_score	5	36	0.5212121212121212	923	1025	102	0.0204	0.16666666666666666	0.6515151515151515	1.0	0.3906493506493506	0.0	NA
at_rich_control_s1201	at_rich_control	1201	r0000023	5000	0	rejected_score	5	31	0.5485714285714286	2438	2539	101	0.0202	0.25806451612903225	0.6857142857142857	1.0	0.4319580844385947	0.0	NA
at_rich_control_s1201	at_rich_control	1201	r0000024	5000	0	rejected_score	5	49	0.5283018867924528	3920	4022	102	0.0204	0.08163265306122448	0.660377358490566	1.0	0.35615270366906854	0.0	NA
at_rich_control_s1201	at_rich_control	1201	r0000025	5000	0	rejected_score	5	45	0.6420435120435121	728	828	100	0.02	0.2222222222222222	0.6909090909090909	1.0	0.4586849227829964	0.0	NA
at_rich_control_s1201	at_rich_control	1201	r0000026	5000	0	rejected_score	5	57	0.5473684210526316	4730	4844	114	0.0228	0.0	0.6842105263157895	1.0	0.42359550561797754	0.0	NA
at_rich_control_s1201	at_rich_control	1201	r0000027	5000	0	rejected_score	5	57	0.5241379310344828	1092	1207	115	0.023	0.017543859649122806	0.6551724137931034	1.0	0.39324842634563495	0.0	NA
at_rich_control_s1201	at_rich_control	1201	r0000028	5000	0	rejected_score	5	38	0.6479417769874202	594	695	101	0.0202	0.34210526315789475	0.6984126984126984	1.0	0.4562580304892075	0.0	NA
at_rich_control_s1201	at_rich_control	1201	r0000029	5000	0	rejected_score	5	52	0.5103448275862069	1809	1919	110	0.022	0.11538461538461539	0.6379310344827587	1.0	0.3513422441873527	0.0	NA
at_rich_control_s1201	at_rich_control	1201	r0000030	5000	0	rejected_score	5	54	0.5290322580645161	2404	2520	116	0.0232	0.14814814814814814	0.6612903225806451	1.0	0.38921503358954185	0.0	NA
at_rich_control_s1201	at_rich_control	1201	r0000031	5000	0	rejected_score	5	50	0.5283018867924528	286	389	103	0.0206	0.06	0.660377358490566	1.0	0.39687703318152234	0.0	NA
at_rich_control_s1201	at_rich_control	1201	r0000032	5000	0	rejected_score	5	46	0.5236363636363637	877	978	101	0.0202	0.1956521739130435	0.6545454545454545	1.0	0.35077711529443284	0.0	NA
at_rich_control_s1201	at_rich_control	1201	r0000033	5000	0	rejected_score	5	54	0.5333333333333333	712	820	108	0.0216	0.0	0.6666666666666666	1.0	0.4020301445709011	0.0	NA
at_rich_control_s1201	at_rich_control	1201	r0000034	5000	0	rejected_score	5	51	0.6388399110159018	3439	3543	104	0.0208	0.0392156862745098	0.6981132075471698	1.0	0.44863094441576973	0.0	NA
at_rich_control_s1201	at_rich_control	1201	r0000035	5000	0	rejected_score	5	55	0.5375	2005	2124	119	0.0238	0.16363636363636364	0.671875	1.0	0.37428250403986	0.0	NA
at_rich_control_s1201	at_rich_control	1201	r0000036	5000	0	rejected_score	5	50	0.646624203821656	594	694	100	0.02	0.0	0.7	1.0	0.4551398474391572	0.0	NA
at_rich_control_s1201	at_rich_control	1201	r0000037	5000	0	rejected_score	5	42	0.5066666666666667	4536	4638	102	0.0204	0.42857142857142855	0.6333333333333333	1.0	0.35560810810810806	0.0	NA
at_rich_control_s1201	at_rich_control	1201	r0000038	5000	0	rejected_score	5	53	0.5283018867924528	3486	3592	106	0.0212	0.0	0.660377358490566	1.0	0.3762667538411245	0.0	NA
at_rich_control_s1201	at_rich_control	1201	r0000039	5000	0	rejected_score	5	48	0.5230769230769231	4600	4700	100	0.02	0.08333333333333333	0.6538461538461539	1.0	0.3558730067848044	0.0	NA
