minimum_span_fraction	minimum_shifted_identity	minimum_composition_adjusted_identity	minimum_valid_pair_fraction	maximum_unit_span_residual_fraction	accepted_reads	accepted_fraction	correct_single_array_acceptances	correct_single_array_fraction	negative_acceptances	wrong_single_array_acceptances	multi_array_acceptances	development_safe
0.0	0.95	0.7	0.95	0.02	561	0.350625	473	0.5630952380952381	0	25	63	False
0.0	0.975	0.7	0.95	0.02	547	0.341875	463	0.5511904761904762	0	21	63	False
0.0	0.99	0.7	0.95	0.02	491	0.306875	410	0.4880952380952381	0	18	63	False
0.0	0.995	0.7	0.95	0.02	484	0.3025	409	0.4869047619047619	0	12	63	False
0.1	0.95	0.7	0.95	0.02	539	0.336875	473	0.5630952380952381	0	3	63	False
0.1	0.975	0.7	0.95	0.02	529	0.330625	463	0.5511904761904762	0	3	63	False
0.1	0.99	0.7	0.95	0.02	476	0.2975	410	0.4880952380952381	0	3	63	False
0.1	0.995	0.7	0.95	0.02	475	0.296875	409	0.4869047619047619	0	3	63	False
0.2	0.95	0.7	0.95	0.02	466	0.29125	403	0.4797619047619048	0	0	63	False
0.2	0.975	0.7	0.95	0.02	456	0.285	393	0.46785714285714286	0	0	63	False
0.2	0.99	0.7	0.95	0.02	403	0.251875	340	0.40476190476190477	0	0	63	False
0.2	0.995	0.7	0.95	0.02	402	0.25125	339	0.4035714285714286	0	0	63	False
0.3	0.95	0.7	0.95	0.02	403	0.251875	403	0.4797619047619048	0	0	0	True
0.3	0.975	0.7	0.95	0.02	393	0.245625	393	0.46785714285714286	0	0	0	True
0.3	0.99	0.7	0.95	0.02	340	0.2125	340	0.40476190476190477	0	0	0	True
0.3	0.995	0.7	0.95	0.02	339	0.211875	339	0.4035714285714286	0	0	0	True
0.4	0.95	0.7	0.95	0.02	345	0.215625	345	0.4107142857142857	0	0	0	True
0.4	0.975	0.7	0.95	0.02	335	0.209375	335	0.39880952380952384	0	0	0	True
0.4	0.99	0.7	0.95	0.02	282	0.17625	282	0.3357142857142857	0	0	0	True
0.4	0.995	0.7	0.95	0.02	281	0.175625	281	0.3345238095238095	0	0	0	True
0.5	0.95	0.7	0.95	0.02	140	0.0875	140	0.16666666666666666	0	0	0	True
0.5	0.975	0.7	0.95	0.02	140	0.0875	140	0.16666666666666666	0	0	0	True
0.5	0.99	0.7	0.95	0.02	140	0.0875	140	0.16666666666666666	0	0	0	True
0.5	0.995	0.7	0.95	0.02	140	0.0875	140	0.16666666666666666	0	0	0	True
0.6	0.95	0.7	0.95	0.02	140	0.0875	140	0.16666666666666666	0	0	0	True
0.6	0.975	0.7	0.95	0.02	140	0.0875	140	0.16666666666666666	0	0	0	True
0.6	0.99	0.7	0.95	0.02	140	0.0875	140	0.16666666666666666	0	0	0	True
0.6	0.995	0.7	0.95	0.02	140	0.0875	140	0.16666666666666666	0	0	0	True
