scenario	dataset_id	seed	split	tool	repetition	total_bases	exit_code	runtime_seconds	peak_rss_mib	cpu_user_seconds	cpu_system_seconds	timed_out	status	error	truth_array_count	predicted_array_count	matched_array_count	array_recall	array_precision	array_f1	read_detection_recall	read_detection_precision	negative_read_count	false_positive_read_count	negative_read_call_rate	matched_period_mae_bp	matched_boundary_mae_bp	warning	base_union_recall	base_union_precision	base_union_f1	predicted_union_bp	truth_union_bp	duplicated_prediction_bp	duplicate_bp_fraction	array_recall_ci_low	array_recall_ci_high	array_precision_ci_low	array_precision_ci_high	negative_read_call_rate_ci_low	negative_read_call_rate_ci_high	truth_family_count	recovered_family_count	sequence_family_recall	family_criterion	cyclic_monomer_recall	distinct_consensus_count	homologous_consensus_fraction	unmatched_distinct_consensus_count	mean_best_cyclic_edit_similarity	prediction_sha256	catalog_sha256
clean_171	clean_171_s1101	1101	development	tandemx	1	500000	0	1.5490914171095937	35.109375	0.940033	0.031373	False	ok		70	70	70	1.0	1.0	1.0	1.0	1.0	30	0	0.0	0.0	1.3214285714285714	planted_truth;conditional_errors_on_matches;wilson_intervals_are_descriptive	1.0	0.9987137145836955	0.9993564433931087	143825	143640	0	0.0	0.9479769375897331	1.0	0.9479769375897331	1.0	0.0	0.11351339317396876	3	3	1.0	equal_length_circular_ungapped_identity_ge_0.9	1.0	3	1.0	0	1.0	00ac80d99f38df33d97422792cdcb80762f18697bc03612884a4a892dd2661a7	3b356c739183e26ae8d3252ab7089e95370048bb7eca5e6c1e54f1a27e5bb157
clean_171	clean_171_s1101	1101	development	tandemx	2	500000	0	0.943906124914065	28.859375	0.86795	0.023757	False	ok		70	70	70	1.0	1.0	1.0	1.0	1.0	30	0	0.0	0.0	1.3214285714285714	planted_truth;conditional_errors_on_matches;wilson_intervals_are_descriptive	1.0	0.9987137145836955	0.9993564433931087	143825	143640	0	0.0	0.9479769375897331	1.0	0.9479769375897331	1.0	0.0	0.11351339317396876	3	3	1.0	equal_length_circular_ungapped_identity_ge_0.9	1.0	3	1.0	0	1.0	00ac80d99f38df33d97422792cdcb80762f18697bc03612884a4a892dd2661a7	3b356c739183e26ae8d3252ab7089e95370048bb7eca5e6c1e54f1a27e5bb157
clean_171	clean_171_s1101	1101	development	tandemx	3	500000	0	0.9568924580235034	30.125	0.866622	0.01985	False	ok		70	70	70	1.0	1.0	1.0	1.0	1.0	30	0	0.0	0.0	1.3214285714285714	planted_truth;conditional_errors_on_matches;wilson_intervals_are_descriptive	1.0	0.9987137145836955	0.9993564433931087	143825	143640	0	0.0	0.9479769375897331	1.0	0.9479769375897331	1.0	0.0	0.11351339317396876	3	3	1.0	equal_length_circular_ungapped_identity_ge_0.9	1.0	3	1.0	0	1.0	00ac80d99f38df33d97422792cdcb80762f18697bc03612884a4a892dd2661a7	3b356c739183e26ae8d3252ab7089e95370048bb7eca5e6c1e54f1a27e5bb157
clean_421	clean_421_s1101	1101	development	tandemx	1	500000	0	0.47051387489773333	28.40625	0.398875	0.01867	False	ok		70	70	70	1.0	1.0	1.0	1.0	1.0	30	0	0.0	0.0	0.39285714285714285	planted_truth;conditional_errors_on_matches;wilson_intervals_are_descriptive	1.0	0.9997667663210568	0.999883369559455	235815	235760	0	0.0	0.9479769375897331	1.0	0.9479769375897331	1.0	0.0	0.11351339317396876	3	3	1.0	equal_length_circular_ungapped_identity_ge_0.9	1.0	3	1.0	0	1.0	90ea82f92cf1eb2864b400aa13e48de8b4ff8d18a7bbc8d21028af7e01b5653e	9debba242d10d42450b353fadb67f828943aed1eaa3c5d59b772acc11ca3987d
clean_421	clean_421_s1101	1101	development	tandemx	2	500000	0	0.4777505409438163	28.375	0.40403	0.018487999999999997	False	ok		70	70	70	1.0	1.0	1.0	1.0	1.0	30	0	0.0	0.0	0.39285714285714285	planted_truth;conditional_errors_on_matches;wilson_intervals_are_descriptive	1.0	0.9997667663210568	0.999883369559455	235815	235760	0	0.0	0.9479769375897331	1.0	0.9479769375897331	1.0	0.0	0.11351339317396876	3	3	1.0	equal_length_circular_ungapped_identity_ge_0.9	1.0	3	1.0	0	1.0	90ea82f92cf1eb2864b400aa13e48de8b4ff8d18a7bbc8d21028af7e01b5653e	9debba242d10d42450b353fadb67f828943aed1eaa3c5d59b772acc11ca3987d
clean_421	clean_421_s1101	1101	development	tandemx	3	500000	0	0.4755692088510841	28.1875	0.39888599999999996	0.018327	False	ok		70	70	70	1.0	1.0	1.0	1.0	1.0	30	0	0.0	0.0	0.39285714285714285	planted_truth;conditional_errors_on_matches;wilson_intervals_are_descriptive	1.0	0.9997667663210568	0.999883369559455	235815	235760	0	0.0	0.9479769375897331	1.0	0.9479769375897331	1.0	0.0	0.11351339317396876	3	3	1.0	equal_length_circular_ungapped_identity_ge_0.9	1.0	3	1.0	0	1.0	90ea82f92cf1eb2864b400aa13e48de8b4ff8d18a7bbc8d21028af7e01b5653e	9debba242d10d42450b353fadb67f828943aed1eaa3c5d59b772acc11ca3987d
indel_1pct	indel_1pct_s1101	1101	development	tandemx	1	499978	0	1.0849856659770012	31.234375	0.972046	0.031798	False	ok		70	70	70	1.0	1.0	1.0	1.0	1.0	30	0	0.0	0.0	1.4642857142857142	planted_truth;conditional_errors_on_matches;wilson_intervals_are_descriptive	0.9999373337603922	0.998637043218247	0.9992867654989336	143805	143618	0	0.0	0.9479769375897331	1.0	0.9479769375897331	1.0	0.0	0.11351339317396876	3	3	1.0	equal_length_circular_ungapped_identity_ge_0.9	1.0	3	1.0	0	1.0	6ac434bb352a6774cb2dde3038ff55cd9fd43e201f8b369132474d2ad39f65fa	3b356c739183e26ae8d3252ab7089e95370048bb7eca5e6c1e54f1a27e5bb157
indel_1pct	indel_1pct_s1101	1101	development	tandemx	2	499978	0	1.0851731251459569	30.796875	0.9564039999999999	0.030879999999999998	False	ok		70	70	70	1.0	1.0	1.0	1.0	1.0	30	0	0.0	0.0	1.4642857142857142	planted_truth;conditional_errors_on_matches;wilson_intervals_are_descriptive	0.9999373337603922	0.998637043218247	0.9992867654989336	143805	143618	0	0.0	0.9479769375897331	1.0	0.9479769375897331	1.0	0.0	0.11351339317396876	3	3	1.0	equal_length_circular_ungapped_identity_ge_0.9	1.0	3	1.0	0	1.0	6ac434bb352a6774cb2dde3038ff55cd9fd43e201f8b369132474d2ad39f65fa	3b356c739183e26ae8d3252ab7089e95370048bb7eca5e6c1e54f1a27e5bb157
indel_1pct	indel_1pct_s1101	1101	development	tandemx	3	499978	0	1.0552779999561608	30.515625	0.942213	0.023393	False	ok		70	70	70	1.0	1.0	1.0	1.0	1.0	30	0	0.0	0.0	1.4642857142857142	planted_truth;conditional_errors_on_matches;wilson_intervals_are_descriptive	0.9999373337603922	0.998637043218247	0.9992867654989336	143805	143618	0	0.0	0.9479769375897331	1.0	0.9479769375897331	1.0	0.0	0.11351339317396876	3	3	1.0	equal_length_circular_ungapped_identity_ge_0.9	1.0	3	1.0	0	1.0	6ac434bb352a6774cb2dde3038ff55cd9fd43e201f8b369132474d2ad39f65fa	3b356c739183e26ae8d3252ab7089e95370048bb7eca5e6c1e54f1a27e5bb157
related_families	related_families_s1101	1101	development	tandemx	1	500000	0	0.9918182909023017	29.28125	0.88632	0.022052	False	ok		70	70	70	1.0	1.0	1.0	1.0	1.0	30	0	0.0	0.0	1.4285714285714286	planted_truth;conditional_errors_on_matches;wilson_intervals_are_descriptive	1.0	0.9986095661846496	0.9993042994295255	143840	143640	0	0.0	0.9479769375897331	1.0	0.9479769375897331	1.0	0.0	0.11351339317396876	3	3	1.0	equal_length_circular_ungapped_identity_ge_0.9	1.0	3	1.0	0	1.0	72d98ba7fb13228563619651bd3eba9375101b9a1aec1d511fe96945c20f57e0	08f4ad543554fc70c0ae6a518195ecb024c76928a80a95cab2f705cf69668c03
related_families	related_families_s1101	1101	development	tandemx	2	500000	0	0.9994322499260306	29.140625	0.9024719999999999	0.025571	False	ok		70	70	70	1.0	1.0	1.0	1.0	1.0	30	0	0.0	0.0	1.4285714285714286	planted_truth;conditional_errors_on_matches;wilson_intervals_are_descriptive	1.0	0.9986095661846496	0.9993042994295255	143840	143640	0	0.0	0.9479769375897331	1.0	0.9479769375897331	1.0	0.0	0.11351339317396876	3	3	1.0	equal_length_circular_ungapped_identity_ge_0.9	1.0	3	1.0	0	1.0	72d98ba7fb13228563619651bd3eba9375101b9a1aec1d511fe96945c20f57e0	08f4ad543554fc70c0ae6a518195ecb024c76928a80a95cab2f705cf69668c03
related_families	related_families_s1101	1101	development	tandemx	3	500000	0	1.077751665841788	32.734375	0.92994	0.033812	False	ok		70	70	70	1.0	1.0	1.0	1.0	1.0	30	0	0.0	0.0	1.4285714285714286	planted_truth;conditional_errors_on_matches;wilson_intervals_are_descriptive	1.0	0.9986095661846496	0.9993042994295255	143840	143640	0	0.0	0.9479769375897331	1.0	0.9479769375897331	1.0	0.0	0.11351339317396876	3	3	1.0	equal_length_circular_ungapped_identity_ge_0.9	1.0	3	1.0	0	1.0	72d98ba7fb13228563619651bd3eba9375101b9a1aec1d511fe96945c20f57e0	08f4ad543554fc70c0ae6a518195ecb024c76928a80a95cab2f705cf69668c03
at_rich_control	at_rich_control_s1101	1101	development	tandemx	1	500000	0	1.0241802500095218	28.0625	0.9298099999999999	0.021751	False	ok		0	0	0	NA	NA	NA	NA	NA	100	0	0.0	NA	NA	planted_truth;conditional_errors_on_matches;wilson_intervals_are_descriptive	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	0.0	0.03699349820698568	0	0	NA	equal_length_circular_ungapped_identity_ge_0.9	NA	0	NA	0	NA	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
at_rich_control	at_rich_control_s1101	1101	development	tandemx	2	500000	0	1.0877314999233931	29.578125	0.9793759999999999	0.028364999999999998	False	ok		0	0	0	NA	NA	NA	NA	NA	100	0	0.0	NA	NA	planted_truth;conditional_errors_on_matches;wilson_intervals_are_descriptive	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	0.0	0.03699349820698568	0	0	NA	equal_length_circular_ungapped_identity_ge_0.9	NA	0	NA	0	NA	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
at_rich_control	at_rich_control_s1101	1101	development	tandemx	3	500000	0	0.996917791897431	27.296875	0.9155519999999999	0.018692	False	ok		0	0	0	NA	NA	NA	NA	NA	100	0	0.0	NA	NA	planted_truth;conditional_errors_on_matches;wilson_intervals_are_descriptive	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	0.0	0.03699349820698568	0	0	NA	equal_length_circular_ungapped_identity_ge_0.9	NA	0	NA	0	NA	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
low_complexity_control	low_complexity_control_s1101	1101	development	tandemx	1	500000	0	0.14611145784147084	24.609375	0.068287	0.017839999999999998	False	ok		0	0	0	NA	NA	NA	NA	NA	100	0	0.0	NA	NA	planted_truth;conditional_errors_on_matches;wilson_intervals_are_descriptive	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	0.0	0.03699349820698568	0	0	NA	equal_length_circular_ungapped_identity_ge_0.9	NA	0	NA	0	NA	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
low_complexity_control	low_complexity_control_s1101	1101	development	tandemx	2	500000	0	0.15252462518401444	25.125	0.069654	0.017386	False	ok		0	0	0	NA	NA	NA	NA	NA	100	0	0.0	NA	NA	planted_truth;conditional_errors_on_matches;wilson_intervals_are_descriptive	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	0.0	0.03699349820698568	0	0	NA	equal_length_circular_ungapped_identity_ge_0.9	NA	0	NA	0	NA	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
low_complexity_control	low_complexity_control_s1101	1101	development	tandemx	3	500000	0	0.1400128328241408	25.0	0.07137	0.017588	False	ok		0	0	0	NA	NA	NA	NA	NA	100	0	0.0	NA	NA	planted_truth;conditional_errors_on_matches;wilson_intervals_are_descriptive	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	0.0	0.03699349820698568	0	0	NA	equal_length_circular_ungapped_identity_ge_0.9	NA	0	NA	0	NA	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
clean_60	clean_60_s1101	1101	development	tandemx	1	500000	0	0.8546619999688119	34.71875	0.493129	0.031246	False	ok		70	70	70	1.0	1.0	1.0	1.0	1.0	30	0	0.0	0.0	1.4928571428571429	planted_truth;conditional_errors_on_matches;wilson_intervals_are_descriptive	1.0	0.9983440166707604	0.9991713221970667	126209	126000	0	0.0	0.9479769375897331	1.0	0.9479769375897331	1.0	0.0	0.11351339317396876	3	3	1.0	equal_length_circular_ungapped_identity_ge_0.9	1.0	3	1.0	0	1.0	f66731b706a818787fd65d6c17fae8bd726aff21c391685fb436da5bd991788e	980c86867bfbef2265d71dae9793b2a28c6d135631b73144892443d5e648bb53
clean_60	clean_60_s1101	1101	development	tandemx	2	500000	0	0.54379479191266	31.046875	0.46299999999999997	0.01923	False	ok		70	70	70	1.0	1.0	1.0	1.0	1.0	30	0	0.0	0.0	1.4928571428571429	planted_truth;conditional_errors_on_matches;wilson_intervals_are_descriptive	1.0	0.9983440166707604	0.9991713221970667	126209	126000	0	0.0	0.9479769375897331	1.0	0.9479769375897331	1.0	0.0	0.11351339317396876	3	3	1.0	equal_length_circular_ungapped_identity_ge_0.9	1.0	3	1.0	0	1.0	f66731b706a818787fd65d6c17fae8bd726aff21c391685fb436da5bd991788e	980c86867bfbef2265d71dae9793b2a28c6d135631b73144892443d5e648bb53
clean_60	clean_60_s1101	1101	development	tandemx	3	500000	0	0.5122247079852968	27.765625	0.431181	0.016953	False	ok		70	70	70	1.0	1.0	1.0	1.0	1.0	30	0	0.0	0.0	1.4928571428571429	planted_truth;conditional_errors_on_matches;wilson_intervals_are_descriptive	1.0	0.9983440166707604	0.9991713221970667	126209	126000	0	0.0	0.9479769375897331	1.0	0.9479769375897331	1.0	0.0	0.11351339317396876	3	3	1.0	equal_length_circular_ungapped_identity_ge_0.9	1.0	3	1.0	0	1.0	f66731b706a818787fd65d6c17fae8bd726aff21c391685fb436da5bd991788e	980c86867bfbef2265d71dae9793b2a28c6d135631b73144892443d5e648bb53
