scenario	baseline_runtime_seconds	cascade_runtime_seconds	runtime_ratio	baseline_peak_rss_mib	cascade_peak_rss_mib	peak_rss_ratio	accuracy_change
at_rich_control	1.5839649168774486	1.0241802500095218	0.6465927616809475	34.234375	28.0625	0.8197170241898677	none
clean_171	1.6222023339942098	0.9568924580235034	0.589872445607589	35.765625	30.125	0.8422892092616864	none
clean_421	1.196496499935165	0.4755692088510841	0.3974681153491497	34.546875	28.375	0.8213478064224333	matched_boundary_mae_bp:0.992857142857->0.392857142857
clean_60	0.9563779591117054	0.54379479191266	0.5685982061085376	32.25	31.046875	0.9626937984496124	none
clean_729	1.3284768748562783	0.62725670915097	0.4721623093505711	34.28125	28.921875	0.8436645396536008	matched_boundary_mae_bp:1.18571428571->0.528571428571
dispersed_control	0.9991261661052704	0.7834644168615341	0.7841496333897299	32.296875	26.890625	0.8326076439283987	none
divergent_units	1.535820874851197	1.1152367498725653	0.7261502745107684	36.015625	29.15625	0.8095444685466378	none
indel_01pct	1.6560567079577595	0.970074666896835	0.585773821775177	38.625	29.5	0.7637540453074434	none
indel_1pct	1.5989565830677748	1.0849856659770012	0.6785585534132117	36.171875	30.796875	0.8514038876889849	none
indel_4pct	1.5527763329446316	0.9634788748808205	0.6204878670798082	34.953125	29.015625	0.8301296379079124	none
low_complexity_control	0.6334903750102967	0.14611145784147084	0.2306451109680963	24.0	25.0	1.0416666666666667	none
related_families	1.5370330000296235	0.9994322499260306	0.6502347379052814	35.203125	29.28125	0.831779849090102	none
short_arrays	0.8456472498364747	0.47654762491583824	0.5635300357306071	31.9375	27.0625	0.8473581213307241	none
substitution_1pct	1.7234662079717964	1.0068055000156164	0.5841747841406428	37.703125	28.96875	0.7683381682552839	none
substitution_5pct	1.694389499956742	1.0934784160926938	0.6453524506145786	37.0625	28.671875	0.7736087689713322	none
two_arrays	1.911274541169405	1.067231000168249	0.5583870747921271	36.78125	29.640625	0.8058623619371283	none
