scenario	seed	positive	valid_pair	tandemx_array_recall	tidehunter_array_recall	array_recall_difference	tandemx_array_precision	tidehunter_array_precision	array_precision_difference	tandemx_median_runtime_seconds	tidehunter_median_runtime_seconds	median_runtime_seconds_ratio	tandemx_median_peak_rss_mib	tidehunter_median_peak_rss_mib	median_peak_rss_mib_ratio
at_rich_control	3101	False	True	NA	NA	NA	NA	0.0	NA	1.2065467920619994	0.5712711249943823	2.112038818825062	28.125	69.671875	0.4036779546983629
at_rich_control	3102	False	True	NA	NA	NA	NA	0.0	NA	1.109855541959405	0.5972925000824034	1.8581441116476225	27.9375	72.984375	0.3827874116891458
at_rich_control	3103	False	True	NA	NA	NA	NA	0.0	NA	1.1513942498713732	0.5713226250372827	2.0153135888785023	27.578125	72.203125	0.38195195845055185
clean_171	3101	True	True	1.0	1.0	0.0	1.0	1.0	0.0	1.0825265001039952	0.27241762494668365	3.9737755599178373	29.859375	63.1875	0.4725519287833828
clean_171	3102	True	True	1.0	1.0	0.0	1.0	1.0	0.0	1.0892515839077532	0.2724164999090135	3.998478742189114	29.59375	67.21875	0.4402603440260344
clean_171	3103	True	True	1.0	1.0	0.0	1.0	1.0	0.0	1.076214874861762	0.2644989169202745	4.068881972723372	28.984375	62.0625	0.46701913393756295
clean_421	3101	True	True	1.0	1.0	0.0	1.0	1.0	0.0	0.548389625037089	0.44150724983774126	1.242085209786766	28.625	65.1875	0.439117929050815
clean_421	3102	True	True	1.0	1.0	0.0	1.0	1.0	0.0	0.5211982917971909	0.44820341700688004	1.1628610403681736	28.9375	75.03125	0.3856726364014994
clean_421	3103	True	True	1.0	1.0	0.0	1.0	1.0	0.0	0.5457804999314249	0.4655231249053031	1.1724025525959592	28.359375	74.125	0.3825885328836425
clean_60	3101	True	True	1.0	1.0	0.0	1.0	1.0	0.0	0.6001702919602394	0.19942016690038145	3.0095767207939863	28.515625	52.84375	0.5396215257244235
clean_60	3102	True	True	1.0	1.0	0.0	1.0	1.0	0.0	0.5618052908685058	0.20323020801879466	2.764378860531158	28.078125	56.71875	0.49504132231404957
clean_60	3103	True	True	1.0	1.0	0.0	1.0	1.0	0.0	0.5821007078047842	0.2154107498936355	2.702282537395237	28.875	60.421875	0.4778898370830101
clean_729	3101	True	True	1.0	1.0	0.0	1.0	1.0	0.0	0.6911742091178894	0.6812418750487268	1.0145797468314057	29.625	108.15625	0.2739092747760763
clean_729	3102	True	True	1.0	1.0	0.0	1.0	1.0	0.0	0.6726187909953296	0.6684190409723669	1.0062831094949856	29.65625	101.84375	0.29119361767413315
clean_729	3103	True	True	1.0	1.0	0.0	1.0	1.0	0.0	0.677072332939133	0.6775075420737267	0.9993576320445652	29.421875	120.796875	0.24356486871038677
dispersed_control	3101	False	True	NA	NA	NA	NA	0.0	NA	0.8231909999158233	0.6228041250724345	1.3217494341741602	26.703125	92.234375	0.28951380653904796
dispersed_control	3102	False	True	NA	NA	NA	NA	0.0	NA	0.8629912501201034	0.6413972089067101	1.3454864444937482	27.15625	85.1875	0.31878209831254584
dispersed_control	3103	False	True	NA	NA	NA	NA	0.0	NA	0.8691501670982689	0.6042665829882026	1.4383555066046698	27.453125	93.0625	0.29499664204163867
divergent_units	3101	True	True	1.0	0.9714285714285714	0.02857142857142858	1.0	0.4755244755244755	0.5244755244755245	1.2693528330419213	0.3431305419653654	3.6993291992353337	29.203125	74.609375	0.39141361256544505
divergent_units	3102	True	True	0.9857142857142858	0.9428571428571428	0.04285714285714293	0.9857142857142858	0.46808510638297873	0.517629179331307	1.2530162089969963	0.3299018330872059	3.798148671292091	29.609375	66.359375	0.44619731575229576
divergent_units	3103	True	True	0.9857142857142858	0.9285714285714286	0.05714285714285716	0.9857142857142858	0.42483660130718953	0.5608776844070962	1.2744143749587238	0.3432165840640664	3.7131491720715792	29.890625	78.03125	0.38305967160592713
indel_01pct	3101	True	True	1.0	1.0	0.0	1.0	1.0	0.0	1.0974947500508279	0.25497662485577166	4.304295543450813	29.703125	65.609375	0.4527268397237437
indel_01pct	3102	True	True	1.0	1.0	0.0	1.0	1.0	0.0	1.0980970410164446	0.2664750418625772	4.1208250999459075	30.015625	69.703125	0.4306209370096391
indel_01pct	3103	True	True	1.0	1.0	0.0	1.0	0.9859154929577465	0.014084507042253502	1.0880403749179095	0.28375245817005634	3.8344703053315348	29.734375	71.6875	0.4147776809067132
indel_1pct	3101	True	True	1.0	1.0	0.0	1.0	1.0	0.0	1.1169592500664294	0.28023799997754395	3.9857522896821047	29.59375	55.875	0.5296420581655481
indel_1pct	3102	True	True	1.0	1.0	0.0	1.0	1.0	0.0	1.09961949987337	0.2960473340936005	3.7143367740163677	29.671875	68.28125	0.43455377574370707
indel_1pct	3103	True	True	1.0	1.0	0.0	1.0	1.0	0.0	1.124078709166497	0.2868277500383556	3.919002638399462	29.734375	61.421875	0.4841007377257695
indel_4pct	3101	True	True	1.0	1.0	0.0	1.0	0.9333333333333333	0.06666666666666665	1.1096985421609133	0.2747959999833256	4.038263083262671	29.328125	60.765625	0.4826433530470558
indel_4pct	3102	True	True	1.0	1.0	0.0	1.0	0.9210526315789473	0.07894736842105265	1.0702513339929283	0.2918552078772336	3.6670626567784947	29.09375	64.453125	0.4513939393939394
indel_4pct	3103	True	True	1.0	1.0	0.0	1.0	0.958904109589041	0.04109589041095896	1.0916065408382565	0.2835481660440564	3.849809914371471	29.484375	78.375	0.3761961722488038
low_complexity_control	3101	False	True	NA	NA	NA	NA	0.0	NA	0.13801129115745425	0.5159666249528527	0.2674810433137323	25.03125	19.265625	1.2992700729927007
low_complexity_control	3102	False	True	NA	NA	NA	NA	0.0	NA	0.144744458142668	0.5673073749057949	0.2551429164246345	25.34375	24.515625	1.0337794773741236
low_complexity_control	3103	False	True	NA	NA	NA	NA	0.0	NA	0.13842887501232326	0.4904183750040829	0.28226690121708997	25.328125	20.859375	1.2142322097378278
related_families	3101	True	True	1.0	1.0	0.0	1.0	1.0	0.0	1.0917352500837296	0.2723152081016451	4.009086593783722	29.25	63.0625	0.4638255698711596
related_families	3102	True	True	1.0	1.0	0.0	1.0	1.0	0.0	1.0989795830100775	0.2774842497892678	3.960511574421557	29.125	65.4375	0.44508118433619864
related_families	3103	True	True	1.0	1.0	0.0	1.0	1.0	0.0	1.1276210839860141	0.2621108749881387	4.302076684292639	29.375	60.421875	0.48616498577708817
short_arrays	3101	True	True	1.0	1.0	0.0	1.0	1.0	0.0	0.5021389999892563	0.14539716602303088	3.453568000835158	27.03125	46.046875	0.5870376654224635
short_arrays	3102	True	True	1.0	1.0	0.0	1.0	1.0	0.0	0.47678958298638463	0.14851829200051725	3.2103088216549387	26.84375	46.21875	0.5807978363759296
short_arrays	3103	True	True	1.0	1.0	0.0	1.0	1.0	0.0	0.4856959998141974	0.13312770798802376	3.648346442334085	26.984375	45.484375	0.5932669185846788
substitution_1pct	3101	True	True	1.0	1.0	0.0	1.0	0.9859154929577465	0.014084507042253502	1.1125414168927819	0.29191262484528124	3.811213774952173	29.15625	57.703125	0.5052802599512591
substitution_1pct	3102	True	True	1.0	1.0	0.0	1.0	1.0	0.0	1.097672542091459	0.2695145420730114	4.072776680800029	29.53125	57.65625	0.5121951219512195
substitution_1pct	3103	True	True	1.0	1.0	0.0	1.0	0.9859154929577465	0.014084507042253502	1.1037302920594811	0.27974575012922287	3.94547653199248	29.640625	59.3125	0.49973656480505796
substitution_5pct	3101	True	True	1.0	1.0	0.0	1.0	0.8974358974358975	0.10256410256410253	1.245558167109266	0.2969976251479238	4.19383207690263	29.359375	79.546875	0.36908269495187584
substitution_5pct	3102	True	True	1.0	1.0	0.0	1.0	0.8860759493670886	0.11392405063291144	1.2334781249519438	0.26269916584715247	4.695401757269471	29.546875	62.359375	0.47381608619393634
substitution_5pct	3103	True	True	1.0	1.0	0.0	1.0	0.9210526315789473	0.07894736842105265	1.247784584062174	0.2805629998911172	4.447431003184392	29.421875	63.15625	0.4658584858980703
two_arrays	3101	True	True	1.0	1.0	0.0	1.0	1.0	0.0	1.2002145829610527	0.3748328748624772	3.2019992467346965	29.265625	65.5625	0.4463775023832221
two_arrays	3102	True	True	1.0	1.0	0.0	1.0	1.0	0.0	1.1928692089859396	0.3806665001902729	3.1336332679384555	29.796875	67.15625	0.44369474174034434
two_arrays	3103	True	True	1.0	1.0	0.0	1.0	1.0	0.0	1.2028397500980645	0.36749895801767707	3.273042613743157	29.375	64.578125	0.4548753931768691
