dataset_id	tool	repetition	artifact	source_sha256	source_bytes
low_complexity_control_s3101	trf	1	failed_runs/low_complexity_control_s3101/trf/rep1/command.json	144aae1e9878d33cbbab887522db808a9ddec229856b7ca07e2acd5f397c00bf	234
low_complexity_control_s3101	trf	1	failed_runs/low_complexity_control_s3101/trf/rep1/receipt.json	65b2c3bfb043f718c36820e8c4e399584b427d0282b5176b0b517dbc4fdce0bf	404
low_complexity_control_s3101	trf	1	failed_runs/low_complexity_control_s3101/trf/rep1/stderr.log	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0
low_complexity_control_s3101	trf	2	failed_runs/low_complexity_control_s3101/trf/rep2/command.json	144aae1e9878d33cbbab887522db808a9ddec229856b7ca07e2acd5f397c00bf	234
low_complexity_control_s3101	trf	2	failed_runs/low_complexity_control_s3101/trf/rep2/receipt.json	ec789db429829ff308e0e10054e19b021e3880380d46896b81c4be83a2f26313	405
low_complexity_control_s3101	trf	2	failed_runs/low_complexity_control_s3101/trf/rep2/stderr.log	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0
low_complexity_control_s3101	trf	3	failed_runs/low_complexity_control_s3101/trf/rep3/command.json	144aae1e9878d33cbbab887522db808a9ddec229856b7ca07e2acd5f397c00bf	234
low_complexity_control_s3101	trf	3	failed_runs/low_complexity_control_s3101/trf/rep3/receipt.json	056008d7f529f139faea67f1eea125b55b6eac894606e7144fa200f02db3240d	415
low_complexity_control_s3101	trf	3	failed_runs/low_complexity_control_s3101/trf/rep3/stderr.log	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0
low_complexity_control_s3102	trf	1	failed_runs/low_complexity_control_s3102/trf/rep1/command.json	d24c71ef235aad7582c3ea11a63caad87427bcebed1c0229043eceded08a0bcb	234
low_complexity_control_s3102	trf	1	failed_runs/low_complexity_control_s3102/trf/rep1/receipt.json	10608495220bf4d20625c64271776100840cb070dd1d8cb93b9db68e790b4b49	402
low_complexity_control_s3102	trf	1	failed_runs/low_complexity_control_s3102/trf/rep1/stderr.log	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0
low_complexity_control_s3102	trf	2	failed_runs/low_complexity_control_s3102/trf/rep2/command.json	d24c71ef235aad7582c3ea11a63caad87427bcebed1c0229043eceded08a0bcb	234
low_complexity_control_s3102	trf	2	failed_runs/low_complexity_control_s3102/trf/rep2/receipt.json	61694a1c1da7cff887c3e516dcccab100ed860d2c69966c4c16f7c0f67b1525f	405
low_complexity_control_s3102	trf	2	failed_runs/low_complexity_control_s3102/trf/rep2/stderr.log	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0
low_complexity_control_s3102	trf	3	failed_runs/low_complexity_control_s3102/trf/rep3/command.json	d24c71ef235aad7582c3ea11a63caad87427bcebed1c0229043eceded08a0bcb	234
low_complexity_control_s3102	trf	3	failed_runs/low_complexity_control_s3102/trf/rep3/receipt.json	47cf6fd2bbf3f35d31c2780dfbaa46c846bba151ffca6ad6c8c9b6dcfdd92491	405
low_complexity_control_s3102	trf	3	failed_runs/low_complexity_control_s3102/trf/rep3/stderr.log	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0
low_complexity_control_s3103	trf	1	failed_runs/low_complexity_control_s3103/trf/rep1/command.json	4f12eb16a247fd3a668b769ea05a4ac5806a04ff38b75b81a2c5ff6588442870	234
low_complexity_control_s3103	trf	1	failed_runs/low_complexity_control_s3103/trf/rep1/receipt.json	4d4e0a6de85fc3dc1d86c57a2134abd6741a5347711996b96088cef531b03fa2	404
low_complexity_control_s3103	trf	1	failed_runs/low_complexity_control_s3103/trf/rep1/stderr.log	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0
low_complexity_control_s3103	trf	2	failed_runs/low_complexity_control_s3103/trf/rep2/command.json	4f12eb16a247fd3a668b769ea05a4ac5806a04ff38b75b81a2c5ff6588442870	234
low_complexity_control_s3103	trf	2	failed_runs/low_complexity_control_s3103/trf/rep2/receipt.json	29ac73d21eac0c86946905563e3504ac14a0654511aa22c1e598045886e73f34	405
low_complexity_control_s3103	trf	2	failed_runs/low_complexity_control_s3103/trf/rep2/stderr.log	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0
low_complexity_control_s3103	trf	3	failed_runs/low_complexity_control_s3103/trf/rep3/command.json	4f12eb16a247fd3a668b769ea05a4ac5806a04ff38b75b81a2c5ff6588442870	234
low_complexity_control_s3103	trf	3	failed_runs/low_complexity_control_s3103/trf/rep3/receipt.json	115827ff1a9e846c506dc00c769a1502f4f64f6dd306a3e2d33dbf8af9d7ad73	403
low_complexity_control_s3103	trf	3	failed_runs/low_complexity_control_s3103/trf/rep3/stderr.log	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0
