panel	scenario	tool	metric	value	seed	status
A	clean_60	tandemx	array_recall	1.0	mean_of_3101_3102_3103	observed
A	clean_171	tandemx	array_recall	1.0	mean_of_3101_3102_3103	observed
A	clean_421	tandemx	array_recall	1.0	mean_of_3101_3102_3103	observed
A	clean_729	tandemx	array_recall	1.0	mean_of_3101_3102_3103	observed
A	substitution_1pct	tandemx	array_recall	1.0	mean_of_3101_3102_3103	observed
A	substitution_5pct	tandemx	array_recall	1.0	mean_of_3101_3102_3103	observed
A	indel_01pct	tandemx	array_recall	1.0	mean_of_3101_3102_3103	observed
A	indel_1pct	tandemx	array_recall	1.0	mean_of_3101_3102_3103	observed
A	indel_4pct	tandemx	array_recall	1.0	mean_of_3101_3102_3103	observed
A	divergent_units	tandemx	array_recall	0.9904761904761905	mean_of_3101_3102_3103	observed
A	related_families	tandemx	array_recall	1.0	mean_of_3101_3102_3103	observed
A	short_arrays	tandemx	array_recall	1.0	mean_of_3101_3102_3103	observed
A	two_arrays	tandemx	array_recall	1.0	mean_of_3101_3102_3103	observed
A	clean_60	trf	array_recall	1.0	mean_of_3101_3102_3103	observed
A	clean_171	trf	array_recall	1.0	mean_of_3101_3102_3103	observed
A	clean_421	trf	array_recall	1.0	mean_of_3101_3102_3103	observed
A	clean_729	trf	array_recall	1.0	mean_of_3101_3102_3103	observed
A	substitution_1pct	trf	array_recall	1.0	mean_of_3101_3102_3103	observed
A	substitution_5pct	trf	array_recall	1.0	mean_of_3101_3102_3103	observed
A	indel_01pct	trf	array_recall	1.0	mean_of_3101_3102_3103	observed
A	indel_1pct	trf	array_recall	1.0	mean_of_3101_3102_3103	observed
A	indel_4pct	trf	array_recall	0.9857142857142858	mean_of_3101_3102_3103	observed
A	divergent_units	trf	array_recall	1.0	mean_of_3101_3102_3103	observed
A	related_families	trf	array_recall	1.0	mean_of_3101_3102_3103	observed
A	short_arrays	trf	array_recall	1.0	mean_of_3101_3102_3103	observed
A	two_arrays	trf	array_recall	1.0	mean_of_3101_3102_3103	observed
A	clean_60	tidehunter	array_recall	1.0	mean_of_3101_3102_3103	observed
A	clean_171	tidehunter	array_recall	1.0	mean_of_3101_3102_3103	observed
A	clean_421	tidehunter	array_recall	1.0	mean_of_3101_3102_3103	observed
A	clean_729	tidehunter	array_recall	1.0	mean_of_3101_3102_3103	observed
A	substitution_1pct	tidehunter	array_recall	1.0	mean_of_3101_3102_3103	observed
A	substitution_5pct	tidehunter	array_recall	1.0	mean_of_3101_3102_3103	observed
A	indel_01pct	tidehunter	array_recall	1.0	mean_of_3101_3102_3103	observed
A	indel_1pct	tidehunter	array_recall	1.0	mean_of_3101_3102_3103	observed
A	indel_4pct	tidehunter	array_recall	1.0	mean_of_3101_3102_3103	observed
A	divergent_units	tidehunter	array_recall	0.9476190476190475	mean_of_3101_3102_3103	observed
A	related_families	tidehunter	array_recall	1.0	mean_of_3101_3102_3103	observed
A	short_arrays	tidehunter	array_recall	1.0	mean_of_3101_3102_3103	observed
A	two_arrays	tidehunter	array_recall	1.0	mean_of_3101_3102_3103	observed
B	clean_60	tandemx	array_precision	1.0	mean_of_3101_3102_3103	observed
B	clean_171	tandemx	array_precision	1.0	mean_of_3101_3102_3103	observed
B	clean_421	tandemx	array_precision	1.0	mean_of_3101_3102_3103	observed
B	clean_729	tandemx	array_precision	1.0	mean_of_3101_3102_3103	observed
B	substitution_1pct	tandemx	array_precision	1.0	mean_of_3101_3102_3103	observed
B	substitution_5pct	tandemx	array_precision	1.0	mean_of_3101_3102_3103	observed
B	indel_01pct	tandemx	array_precision	1.0	mean_of_3101_3102_3103	observed
B	indel_1pct	tandemx	array_precision	1.0	mean_of_3101_3102_3103	observed
B	indel_4pct	tandemx	array_precision	1.0	mean_of_3101_3102_3103	observed
B	divergent_units	tandemx	array_precision	0.9904761904761905	mean_of_3101_3102_3103	observed
B	related_families	tandemx	array_precision	1.0	mean_of_3101_3102_3103	observed
B	short_arrays	tandemx	array_precision	1.0	mean_of_3101_3102_3103	observed
B	two_arrays	tandemx	array_precision	1.0	mean_of_3101_3102_3103	observed
B	clean_60	trf	array_precision	1.0	mean_of_3101_3102_3103	observed
B	clean_171	trf	array_precision	1.0	mean_of_3101_3102_3103	observed
B	clean_421	trf	array_precision	1.0	mean_of_3101_3102_3103	observed
B	clean_729	trf	array_precision	1.0	mean_of_3101_3102_3103	observed
B	substitution_1pct	trf	array_precision	1.0	mean_of_3101_3102_3103	observed
B	substitution_5pct	trf	array_precision	1.0	mean_of_3101_3102_3103	observed
B	indel_01pct	trf	array_precision	0.8013675792106589	mean_of_3101_3102_3103	observed
B	indel_1pct	trf	array_precision	0.5229424197215118	mean_of_3101_3102_3103	observed
B	indel_4pct	trf	array_precision	0.553668947119315	mean_of_3101_3102_3103	observed
B	divergent_units	trf	array_precision	0.9677828513444952	mean_of_3101_3102_3103	observed
B	related_families	trf	array_precision	1.0	mean_of_3101_3102_3103	observed
B	short_arrays	trf	array_precision	1.0	mean_of_3101_3102_3103	observed
B	two_arrays	trf	array_precision	1.0	mean_of_3101_3102_3103	observed
B	clean_60	tidehunter	array_precision	1.0	mean_of_3101_3102_3103	observed
B	clean_171	tidehunter	array_precision	1.0	mean_of_3101_3102_3103	observed
B	clean_421	tidehunter	array_precision	1.0	mean_of_3101_3102_3103	observed
B	clean_729	tidehunter	array_precision	1.0	mean_of_3101_3102_3103	observed
B	substitution_1pct	tidehunter	array_precision	0.9906103286384976	mean_of_3101_3102_3103	observed
B	substitution_5pct	tidehunter	array_precision	0.9015214927939779	mean_of_3101_3102_3103	observed
B	indel_01pct	tidehunter	array_precision	0.9953051643192489	mean_of_3101_3102_3103	observed
B	indel_1pct	tidehunter	array_precision	1.0	mean_of_3101_3102_3103	observed
B	indel_4pct	tidehunter	array_precision	0.9377633581671073	mean_of_3101_3102_3103	observed
B	divergent_units	tidehunter	array_precision	0.4561487277382146	mean_of_3101_3102_3103	observed
