scenario	dataset_id	seed	split	tool	repetition	total_bases	exit_code	runtime_seconds	peak_rss_mib	cpu_user_seconds	cpu_system_seconds	timed_out	status	error	truth_array_count	predicted_array_count	matched_array_count	array_recall	array_precision	array_f1	read_detection_recall	read_detection_precision	negative_read_count	false_positive_read_count	negative_read_call_rate	matched_period_mae_bp	matched_boundary_mae_bp	warning	base_union_recall	base_union_precision	base_union_f1	predicted_union_bp	truth_union_bp	duplicated_prediction_bp	duplicate_bp_fraction	array_recall_ci_low	array_recall_ci_high	array_precision_ci_low	array_precision_ci_high	negative_read_call_rate_ci_low	negative_read_call_rate_ci_high	truth_family_count	recovered_family_count	sequence_family_recall	family_criterion	cyclic_monomer_recall	distinct_consensus_count	homologous_consensus_fraction	unmatched_distinct_consensus_count	mean_best_cyclic_edit_similarity	prediction_sha256	catalog_sha256
clean_60	clean_60_s3101	3101	heldout	tandemx	1	500000	0	1.0500371248926967	35.46875	0.543099	0.027297	False	ok		70	70	70	1.0	1.0	1.0	1.0	1.0	30	0	0.0	0.0	1.25	planted_truth;conditional_errors_on_matches;wilson_intervals_are_descriptive	1.0	0.9986130374479889	0.9993060374739764	126175	126000	0	0.0	0.9479769375897331	1.0	0.9479769375897331	1.0	0.0	0.11351339317396876	3	3	1.0	equal_length_circular_ungapped_identity_ge_0.9	1.0	3	1.0	0	1.0	78fb7923a7ec741bb837f22b4f5cbb43afdf88bb64f74ebaaa2eb9fae600cc3a	7561355373d57a92addf8989dfc54b122760ad06e3dd0aaa85f5fbeb82e775d0
clean_60	clean_60_s3101	3101	heldout	trf	1	500000	0	0.6465633751358837	38.234375	0.592195	0.028123	False	ok		70	70	70	1.0	1.0	1.0	1.0	1.0	30	0	0.0	0.0	0.42857142857142855	planted_truth;conditional_errors_on_matches;wilson_intervals_are_descriptive	1.0	0.9995240361732508	0.9997619614377529	126060	126000	0	0.0	0.9479769375897331	1.0	0.9479769375897331	1.0	0.0	0.11351339317396876	3	3	1.0	equal_length_circular_ungapped_identity_ge_0.9	1.0	3	1.0	0	1.0	27b3f6a913ac632d9c994f7227872761e52a85329b2ae381bd3f5823c3d81eaf	a69b833282f19418722000253bc892e43453ea8c1392d7fa3f3785d1c5f25ef8
clean_60	clean_60_s3101	3101	heldout	tidehunter	1	500000	0	0.19303312501870096	43.59375	0.114441	0.072863	False	ok		70	70	70	1.0	1.0	1.0	1.0	1.0	30	0	0.0	0.0	1.0214285714285714	planted_truth;conditional_errors_on_matches;wilson_intervals_are_descriptive	0.9998730158730159	0.998992950654582	0.9994327895252488	126111	126000	0	0.0	0.9479769375897331	1.0	0.9479769375897331	1.0	0.0	0.11351339317396876	3	3	1.0	equal_length_circular_ungapped_identity_ge_0.9	1.0	3	1.0	0	1.0	2620435e814fe0f69286bc2f26cd2ba23271d7253cd60438af2ce70ff1fa106f	4261b2ebc9c73ab14d90dd30adb8c5e0bbcd2c334def818809133b555d465565
clean_60	clean_60_s3101	3101	heldout	tandemx	2	500000	0	0.6001702919602394	28.515625	0.521451	0.019233999999999998	False	ok		70	70	70	1.0	1.0	1.0	1.0	1.0	30	0	0.0	0.0	1.25	planted_truth;conditional_errors_on_matches;wilson_intervals_are_descriptive	1.0	0.9986130374479889	0.9993060374739764	126175	126000	0	0.0	0.9479769375897331	1.0	0.9479769375897331	1.0	0.0	0.11351339317396876	3	3	1.0	equal_length_circular_ungapped_identity_ge_0.9	1.0	3	1.0	0	1.0	78fb7923a7ec741bb837f22b4f5cbb43afdf88bb64f74ebaaa2eb9fae600cc3a	7561355373d57a92addf8989dfc54b122760ad06e3dd0aaa85f5fbeb82e775d0
clean_60	clean_60_s3101	3101	heldout	trf	2	500000	0	0.629992791917175	38.21875	0.5903419999999999	0.025622	False	ok		70	70	70	1.0	1.0	1.0	1.0	1.0	30	0	0.0	0.0	0.42857142857142855	planted_truth;conditional_errors_on_matches;wilson_intervals_are_descriptive	1.0	0.9995240361732508	0.9997619614377529	126060	126000	0	0.0	0.9479769375897331	1.0	0.9479769375897331	1.0	0.0	0.11351339317396876	3	3	1.0	equal_length_circular_ungapped_identity_ge_0.9	1.0	3	1.0	0	1.0	27b3f6a913ac632d9c994f7227872761e52a85329b2ae381bd3f5823c3d81eaf	a69b833282f19418722000253bc892e43453ea8c1392d7fa3f3785d1c5f25ef8
clean_60	clean_60_s3101	3101	heldout	tidehunter	2	500000	0	0.21127087506465614	52.84375	0.114829	0.074765	False	ok		70	70	70	1.0	1.0	1.0	1.0	1.0	30	0	0.0	0.0	1.0214285714285714	planted_truth;conditional_errors_on_matches;wilson_intervals_are_descriptive	0.9998730158730159	0.998992950654582	0.9994327895252488	126111	126000	0	0.0	0.9479769375897331	1.0	0.9479769375897331	1.0	0.0	0.11351339317396876	3	3	1.0	equal_length_circular_ungapped_identity_ge_0.9	1.0	3	1.0	0	1.0	2620435e814fe0f69286bc2f26cd2ba23271d7253cd60438af2ce70ff1fa106f	4261b2ebc9c73ab14d90dd30adb8c5e0bbcd2c334def818809133b555d465565
clean_60	clean_60_s3101	3101	heldout	trf	3	500000	0	0.6515103341080248	38.234375	0.5926779999999999	0.028048	False	ok		70	70	70	1.0	1.0	1.0	1.0	1.0	30	0	0.0	0.0	0.42857142857142855	planted_truth;conditional_errors_on_matches;wilson_intervals_are_descriptive	1.0	0.9995240361732508	0.9997619614377529	126060	126000	0	0.0	0.9479769375897331	1.0	0.9479769375897331	1.0	0.0	0.11351339317396876	3	3	1.0	equal_length_circular_ungapped_identity_ge_0.9	1.0	3	1.0	0	1.0	27b3f6a913ac632d9c994f7227872761e52a85329b2ae381bd3f5823c3d81eaf	a69b833282f19418722000253bc892e43453ea8c1392d7fa3f3785d1c5f25ef8
clean_60	clean_60_s3101	3101	heldout	tidehunter	3	500000	0	0.19942016690038145	60.328125	0.115495	0.077036	False	ok		70	70	70	1.0	1.0	1.0	1.0	1.0	30	0	0.0	0.0	1.0214285714285714	planted_truth;conditional_errors_on_matches;wilson_intervals_are_descriptive	0.9998730158730159	0.998992950654582	0.9994327895252488	126111	126000	0	0.0	0.9479769375897331	1.0	0.9479769375897331	1.0	0.0	0.11351339317396876	3	3	1.0	equal_length_circular_ungapped_identity_ge_0.9	1.0	3	1.0	0	1.0	2620435e814fe0f69286bc2f26cd2ba23271d7253cd60438af2ce70ff1fa106f	4261b2ebc9c73ab14d90dd30adb8c5e0bbcd2c334def818809133b555d465565
clean_60	clean_60_s3101	3101	heldout	tandemx	3	500000	0	0.5716960830613971	28.359375	0.506421	0.018768	False	ok		70	70	70	1.0	1.0	1.0	1.0	1.0	30	0	0.0	0.0	1.25	planted_truth;conditional_errors_on_matches;wilson_intervals_are_descriptive	1.0	0.9986130374479889	0.9993060374739764	126175	126000	0	0.0	0.9479769375897331	1.0	0.9479769375897331	1.0	0.0	0.11351339317396876	3	3	1.0	equal_length_circular_ungapped_identity_ge_0.9	1.0	3	1.0	0	1.0	78fb7923a7ec741bb837f22b4f5cbb43afdf88bb64f74ebaaa2eb9fae600cc3a	7561355373d57a92addf8989dfc54b122760ad06e3dd0aaa85f5fbeb82e775d0
clean_60	clean_60_s3102	3102	heldout	tandemx	1	500000	0	0.5562414999585599	28.25	0.498206	0.018015	False	ok		70	70	70	1.0	1.0	1.0	1.0	1.0	30	0	0.0	0.0	0.9428571428571428	planted_truth;conditional_errors_on_matches;wilson_intervals_are_descriptive	1.0	0.9989534773094852	0.999476464708962	126132	126000	0	0.0	0.9479769375897331	1.0	0.9479769375897331	1.0	0.0	0.11351339317396876	3	3	1.0	equal_length_circular_ungapped_identity_ge_0.9	1.0	3	1.0	0	1.0	5b01387f1a2175ac7c78a55aafebd3fdd402cc134ba9b169c66c384fea29be66	22c8e833a2347cefa01c00f01babfcfc475f9ade18dcdca287df947fa2509d3a
