scenario	dataset_id	tool	seed	split	successful_runs	attempted_runs	deterministic	median_runtime_seconds	median_peak_rss_mib	array_recall	array_precision	array_f1	read_detection_recall	read_detection_precision	negative_read_call_rate	sequence_family_recall	matched_period_mae_bp	matched_boundary_mae_bp	cyclic_monomer_recall	homologous_consensus_fraction	mean_best_cyclic_edit_similarity	base_union_recall	base_union_precision	base_union_f1	duplicate_bp_fraction
at_rich_control	at_rich_control_s3101	tandemx	3101	heldout	3	3	True	1.2065467920619994	28.125	NA	NA	NA	NA	NA	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
at_rich_control	at_rich_control_s3101	tidehunter	3101	heldout	3	3	True	0.5712711249943823	69.671875	NA	0.0	0.0	NA	0.0	0.41	NA	NA	NA	NA	0.0	NA	NA	0.0	0.0	0.01566947552349012
at_rich_control	at_rich_control_s3101	trf	3101	heldout	3	3	True	6.319230332970619	38.34375	NA	NA	NA	NA	NA	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
at_rich_control	at_rich_control_s3102	tandemx	3102	heldout	3	3	True	1.109855541959405	27.9375	NA	NA	NA	NA	NA	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
at_rich_control	at_rich_control_s3102	tidehunter	3102	heldout	3	3	True	0.5972925000824034	72.984375	NA	0.0	0.0	NA	0.0	0.53	NA	NA	NA	NA	0.0	NA	NA	0.0	0.0	0.006897419233107612
at_rich_control	at_rich_control_s3102	trf	3102	heldout	3	3	True	6.377721124794334	38.328125	NA	NA	NA	NA	NA	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
at_rich_control	at_rich_control_s3103	tandemx	3103	heldout	3	3	True	1.1513942498713732	27.578125	NA	NA	NA	NA	NA	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
at_rich_control	at_rich_control_s3103	tidehunter	3103	heldout	3	3	True	0.5713226250372827	72.203125	NA	0.0	0.0	NA	0.0	0.45	NA	NA	NA	NA	0.0	NA	NA	0.0	0.0	0.0027875119464797708
at_rich_control	at_rich_control_s3103	trf	3103	heldout	3	3	True	6.290410333080217	38.265625	NA	NA	NA	NA	NA	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
clean_171	clean_171_s3101	tandemx	3101	heldout	3	3	True	1.0825265001039952	29.859375	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.8214285714285714	1.0	1.0	1.0	1.0	0.9982278744918169	0.9991131514424331	0.0
clean_171	clean_171_s3101	tidehunter	3101	heldout	3	3	True	0.27241762494668365	63.1875	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.1714285714285715	1.0	1.0	1.0	0.9998050682261208	0.9990538998803462	0.9994293429092377	0.0
clean_171	clean_171_s3101	trf	3101	heldout	3	3	True	0.9991282499395311	39.09375	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.5142857142857142	1.0	1.0	1.0	1.0	0.999498997995992	0.9997494362315209	0.0
clean_171	clean_171_s3102	tandemx	3102	heldout	3	3	True	1.0892515839077532	29.59375	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.5071428571428571	1.0	1.0	1.0	1.0	0.9985332044963191	0.9992660639811333	0.0
clean_171	clean_171_s3102	tidehunter	3102	heldout	3	3	True	0.2724164999090135	67.21875	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	2.0	1.0	1.0	1.0	0.9998468393205235	0.9982067891795713	0.9990261411538837	0.0
clean_171	clean_171_s3102	trf	3102	heldout	3	3	True	1.017028999980539	38.296875	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.4	1.0	1.0	1.0	1.0	0.9996102883865939	0.9998051062171117	0.0
