scenario	dataset_id	tool	seed	split	successful_runs	attempted_runs	deterministic	median_runtime_seconds	median_peak_rss_mib	array_recall	array_precision	array_f1	read_detection_recall	read_detection_precision	negative_read_call_rate	sequence_family_recall	matched_period_mae_bp	matched_boundary_mae_bp
at_rich_control	at_rich_control_s1101	tandemx	1101	development	0	3	False	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
at_rich_control	at_rich_control_s1101	tidehunter	1101	development	3	3	True	0.5000087080989033	79.640625	NA	0.0	0.0	NA	0.0	0.39	NA	NA	NA
at_rich_control	at_rich_control_s1101	trf	1101	development	3	3	True	5.3602936659008265	38.328125	NA	NA	NA	NA	NA	0.0	NA	NA	NA
clean_171	clean_171_s1101	tandemx	1101	development	3	3	True	0.41723333299160004	25.640625	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.4928571428571429
clean_171	clean_171_s1101	tidehunter	1101	development	3	3	True	0.22379200020805	53.515625	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.4642857142857142
clean_171	clean_171_s1101	trf	1101	development	3	3	True	0.8453299170359969	38.25	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.4357142857142857
clean_421	clean_421_s1101	tandemx	1101	development	3	3	True	0.3131059999577701	26.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.39285714285714285
clean_421	clean_421_s1101	tidehunter	1101	development	3	3	True	0.39357824996113777	62.078125	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	6.414285714285715
clean_421	clean_421_s1101	trf	1101	development	3	3	True	0.6349208750762045	38.359375	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.45
clean_60	clean_60_s1101	tandemx	1101	development	3	3	True	0.22625329089350998	25.75	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.4357142857142857
clean_60	clean_60_s1101	tidehunter	1101	development	3	3	True	0.19271116703748703	54.1875	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.4785714285714286
clean_60	clean_60_s1101	trf	1101	development	3	3	True	0.533967541065067	38.234375	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.4142857142857143
clean_729	clean_729_s1101	tandemx	1101	development	3	3	True	0.48804054083302617	25.96875	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.5285714285714286
clean_729	clean_729_s1101	tidehunter	1101	development	3	3	True	0.5641765419859439	92.734375	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.5642857142857143
clean_729	clean_729_s1101	trf	1101	development	3	3	True	0.4401649588253349	38.6875	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.45714285714285713
dispersed_control	dispersed_control_s1101	tandemx	1101	development	0	3	False	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
dispersed_control	dispersed_control_s1101	tidehunter	1101	development	3	3	True	0.5223019169643521	75.375	NA	0.0	0.0	NA	0.0	0.71	NA	NA	NA
dispersed_control	dispersed_control_s1101	trf	1101	development	3	3	True	0.16859449981711805	38.078125	NA	NA	NA	NA	NA	0.0	NA	NA	NA
