accession	metadata_rows	pacbio_wgs_run_rows	distinct_nonempty_biosample_ids	missing_biosample_run_rows	reported_fastq_bytes	metadata_sha256	metadata_file	warning
ERR8666125	1	1	1	0	17397432231	79b1025e643dc76938a838a0aa26dc43cdc12bc7494d26e84ebd512789af7035	/Volumes/T7/Codex/TandemX/data/manifests/cohort_screen_20260906/ERR8666125.tsv	run_and_biosample_counts_are_not_independent_specimen_counts;HiFi_status_requires_paper_and_experiment_review
ERR8666127	1	1	1	0	14044296938	c006739c9f36ca1bee3cb3795bb1ea8e7c11caffb0c6b8ec2ae1cf6eeb5631c8	/Volumes/T7/Codex/TandemX/data/manifests/cohort_screen_20260906/ERR8666127.tsv	run_and_biosample_counts_are_not_independent_specimen_counts;HiFi_status_requires_paper_and_experiment_review
PRJEB40587	5	5	5	0	126289065159	816e6a60196e433a57ec86003e9c8ad3cb500a77d7910385c300c1a47d515cc7	/Volumes/T7/Codex/TandemX/data/manifests/cohort_screen_20260906/PRJEB40587.tsv	run_and_biosample_counts_are_not_independent_specimen_counts;HiFi_status_requires_paper_and_experiment_review
PRJEB46164	1	1	1	0	11074308726	606c21cb7a9386547dcc62c8428eecbe8a980e793c0c46acde3f09e446a59016	/Volumes/T7/Codex/TandemX/data/manifests/cohort_screen_20260906/PRJEB46164.tsv	run_and_biosample_counts_are_not_independent_specimen_counts;HiFi_status_requires_paper_and_experiment_review
PRJEB56828	691	285	24	0	5887989466114	a886d87836bbb0f24db52029b9c9a2ded140369a1b35eaa707d607a157d4f12a	/Volumes/T7/Codex/TandemX/data/manifests/cohort_screen_20260906/PRJEB56828.tsv	run_and_biosample_counts_are_not_independent_specimen_counts;HiFi_status_requires_paper_and_experiment_review
PRJEB57567	1472	1397	70	0	5602968854804	251f0ede44a8a531c4a52c6728737c43a83f78dca2cfb5eed28c5a9af07e61f5	/Volumes/T7/Codex/TandemX/data/manifests/cohort_screen_20260906/PRJEB57567.tsv	run_and_biosample_counts_are_not_independent_specimen_counts;HiFi_status_requires_paper_and_experiment_review
PRJEB58554	31	25	0	25	332473624792	37c832215957f18d1f908e0b5300342a2db12c72e1a9dfb5071dfa8040394c46	/Volumes/T7/Codex/TandemX/data/manifests/cohort_screen_20260906/PRJEB58554.tsv	run_and_biosample_counts_are_not_independent_specimen_counts;HiFi_status_requires_paper_and_experiment_review
PRJEB91463	12	3	1	0	107210002303	b03cb6c61f8a3dddf81550e340fbc12a30d2df8f6ed355f3d162308010ba0468	/Volumes/T7/Codex/TandemX/data/manifests/cohort_screen_20260906/PRJEB91463.tsv	run_and_biosample_counts_are_not_independent_specimen_counts;HiFi_status_requires_paper_and_experiment_review
PRJNA1062539	271	80	80	0	2150792694882	65a1e265cf505fe8838736ccacdd1494b14b922dd65cf9ccf497cb44f7c088dd	/Volumes/T7/Codex/TandemX/data/manifests/cohort_screen_20260906/PRJNA1062539.tsv	run_and_biosample_counts_are_not_independent_specimen_counts;HiFi_status_requires_paper_and_experiment_review
PRJNA751841	51	7	7	0	142689053121	e248ac1cbe24cbd12799ad5a86ec7b4386024a5f94d20b394375904a412ec63c	/Volumes/T7/Codex/TandemX/data/manifests/cohort_screen_20260906/PRJNA751841.tsv	run_and_biosample_counts_are_not_independent_specimen_counts;HiFi_status_requires_paper_and_experiment_review
PRJNA953663	10	1	1	0	28649678204	5e066ed94ba5a13b0caa433ecec17a516efc9f54f09475b474890c4465168d5d	/Volumes/T7/Codex/TandemX/data/manifests/cohort_screen_20260906/PRJNA953663.tsv	run_and_biosample_counts_are_not_independent_specimen_counts;HiFi_status_requires_paper_and_experiment_review
SRR11606869	1	1	1	0	41983609719	8f021c37ed16a80c764c1893e679e8114e922d10083dde81468f9050f656f5bd	/Volumes/T7/Codex/TandemX/data/manifests/cohort_screen_20260906/SRR11606869.tsv	run_and_biosample_counts_are_not_independent_specimen_counts;HiFi_status_requires_paper_and_experiment_review
