panel	scenario	tool	seed	metric	value	source_dataset
a	clean_60	tandemx	1101	array_recall	1.0	clean_60_s1101
a	clean_60	trf	1101	array_recall	1.0	clean_60_s1101
a	clean_60	tidehunter	1101	array_recall	1.0	clean_60_s1101
a	clean_60	elastic	1101	array_recall	1.0	clean_60_s1101
a	clean_171	tandemx	1101	array_recall	1.0	clean_171_s1101
a	clean_171	trf	1101	array_recall	1.0	clean_171_s1101
a	clean_171	tidehunter	1101	array_recall	1.0	clean_171_s1101
a	clean_171	elastic	1101	array_recall	1.0	clean_171_s1101
a	clean_421	tandemx	1101	array_recall	1.0	clean_421_s1101
a	clean_421	trf	1101	array_recall	1.0	clean_421_s1101
a	clean_421	tidehunter	1101	array_recall	1.0	clean_421_s1101
a	clean_421	elastic	1101	array_recall	1.0	clean_421_s1101
a	clean_729	tandemx	1101	array_recall	1.0	clean_729_s1101
a	clean_729	trf	1101	array_recall	1.0	clean_729_s1101
a	clean_729	tidehunter	1101	array_recall	1.0	clean_729_s1101
a	clean_729	elastic	1101	array_recall	1.0	clean_729_s1101
a	substitution_1pct	tandemx	1101	array_recall	1.0	substitution_1pct_s1101
a	substitution_1pct	trf	1101	array_recall	1.0	substitution_1pct_s1101
a	substitution_1pct	tidehunter	1101	array_recall	1.0	substitution_1pct_s1101
a	substitution_1pct	elastic	1101	array_recall	1.0	substitution_1pct_s1101
a	substitution_5pct	tandemx	1101	array_recall	1.0	substitution_5pct_s1101
a	substitution_5pct	trf	1101	array_recall	1.0	substitution_5pct_s1101
a	substitution_5pct	tidehunter	1101	array_recall	1.0	substitution_5pct_s1101
a	substitution_5pct	elastic	1101	array_recall	1.0	substitution_5pct_s1101
a	indel_01pct	tandemx	1101	array_recall	0.7	indel_01pct_s1101
a	indel_01pct	trf	1101	array_recall	1.0	indel_01pct_s1101
a	indel_01pct	tidehunter	1101	array_recall	1.0	indel_01pct_s1101
a	indel_01pct	elastic	1101	array_recall	1.0	indel_01pct_s1101
a	indel_1pct	tandemx	1101	array_recall	0.02857142857142857	indel_1pct_s1101
a	indel_1pct	trf	1101	array_recall	1.0	indel_1pct_s1101
a	indel_1pct	tidehunter	1101	array_recall	1.0	indel_1pct_s1101
a	indel_1pct	elastic	1101	array_recall	1.0	indel_1pct_s1101
a	indel_4pct	tandemx	1101	array_recall	0.0	indel_4pct_s1101
a	indel_4pct	trf	1101	array_recall	1.0	indel_4pct_s1101
a	indel_4pct	tidehunter	1101	array_recall	1.0	indel_4pct_s1101
a	indel_4pct	elastic	1101	array_recall	1.0	indel_4pct_s1101
a	divergent_units	tandemx	1101	array_recall	1.0	divergent_units_s1101
a	divergent_units	trf	1101	array_recall	1.0	divergent_units_s1101
a	divergent_units	tidehunter	1101	array_recall	0.9571428571428572	divergent_units_s1101
a	divergent_units	elastic	1101	array_recall	1.0	divergent_units_s1101
a	related_families	tandemx	1101	array_recall	1.0	related_families_s1101
a	related_families	trf	1101	array_recall	1.0	related_families_s1101
a	related_families	tidehunter	1101	array_recall	1.0	related_families_s1101
a	related_families	elastic	1101	array_recall	1.0	related_families_s1101
a	short_arrays	tandemx	1101	array_recall	1.0	short_arrays_s1101
a	short_arrays	trf	1101	array_recall	1.0	short_arrays_s1101
a	short_arrays	tidehunter	1101	array_recall	1.0	short_arrays_s1101
a	short_arrays	elastic	1101	array_recall	1.0	short_arrays_s1101
a	two_arrays	tandemx	1101	array_recall	0.5	two_arrays_s1101
a	two_arrays	trf	1101	array_recall	1.0	two_arrays_s1101
a	two_arrays	tidehunter	1101	array_recall	1.0	two_arrays_s1101
a	two_arrays	elastic	1101	array_recall	1.0	two_arrays_s1101
b	clean_60	tandemx	1101	array_precision	1.0	clean_60_s1101
b	clean_60	trf	1101	array_precision	1.0	clean_60_s1101
b	clean_60	tidehunter	1101	array_precision	1.0	clean_60_s1101
b	clean_60	elastic	1101	array_precision	1.0	clean_60_s1101
b	clean_171	tandemx	1101	array_precision	1.0	clean_171_s1101
b	clean_171	trf	1101	array_precision	1.0	clean_171_s1101
b	clean_171	tidehunter	1101	array_precision	1.0	clean_171_s1101
b	clean_171	elastic	1101	array_precision	1.0	clean_171_s1101
b	clean_421	tandemx	1101	array_precision	1.0	clean_421_s1101
b	clean_421	trf	1101	array_precision	1.0	clean_421_s1101
b	clean_421	tidehunter	1101	array_precision	1.0	clean_421_s1101
b	clean_421	elastic	1101	array_precision	1.0	clean_421_s1101
b	clean_729	tandemx	1101	array_precision	1.0	clean_729_s1101
b	clean_729	trf	1101	array_precision	1.0	clean_729_s1101
b	clean_729	tidehunter	1101	array_precision	1.0	clean_729_s1101
b	clean_729	elastic	1101	array_precision	1.0	clean_729_s1101
b	substitution_1pct	tandemx	1101	array_precision	1.0	substitution_1pct_s1101
b	substitution_1pct	trf	1101	array_precision	1.0	substitution_1pct_s1101
b	substitution_1pct	tidehunter	1101	array_precision	1.0	substitution_1pct_s1101
b	substitution_1pct	elastic	1101	array_precision	1.0	substitution_1pct_s1101
b	substitution_5pct	tandemx	1101	array_precision	1.0	substitution_5pct_s1101
b	substitution_5pct	trf	1101	array_precision	1.0	substitution_5pct_s1101
b	substitution_5pct	tidehunter	1101	array_precision	0.9090909090909091	substitution_5pct_s1101
b	substitution_5pct	elastic	1101	array_precision	1.0	substitution_5pct_s1101
b	indel_01pct	tandemx	1101	array_precision	0.7	indel_01pct_s1101
b	indel_01pct	trf	1101	array_precision	0.813953488372093	indel_01pct_s1101
b	indel_01pct	tidehunter	1101	array_precision	1.0	indel_01pct_s1101
b	indel_01pct	elastic	1101	array_precision	1.0	indel_01pct_s1101
b	indel_1pct	tandemx	1101	array_precision	0.02857142857142857	indel_1pct_s1101
b	indel_1pct	trf	1101	array_precision	0.5384615384615384	indel_1pct_s1101
b	indel_1pct	tidehunter	1101	array_precision	1.0	indel_1pct_s1101
b	indel_1pct	elastic	1101	array_precision	1.0	indel_1pct_s1101
b	indel_4pct	tandemx	1101	array_precision	0.0	indel_4pct_s1101
b	indel_4pct	trf	1101	array_precision	0.5555555555555556	indel_4pct_s1101
b	indel_4pct	tidehunter	1101	array_precision	0.9859154929577465	indel_4pct_s1101
b	indel_4pct	elastic	1101	array_precision	1.0	indel_4pct_s1101
b	divergent_units	tandemx	1101	array_precision	1.0	divergent_units_s1101
b	divergent_units	trf	1101	array_precision	1.0	divergent_units_s1101
b	divergent_units	tidehunter	1101	array_precision	0.48905109489051096	divergent_units_s1101
b	divergent_units	elastic	1101	array_precision	1.0	divergent_units_s1101
b	related_families	tandemx	1101	array_precision	1.0	related_families_s1101
b	related_families	trf	1101	array_precision	1.0	related_families_s1101
b	related_families	tidehunter	1101	array_precision	1.0	related_families_s1101
b	related_families	elastic	1101	array_precision	1.0	related_families_s1101
b	short_arrays	tandemx	1101	array_precision	1.0	short_arrays_s1101
b	short_arrays	trf	1101	array_precision	1.0	short_arrays_s1101
b	short_arrays	tidehunter	1101	array_precision	1.0	short_arrays_s1101
b	short_arrays	elastic	1101	array_precision	1.0	short_arrays_s1101
b	two_arrays	tandemx	1101	array_precision	1.0	two_arrays_s1101
b	two_arrays	trf	1101	array_precision	1.0	two_arrays_s1101
b	two_arrays	tidehunter	1101	array_precision	1.0	two_arrays_s1101
b	two_arrays	elastic	1101	array_precision	1.0	two_arrays_s1101
c	clean_60	tandemx	1101	sequence_family_recall	1.0	clean_60_s1101
c	clean_60	trf	1101	sequence_family_recall	1.0	clean_60_s1101
c	clean_60	tidehunter	1101	sequence_family_recall	1.0	clean_60_s1101
c	clean_60	elastic	1101	sequence_family_recall	1.0	clean_60_s1101
c	clean_171	tandemx	1101	sequence_family_recall	1.0	clean_171_s1101
c	clean_171	trf	1101	sequence_family_recall	1.0	clean_171_s1101
c	clean_171	tidehunter	1101	sequence_family_recall	1.0	clean_171_s1101
c	clean_171	elastic	1101	sequence_family_recall	1.0	clean_171_s1101
c	clean_421	tandemx	1101	sequence_family_recall	1.0	clean_421_s1101
c	clean_421	trf	1101	sequence_family_recall	1.0	clean_421_s1101
c	clean_421	tidehunter	1101	sequence_family_recall	1.0	clean_421_s1101
c	clean_421	elastic	1101	sequence_family_recall	1.0	clean_421_s1101
c	clean_729	tandemx	1101	sequence_family_recall	1.0	clean_729_s1101
c	clean_729	trf	1101	sequence_family_recall	1.0	clean_729_s1101
c	clean_729	tidehunter	1101	sequence_family_recall	1.0	clean_729_s1101
c	clean_729	elastic	1101	sequence_family_recall	1.0	clean_729_s1101
c	substitution_1pct	tandemx	1101	sequence_family_recall	1.0	substitution_1pct_s1101
c	substitution_1pct	trf	1101	sequence_family_recall	1.0	substitution_1pct_s1101
c	substitution_1pct	tidehunter	1101	sequence_family_recall	1.0	substitution_1pct_s1101
c	substitution_1pct	elastic	1101	sequence_family_recall	1.0	substitution_1pct_s1101
c	substitution_5pct	tandemx	1101	sequence_family_recall	1.0	substitution_5pct_s1101
c	substitution_5pct	trf	1101	sequence_family_recall	1.0	substitution_5pct_s1101
c	substitution_5pct	tidehunter	1101	sequence_family_recall	1.0	substitution_5pct_s1101
c	substitution_5pct	elastic	1101	sequence_family_recall	1.0	substitution_5pct_s1101
c	indel_01pct	tandemx	1101	sequence_family_recall	1.0	indel_01pct_s1101
c	indel_01pct	trf	1101	sequence_family_recall	1.0	indel_01pct_s1101
c	indel_01pct	tidehunter	1101	sequence_family_recall	1.0	indel_01pct_s1101
c	indel_01pct	elastic	1101	sequence_family_recall	1.0	indel_01pct_s1101
c	indel_1pct	tandemx	1101	sequence_family_recall	1.0	indel_1pct_s1101
c	indel_1pct	trf	1101	sequence_family_recall	1.0	indel_1pct_s1101
c	indel_1pct	tidehunter	1101	sequence_family_recall	1.0	indel_1pct_s1101
c	indel_1pct	elastic	1101	sequence_family_recall	1.0	indel_1pct_s1101
c	indel_4pct	tandemx	1101	sequence_family_recall	0.3333333333333333	indel_4pct_s1101
c	indel_4pct	trf	1101	sequence_family_recall	1.0	indel_4pct_s1101
c	indel_4pct	tidehunter	1101	sequence_family_recall	1.0	indel_4pct_s1101
c	indel_4pct	elastic	1101	sequence_family_recall	1.0	indel_4pct_s1101
c	divergent_units	tandemx	1101	sequence_family_recall	1.0	divergent_units_s1101
c	divergent_units	trf	1101	sequence_family_recall	1.0	divergent_units_s1101
c	divergent_units	tidehunter	1101	sequence_family_recall	1.0	divergent_units_s1101
c	divergent_units	elastic	1101	sequence_family_recall	1.0	divergent_units_s1101
c	related_families	tandemx	1101	sequence_family_recall	1.0	related_families_s1101
c	related_families	trf	1101	sequence_family_recall	1.0	related_families_s1101
c	related_families	tidehunter	1101	sequence_family_recall	1.0	related_families_s1101
c	related_families	elastic	1101	sequence_family_recall	1.0	related_families_s1101
c	short_arrays	tandemx	1101	sequence_family_recall	1.0	short_arrays_s1101
c	short_arrays	trf	1101	sequence_family_recall	1.0	short_arrays_s1101
c	short_arrays	tidehunter	1101	sequence_family_recall	1.0	short_arrays_s1101
c	short_arrays	elastic	1101	sequence_family_recall	1.0	short_arrays_s1101
c	two_arrays	tandemx	1101	sequence_family_recall	1.0	two_arrays_s1101
c	two_arrays	trf	1101	sequence_family_recall	1.0	two_arrays_s1101
c	two_arrays	tidehunter	1101	sequence_family_recall	1.0	two_arrays_s1101
c	two_arrays	elastic	1101	sequence_family_recall	1.0	two_arrays_s1101
