scenario	dataset_id	tool	seed	split	successful_runs	attempted_runs	deterministic	median_runtime_seconds	median_peak_rss_mib	array_recall	array_precision	array_f1	read_detection_recall	read_detection_precision	negative_read_call_rate	sequence_family_recall	matched_period_mae_bp	matched_boundary_mae_bp
at_rich_control	at_rich_control_s1101	tandemx	1101	development	1	1	not_tested_single_run	1.5839649168774486	34.234375	NA	NA	NA	NA	NA	0.0	NA	NA	NA
clean_171	clean_171_s1101	tandemx	1101	development	1	1	not_tested_single_run	1.6222023339942098	35.765625	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.3214285714285714
clean_421	clean_421_s1101	tandemx	1101	development	1	1	not_tested_single_run	1.196496499935165	34.546875	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.9928571428571429
clean_60	clean_60_s1101	tandemx	1101	development	1	1	not_tested_single_run	0.9563779591117054	32.25	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.4928571428571429
clean_729	clean_729_s1101	tandemx	1101	development	1	1	not_tested_single_run	1.3284768748562783	34.28125	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.1857142857142857
dispersed_control	dispersed_control_s1101	tandemx	1101	development	1	1	not_tested_single_run	0.9991261661052704	32.296875	NA	NA	NA	NA	NA	0.0	NA	NA	NA
divergent_units	divergent_units_s1101	tandemx	1101	development	1	1	not_tested_single_run	1.535820874851197	36.015625	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	3.1142857142857143
indel_01pct	indel_01pct_s1101	tandemx	1101	development	1	1	not_tested_single_run	1.6560567079577595	38.625	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.5642857142857143
indel_1pct	indel_1pct_s1101	tandemx	1101	development	1	1	not_tested_single_run	1.5989565830677748	36.171875	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.4642857142857142
indel_4pct	indel_4pct_s1101	tandemx	1101	development	1	1	not_tested_single_run	1.5527763329446316	34.953125	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.14285714285714285	1.7428571428571429
low_complexity_control	low_complexity_control_s1101	tandemx	1101	development	1	1	not_tested_single_run	0.6334903750102967	24.0	NA	NA	NA	NA	NA	0.0	NA	NA	NA
related_families	related_families_s1101	tandemx	1101	development	1	1	not_tested_single_run	1.5370330000296235	35.203125	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.4285714285714286
short_arrays	short_arrays_s1101	tandemx	1101	development	1	1	not_tested_single_run	0.8456472498364747	31.9375	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.2214285714285715
substitution_1pct	substitution_1pct_s1101	tandemx	1101	development	1	1	not_tested_single_run	1.7234662079717964	37.703125	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.6
substitution_5pct	substitution_5pct_s1101	tandemx	1101	development	1	1	not_tested_single_run	1.694389499956742	37.0625	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.02857142857142857	1.9642857142857142
two_arrays	two_arrays_s1101	tandemx	1101	development	1	1	not_tested_single_run	1.911274541169405	36.78125	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.65
