family_id	monomer_length	diagnostic_kmer_count	median_kmer_depth	haploid_depth	estimated_copy_number	estimated_bp	depth_mad	copy_number_interval_low	copy_number_interval_high	normalization_method	raw_median_kmer_depth	kmer_survival_probability	single_copy_control_kmer_count	single_copy_control_mean_depth	single_copy_control_median_depth	single_copy_control_depth_mad	single_copy_control_zero_fraction	quality_window_count	confidence	warning
TXF000001	185	10	37135.0378	107.0000	347.0564	64205.4391	259.1196	335.2604	350.3849	explicit_haploid_depth	35326.5000	0.95129835	0	NA	NA	NA	NA	18620038709	medium	independent_base_error_survival_approximation;phred_scores_treated_as_calibrated_probabilities;genome_background_uniqueness_not_verified
TXF000002	312	312	129573.9665	107.0000	1210.9716	377823.1547	4805.0120	465.4947	1857.0773	explicit_haploid_depth	123263.5000	0.95129835	0	NA	NA	NA	NA	18620038709	medium	independent_base_error_survival_approximation;phred_scores_treated_as_calibrated_probabilities;genome_background_uniqueness_not_verified
TXF000003	178	0	0.0000	107.0000	0.0000	0.0000	0.0000	0.0000	0.0000	explicit_haploid_depth	0.0000	0.95129835	0	NA	NA	NA	NA	18620038709	low	independent_base_error_survival_approximation;phred_scores_treated_as_calibrated_probabilities;no_diagnostic_kmers
TXF000004	356	0	0.0000	107.0000	0.0000	0.0000	0.0000	0.0000	0.0000	explicit_haploid_depth	0.0000	0.95129835	0	NA	NA	NA	NA	18620038709	low	independent_base_error_survival_approximation;phred_scores_treated_as_calibrated_probabilities;no_diagnostic_kmers
TXF000005	178	0	0.0000	107.0000	0.0000	0.0000	0.0000	0.0000	0.0000	explicit_haploid_depth	0.0000	0.95129835	0	NA	NA	NA	NA	18620038709	low	independent_base_error_survival_approximation;phred_scores_treated_as_calibrated_probabilities;no_diagnostic_kmers
TXF000006	534	0	0.0000	107.0000	0.0000	0.0000	0.0000	0.0000	0.0000	explicit_haploid_depth	0.0000	0.95129835	0	NA	NA	NA	NA	18620038709	low	independent_base_error_survival_approximation;phred_scores_treated_as_calibrated_probabilities;no_diagnostic_kmers
TXF000007	116	22	3.1536	107.0000	0.0295	3.4188	2.6280	0.0000	580.1348	explicit_haploid_depth	3.0000	0.95129835	0	NA	NA	NA	NA	18620038709	medium	independent_base_error_survival_approximation;phred_scores_treated_as_calibrated_probabilities;genome_background_uniqueness_not_verified
TXF000008	42	32	32099.8140	107.0000	299.9983	12599.9270	1737.6252	0.0098	324.3624	explicit_haploid_depth	30536.5000	0.95129835	0	NA	NA	NA	NA	18620038709	medium	independent_base_error_survival_approximation;phred_scores_treated_as_calibrated_probabilities;genome_background_uniqueness_not_verified
TXF000009	42	32	34017.7192	107.0000	317.9226	13352.7496	726.3757	0.0000	324.1699	explicit_haploid_depth	32361.0000	0.95129835	0	NA	NA	NA	NA	18620038709	medium	independent_base_error_survival_approximation;phred_scores_treated_as_calibrated_probabilities;genome_background_uniqueness_not_verified
TXF000010	356	0	0.0000	107.0000	0.0000	0.0000	0.0000	0.0000	0.0000	explicit_haploid_depth	0.0000	0.95129835	0	NA	NA	NA	NA	18620038709	low	independent_base_error_survival_approximation;phred_scores_treated_as_calibrated_probabilities;no_diagnostic_kmers
TXF000011	712	0	0.0000	107.0000	0.0000	0.0000	0.0000	0.0000	0.0000	explicit_haploid_depth	0.0000	0.95129835	0	NA	NA	NA	NA	18620038709	low	independent_base_error_survival_approximation;phred_scores_treated_as_calibrated_probabilities;no_diagnostic_kmers
