[M::mm_idx_gen::0.003*0.92] collected minimizers
[M::mm_idx_gen::0.004*1.81] sorted minimizers
[M::main::0.004*1.81] loaded/built the index for 22 target sequence(s)
[M::mm_mapopt_update::0.004*1.79] mid_occ = 50
[M::mm_idx_stat] kmer size: 19; skip: 19; is_hpc: 0; #seq: 22
[M::mm_idx_stat::0.004*1.78] distinct minimizers: 3695 (91.34% are singletons); average occurrences: 1.147; average spacing: 10.057; total length: 42630
[M::worker_pipeline::2.831*3.77] mapped 2173 sequences
[M::worker_pipeline::5.262*3.90] mapped 2207 sequences
[M::worker_pipeline::7.805*3.96] mapped 2201 sequences
[M::worker_pipeline::10.192*3.98] mapped 2203 sequences
[M::worker_pipeline::12.701*3.98] mapped 2201 sequences
[M::worker_pipeline::14.816*4.00] mapped 2203 sequences
[M::worker_pipeline::17.362*3.99] mapped 2221 sequences
[M::worker_pipeline::19.599*3.99] mapped 2192 sequences
[M::worker_pipeline::21.889*4.00] mapped 2214 sequences
[M::worker_pipeline::24.102*4.00] mapped 2215 sequences
[M::worker_pipeline::26.405*4.01] mapped 2228 sequences
[M::worker_pipeline::28.573*4.01] mapped 2239 sequences
[M::worker_pipeline::30.967*4.01] mapped 2213 sequences
[M::worker_pipeline::33.238*4.01] mapped 2230 sequences
[M::worker_pipeline::35.063*4.01] mapped 2227 sequences
[M::worker_pipeline::37.245*4.01] mapped 2241 sequences
[M::worker_pipeline::39.332*4.01] mapped 2238 sequences
[M::worker_pipeline::41.465*4.00] mapped 2239 sequences
[M::worker_pipeline::44.015*3.99] mapped 2241 sequences
[M::worker_pipeline::46.508*3.98] mapped 2232 sequences
[M::worker_pipeline::48.904*3.97] mapped 2245 sequences
[M::worker_pipeline::51.390*3.96] mapped 2213 sequences
[M::worker_pipeline::53.799*3.96] mapped 2233 sequences
[M::worker_pipeline::55.784*3.96] mapped 2248 sequences
[M::worker_pipeline::58.103*3.95] mapped 2245 sequences
[M::worker_pipeline::60.420*3.94] mapped 2237 sequences
[M::worker_pipeline::62.679*3.94] mapped 2239 sequences
[M::worker_pipeline::65.222*3.94] mapped 2237 sequences
[M::worker_pipeline::67.264*3.94] mapped 2241 sequences
[M::worker_pipeline::69.366*3.94] mapped 2224 sequences
[M::worker_pipeline::71.523*3.95] mapped 2254 sequences
[M::worker_pipeline::73.668*3.95] mapped 2230 sequences
[M::worker_pipeline::75.887*3.95] mapped 2256 sequences
[M::worker_pipeline::78.165*3.95] mapped 2236 sequences
[M::worker_pipeline::80.074*3.95] mapped 2240 sequences
[M::worker_pipeline::81.862*3.95] mapped 2253 sequences
[M::worker_pipeline::83.829*3.96] mapped 2241 sequences
[M::worker_pipeline::85.829*3.96] mapped 2242 sequences
[M::worker_pipeline::87.693*3.96] mapped 2234 sequences
[M::worker_pipeline::90.047*3.96] mapped 2230 sequences
[M::worker_pipeline::92.259*3.96] mapped 2255 sequences
[M::worker_pipeline::94.800*3.95] mapped 2274 sequences
[M::worker_pipeline::96.882*3.96] mapped 2244 sequences
[M::worker_pipeline::98.931*3.96] mapped 2253 sequences
[M::worker_pipeline::101.039*3.96] mapped 2291 sequences
[M::worker_pipeline::103.229*3.96] mapped 2271 sequences
[M::worker_pipeline::105.434*3.96] mapped 2255 sequences
