read_id	start	end	period	sequence	family_id
r000000001	0	16128	421		
r000000006	11841	15475	61		
r000000010	0	2794	61		
r000000015	8924	12497	61		
r000000017	6669	10577	421		
r000000019	1868	10290	421		
r000000020	0	14981	171		
r000000025	0	12631	171		
r000000026	0	11438	171		
r000000028	0	12993	421		
r000000039	11029	13817	421		
r000000045	14634	17880	171		
r000000047	12198	13420	61		
r000000048	0	13707	171		
r000000052	0	14658	421		
r000000058	0	6672	421		
r000000061	0	11784	421		
r000000064	10980	12295	171		
r000000065	0	7415	421		
r000000067	0	15731	171		
r000000074	0	14732	421		
r000000084	0	13457	171		
r000000087	1934	5361	171		
r000000091	0	12768	171		
r000000095	6215	9635	171		
r000000096	3961	12679	421		
r000000104	0	11993	171		
r000000106	0	7496	171		
r000000109	0	3987	421		
r000000114	15	1235	61		
r000000119	4279	10875	421		
r000000131	0	14021	171		
r000000139	0	11943	421		
r000000144	2	14145	171		
r000000146	0	12192	421		
r000000149	0	13642	171		
r000000151	14793	18337	61		
r000000152	0	14405	421		
r000000156	0	10301	421		
r000000161	0	13731	171		
r000000167	0	12296	171		
r000000178	0	5266	421		
r000000179	0	17934	421		
r000000182	1	11027	171		
r000000183	0	1762	421		
r000000184	0	14930	171		
r000000188	4823	14791	171		
r000000189	0	12842	171		
r000000193	1112	4539	171		
r000000196	0	13618	421		
r000000203	4914	6136	61		
r000000205	0	17230	171		
r000000206	0	13593	421		
r000000212	0	16382	171		
r000000213	0	15991	171		
r000000222	0	14553	421		
r000000223	0	11725	421		
r000000227	87	12898	421		
r000000229	0	13858	171		
r000000231	0	2962	61		
r000000234	0	11680	421		
r000000236	0	11320	171		
r000000237	0	5844	171		
r000000240	0	11155	171		
r000000243	12124	15935	171		
r000000248	0	11728	421		
r000000249	0	10895	421		
r000000250	9189	18048	421		
r000000254	2864	14017	421		
r000000270	0	14561	171		
r000000272	22193	22487	61		
r000000274	3266	6687	171		
r000000276	0	12948	421		
r000000278	0	14311	171		
r000000284	0	3108	61		
r000000285	0	2213	421		
r000000287	0	10929	171		
r000000291	13750	16561	421		
r000000293	6685	17596	421		
r000000296	0	8626	171		
r000000298	0	12201	421		
r000000303	0	16321	171		
r000000305	2	15546	171		
r000000308	12044	16260	421		
r000000311	0	13289	171		
r000000313	0	12751	171		
r000000317	0	5982	171		
r000000323	0	10451	421		
r000000326	0	2411	171		
r000000340	0	3284	421		
r000000350	0	12916	171		
r000000356	0	17396	171		
r000000362	0	11629	171		
r000000369	0	3329	171		
r000000371	0	2225	171		
r000000378	34	16473	421		
r000000380	0	5047	61		
r000000382	0	15389	421		
r000000383	0	17153	171		
r000000388	0	13562	421		
r000000391	0	11345	171		
r000000392	0	13615	171		
r000000396	0	4984	421		
r000000397	0	11386	421		
r000000399	0	12056	171		
r000000404	0	12872	171		
r000000406	0	4487	171		
r000000414	0	15724	171		
r000000430	0	12763	171		
r000000432	0	5093	421		
r000000436	0	12229	171		
r000000440	0	453	61		
r000000441	0	1479	171		
r000000442	0	1866	61		
r000000448	0	7604	421		
r000000450	0	5029	421		
r000000457	0	4631	61		
r000000459	0	17203	171		
r000000461	11998	16365	421		
r000000462	0	11971	421		
r000000463	6612	11492	61		
r000000464	9868	11088	61		
r000000465	6078	9498	171		
r000000468	10893	15089	61		
r000000473	4726	12641	171		
r000000475	0	16706	171		
r000000482	5068	8488	171		
r000000484	0	12222	171		
r000000486	1518	13194	171		
r000000487	0	3286	61		
r000000491	0	18097	171		
r000000495	0	1159	171		
r000000497	0	11662	421		
r000000501	0	13181	421		
r000000503	0	16205	171		
r000000504	0	15475	171		
r000000510	8610	10825	61		
r000000512	0	13541	171		
r000000513	2	18822	421		
r000000519	0	11076	421		
r000000522	0	13792	171		
r000000524	0	8383	171		
r000000537	0	12290	171		
r000000538	0	10865	171		
r000000540	0	13465	171		
r000000541	0	10410	171		
r000000548	0	12064	171		
r000000549	0	12955	171		
