seed	condition_id	family_id	k	diagnostic_kmer_count	total_exposure	valid_windows	mean_corrected_count	uncorrected_copy_number
6301	condition_001	f001	15	61	9997040	9997040	59.459016393443186	59.47662147339932
6301	condition_001	f001	21	61	9992708	9992708	59.01639344262348	59.05945960056422
6301	condition_001	f001	27	61	9988376	9988376	58.721311475410346	58.789648562899856
6301	condition_001	f001	31	61	9985488	9985488	58.52459016393492	58.609644480004306
6301	condition_001	f002	15	61	9997040	9997040	0.11475409836065574	0.11478807563104253
6301	condition_001	f002	21	61	9992708	9992708	0.0	0.0
6301	condition_001	f002	27	61	9988376	9988376	0.0	0.0
6301	condition_001	f002	31	61	9985488	9985488	0.0	0.0
6301	condition_001	f003	15	61	9997040	9997040	106.21311475409927	106.24456314479012
6301	condition_001	f003	21	61	9992708	9992708	105.62295081967297	105.70002727956522
6301	condition_001	f003	27	61	9988376	9988376	105.03278688524671	105.15501907942463
6301	condition_001	f003	31	61	9985488	9985488	104.63934426229586	104.79141756746978
6301	condition_001	f004	15	61	9997040	9997040	0.0	0.0
6301	condition_001	f004	21	61	9992708	9992708	0.0	0.0
6301	condition_001	f004	27	61	9988376	9988376	0.0	0.0
6301	condition_001	f004	31	61	9985488	9985488	0.0	0.0
6301	condition_001	f005	15	61	9997040	9997040	19.78688524590183	19.792743898095665
6301	condition_001	f005	21	61	9992708	9992708	19.688524590164114	19.702891938966008
6301	condition_001	f005	27	61	9988376	9988376	19.5901639344264	19.612962041503444
6301	condition_001	f005	31	61	9985488	9985488	19.52459016393459	19.552965427362782
6301	condition_001	f006	15	61	9997040	9997040	0.0	0.0
6301	condition_001	f006	21	61	9992708	9992708	0.0	0.0
6301	condition_001	f006	27	61	9988376	9988376	0.0	0.0
6301	condition_001	f006	31	61	9985488	9985488	0.0	0.0
6301	condition_001	f007	15	61	9997040	9997040	68.65573770491694	68.67606582039978
6301	condition_001	f007	21	61	9992708	9992708	68.4590163934415	68.50897313665274
6301	condition_001	f007	27	61	9988376	9988376	68.36065573770377	68.44021063855001
6301	condition_001	f007	31	61	9985488	9985488	68.29508196721194	68.39433582736461
6301	condition_001	f008	15	61	9997040	9997040	75.6721311475423	75.6945367304145
6301	condition_001	f008	21	61	9992708	9992708	65.44262295082194	65.49037853484955
6301	condition_001	f008	27	61	9988376	9988376	56.52459016393643	56.5903708109671
6301	condition_001	f008	31	61	9985488	9985488	51.393442622952335	51.468133177819986
6301	condition_001	f009	15	61	9997040	9997040	57.77049180327693	57.78759693196879
6301	condition_001	f009	21	61	9992708	9992708	57.67213114753924	57.71421635410465
6301	condition_001	f009	27	61	9988376	9988376	57.57377049180155	57.64077212532002
6301	condition_001	f009	31	61	9985488	9985488	57.50819672130975	57.59177390359866
6301	condition_001	f010	15	61	9997040	9997040	133.86885245901365	133.90848937186772
6301	condition_001	f010	21	61	9992708	9992708	117.01639344262159	117.10178406356074
6301	condition_001	f010	27	61	9988376	9988376	102.8852459016392	103.00497888909989
6301	condition_001	f010	31	61	9985488	9985488	94.26229508196795	94.39928732773797
6301	condition_001	f011	15	61	9997040	9997040	86.83606557377045	86.86177665966171
6301	condition_001	f011	21	61	9992708	9992708	86.60655737704917	86.6697569638272
6301	condition_001	f011	27	61	9988376	9988376	86.40983606557378	86.51039574959312
6301	condition_001	f011	31	61	9985488	9985488	86.2786885245902	86.40407812276194
6301	condition_001	f012	15	61	9997040	9997040	46.70491803278696	46.71874678183439
6301	condition_001	f012	21	61	9992708	9992708	40.80327868852536	40.833054151612714
6301	condition_001	f012	27	61	9988376	9988376	35.40983606557506	35.451044359538585
6301	condition_001	f012	31	61	9985488	9985488	32.18032786885345	32.22709583032242
6301	condition_001	f013	15	61	9997040	9997040	102.47540983606365	102.50575153851905
6301	condition_001	f013	21	61	9992708	9992708	102.21311475409647	102.28770294708548
6301	condition_001	f013	27	61	9988376	9988376	102.01639344262108	102.13511530064655
6301	condition_001	f013	31	61	9985488	9985488	101.88524590163749	102.03331665076108
