seed	coverage	error_model	unit_substitution_rate	array_scope	family_conditions	intervals_available	truth_covered	conditional_coverage_fraction	available_and_covering_fraction	mean_relative_interval_width	warning
6301	1	error_free	0.0	factorial	27	0	0	NA	0.0	NA	descriptive_within_genome_dependent_families_not_independent_binomial_trials
6301	1	error_free	0.01	megabase	1	1	1	1.0	1.0	0.39939888239276705	descriptive_within_genome_dependent_families_not_independent_binomial_trials
6301	1	error_free	0.02	factorial	27	0	0	NA	0.0	NA	descriptive_within_genome_dependent_families_not_independent_binomial_trials
6301	1	iid_high_indel	0.0	factorial	27	0	0	NA	0.0	NA	descriptive_within_genome_dependent_families_not_independent_binomial_trials
6301	1	iid_high_indel	0.01	megabase	1	1	1	1.0	1.0	0.4050411987122259	descriptive_within_genome_dependent_families_not_independent_binomial_trials
6301	1	iid_high_indel	0.02	factorial	27	0	0	NA	0.0	NA	descriptive_within_genome_dependent_families_not_independent_binomial_trials
6301	1	iid_low_indel	0.0	factorial	27	0	0	NA	0.0	NA	descriptive_within_genome_dependent_families_not_independent_binomial_trials
6301	1	iid_low_indel	0.01	megabase	1	1	1	1.0	1.0	0.4005357219110906	descriptive_within_genome_dependent_families_not_independent_binomial_trials
6301	1	iid_low_indel	0.02	factorial	27	0	0	NA	0.0	NA	descriptive_within_genome_dependent_families_not_independent_binomial_trials
6301	20	error_free	0.0	factorial	27	24	23	0.9583333333333334	0.8518518518518519	0.6985089189325253	descriptive_within_genome_dependent_families_not_independent_binomial_trials
6301	20	error_free	0.01	megabase	1	1	1	1.0	1.0	0.09638143934868594	descriptive_within_genome_dependent_families_not_independent_binomial_trials
6301	20	error_free	0.02	factorial	27	23	20	0.8695652173913043	0.7407407407407407	0.6864621081227207	descriptive_within_genome_dependent_families_not_independent_binomial_trials
6301	20	iid_high_indel	0.0	factorial	27	24	23	0.9583333333333334	0.8518518518518519	0.7075059138185946	descriptive_within_genome_dependent_families_not_independent_binomial_trials
6301	20	iid_high_indel	0.01	megabase	1	1	1	1.0	1.0	0.09753893243314936	descriptive_within_genome_dependent_families_not_independent_binomial_trials
6301	20	iid_high_indel	0.02	factorial	27	23	21	0.9130434782608695	0.7777777777777778	0.6967969521656828	descriptive_within_genome_dependent_families_not_independent_binomial_trials
6301	20	iid_low_indel	0.0	factorial	27	24	23	0.9583333333333334	0.8518518518518519	0.7004525140662292	descriptive_within_genome_dependent_families_not_independent_binomial_trials
6301	20	iid_low_indel	0.01	megabase	1	1	1	1.0	1.0	0.09662780492481897	descriptive_within_genome_dependent_families_not_independent_binomial_trials
6301	20	iid_low_indel	0.02	factorial	27	23	20	0.8695652173913043	0.7407407407407407	0.6883664735817658	descriptive_within_genome_dependent_families_not_independent_binomial_trials
6301	5	error_free	0.0	factorial	27	3	3	1.0	0.1111111111111111	0.7194449732887392	descriptive_within_genome_dependent_families_not_independent_binomial_trials
6301	5	error_free	0.01	megabase	1	1	1	1.0	1.0	0.1890201793367267	descriptive_within_genome_dependent_families_not_independent_binomial_trials
6301	5	error_free	0.02	factorial	27	3	3	1.0	0.1111111111111111	0.7395042675421302	descriptive_within_genome_dependent_families_not_independent_binomial_trials
6301	5	iid_high_indel	0.0	factorial	27	3	3	1.0	0.1111111111111111	0.7283957466122155	descriptive_within_genome_dependent_families_not_independent_binomial_trials
6301	5	iid_high_indel	0.01	megabase	1	1	1	1.0	1.0	0.19119690796152525	descriptive_within_genome_dependent_families_not_independent_binomial_trials
6301	5	iid_high_indel	0.02	factorial	27	3	3	1.0	0.1111111111111111	0.7505722791730941	descriptive_within_genome_dependent_families_not_independent_binomial_trials
6301	5	iid_low_indel	0.0	factorial	27	3	3	1.0	0.1111111111111111	0.7212767723214224	descriptive_within_genome_dependent_families_not_independent_binomial_trials
6301	5	iid_low_indel	0.01	megabase	1	1	1	1.0	1.0	0.18948654760870887	descriptive_within_genome_dependent_families_not_independent_binomial_trials
6301	5	iid_low_indel	0.02	factorial	27	3	3	1.0	0.1111111111111111	0.7416650414930005	descriptive_within_genome_dependent_families_not_independent_binomial_trials
6302	1	error_free	0.0	factorial	27	0	0	NA	0.0	NA	descriptive_within_genome_dependent_families_not_independent_binomial_trials
6302	1	error_free	0.01	megabase	1	1	1	1.0	1.0	0.4668767496003082	descriptive_within_genome_dependent_families_not_independent_binomial_trials
6302	1	error_free	0.02	factorial	27	0	0	NA	0.0	NA	descriptive_within_genome_dependent_families_not_independent_binomial_trials
6302	1	iid_high_indel	0.0	factorial	27	0	0	NA	0.0	NA	descriptive_within_genome_dependent_families_not_independent_binomial_trials
6302	1	iid_high_indel	0.01	megabase	1	1	1	1.0	1.0	0.47398013084022783	descriptive_within_genome_dependent_families_not_independent_binomial_trials
6302	1	iid_high_indel	0.02	factorial	27	0	0	NA	0.0	NA	descriptive_within_genome_dependent_families_not_independent_binomial_trials
6302	1	iid_low_indel	0.0	factorial	27	0	0	NA	0.0	NA	descriptive_within_genome_dependent_families_not_independent_binomial_trials
6302	1	iid_low_indel	0.01	megabase	1	1	1	1.0	1.0	0.4675868111895179	descriptive_within_genome_dependent_families_not_independent_binomial_trials
6302	1	iid_low_indel	0.02	factorial	27	0	0	NA	0.0	NA	descriptive_within_genome_dependent_families_not_independent_binomial_trials
6302	20	error_free	0.0	factorial	27	23	22	0.9565217391304348	0.8148148148148148	0.666227497398293	descriptive_within_genome_dependent_families_not_independent_binomial_trials
6302	20	error_free	0.01	megabase	1	1	1	1.0	1.0	0.09700000737582073	descriptive_within_genome_dependent_families_not_independent_binomial_trials
6302	20	error_free	0.02	factorial	27	22	21	0.9545454545454546	0.7777777777777778	0.6804180441097744	descriptive_within_genome_dependent_families_not_independent_binomial_trials
6302	20	iid_high_indel	0.0	factorial	27	23	22	0.9565217391304348	0.8148148148148148	0.6743939505960546	descriptive_within_genome_dependent_families_not_independent_binomial_trials
6302	20	iid_high_indel	0.01	megabase	1	1	1	1.0	1.0	0.0981235285727098	descriptive_within_genome_dependent_families_not_independent_binomial_trials
6302	20	iid_high_indel	0.02	factorial	27	22	21	0.9545454545454546	0.7777777777777778	0.6888293012642053	descriptive_within_genome_dependent_families_not_independent_binomial_trials
6302	20	iid_low_indel	0.0	factorial	27	23	22	0.9565217391304348	0.8148148148148148	0.6679738885587763	descriptive_within_genome_dependent_families_not_independent_binomial_trials
6302	20	iid_low_indel	0.01	megabase	1	1	1	1.0	1.0	0.09721237258847047	descriptive_within_genome_dependent_families_not_independent_binomial_trials
6302	20	iid_low_indel	0.02	factorial	27	22	21	0.9545454545454546	0.7777777777777778	0.6818400853509269	descriptive_within_genome_dependent_families_not_independent_binomial_trials
6302	5	error_free	0.0	factorial	27	3	2	0.6666666666666666	0.07407407407407407	0.7777712199321991	descriptive_within_genome_dependent_families_not_independent_binomial_trials
6302	5	error_free	0.01	megabase	1	1	1	1.0	1.0	0.1994971504114933	descriptive_within_genome_dependent_families_not_independent_binomial_trials
6302	5	error_free	0.02	factorial	27	3	3	1.0	0.1111111111111111	0.7488958755625497	descriptive_within_genome_dependent_families_not_independent_binomial_trials
6302	5	iid_high_indel	0.0	factorial	27	3	2	0.6666666666666666	0.07407407407407407	0.7870278472134029	descriptive_within_genome_dependent_families_not_independent_binomial_trials
6302	5	iid_high_indel	0.01	megabase	1	1	1	1.0	1.0	0.2019512863929238	descriptive_within_genome_dependent_families_not_independent_binomial_trials
6302	5	iid_high_indel	0.02	factorial	27	3	3	1.0	0.1111111111111111	0.7576935002148865	descriptive_within_genome_dependent_families_not_independent_binomial_trials
6302	5	iid_low_indel	0.0	factorial	27	3	2	0.6666666666666666	0.07407407407407407	0.7795699654648838	descriptive_within_genome_dependent_families_not_independent_binomial_trials
6302	5	iid_low_indel	0.01	megabase	1	1	1	1.0	1.0	0.1998870859966675	descriptive_within_genome_dependent_families_not_independent_binomial_trials
6302	5	iid_low_indel	0.02	factorial	27	3	3	1.0	0.1111111111111111	0.7507574457458358	descriptive_within_genome_dependent_families_not_independent_binomial_trials
6303	1	error_free	0.0	factorial	27	0	0	NA	0.0	NA	descriptive_within_genome_dependent_families_not_independent_binomial_trials
6303	1	error_free	0.01	megabase	1	1	1	1.0	1.0	0.42976842287749967	descriptive_within_genome_dependent_families_not_independent_binomial_trials
6303	1	error_free	0.02	factorial	27	0	0	NA	0.0	NA	descriptive_within_genome_dependent_families_not_independent_binomial_trials
6303	1	iid_high_indel	0.0	factorial	27	0	0	NA	0.0	NA	descriptive_within_genome_dependent_families_not_independent_binomial_trials
6303	1	iid_high_indel	0.01	megabase	1	1	1	1.0	1.0	0.43457117476841706	descriptive_within_genome_dependent_families_not_independent_binomial_trials
6303	1	iid_high_indel	0.02	factorial	27	0	0	NA	0.0	NA	descriptive_within_genome_dependent_families_not_independent_binomial_trials
6303	1	iid_low_indel	0.0	factorial	27	0	0	NA	0.0	NA	descriptive_within_genome_dependent_families_not_independent_binomial_trials
6303	1	iid_low_indel	0.01	megabase	1	1	1	1.0	1.0	0.43127422769240636	descriptive_within_genome_dependent_families_not_independent_binomial_trials
6303	1	iid_low_indel	0.02	factorial	27	0	0	NA	0.0	NA	descriptive_within_genome_dependent_families_not_independent_binomial_trials
6303	20	error_free	0.0	factorial	27	25	23	0.92	0.8518518518518519	0.726352157183873	descriptive_within_genome_dependent_families_not_independent_binomial_trials
6303	20	error_free	0.01	megabase	1	1	1	1.0	1.0	0.09669592188517148	descriptive_within_genome_dependent_families_not_independent_binomial_trials
6303	20	error_free	0.02	factorial	27	22	22	1.0	0.8148148148148148	0.6743916669417104	descriptive_within_genome_dependent_families_not_independent_binomial_trials
6303	20	iid_high_indel	0.0	factorial	27	23	21	0.9130434782608695	0.7777777777777778	0.7225908379026895	descriptive_within_genome_dependent_families_not_independent_binomial_trials
6303	20	iid_high_indel	0.01	megabase	1	1	1	1.0	1.0	0.09801605007992384	descriptive_within_genome_dependent_families_not_independent_binomial_trials
6303	20	iid_high_indel	0.02	factorial	27	22	22	1.0	0.8148148148148148	0.6828407752494183	descriptive_within_genome_dependent_families_not_independent_binomial_trials
6303	20	iid_low_indel	0.0	factorial	27	25	23	0.92	0.8518518518518519	0.7281896082911195	descriptive_within_genome_dependent_families_not_independent_binomial_trials
6303	20	iid_low_indel	0.01	megabase	1	1	1	1.0	1.0	0.09697940423611681	descriptive_within_genome_dependent_families_not_independent_binomial_trials
6303	20	iid_low_indel	0.02	factorial	27	22	22	1.0	0.8148148148148148	0.6762231968748252	descriptive_within_genome_dependent_families_not_independent_binomial_trials
6303	5	error_free	0.0	factorial	27	4	3	0.75	0.1111111111111111	0.8993745485408127	descriptive_within_genome_dependent_families_not_independent_binomial_trials
6303	5	error_free	0.01	megabase	1	1	1	1.0	1.0	0.1901429177901071	descriptive_within_genome_dependent_families_not_independent_binomial_trials
6303	5	error_free	0.02	factorial	27	3	3	1.0	0.1111111111111111	0.7100364211087566	descriptive_within_genome_dependent_families_not_independent_binomial_trials
6303	5	iid_high_indel	0.0	factorial	27	4	3	0.75	0.1111111111111111	0.9109028485801618	descriptive_within_genome_dependent_families_not_independent_binomial_trials
6303	5	iid_high_indel	0.01	megabase	1	1	1	1.0	1.0	0.19261088899546622	descriptive_within_genome_dependent_families_not_independent_binomial_trials
