panel	statistic	x	y	method	coverage	error	divergence	n	seed	status	family_id	condition_id
A	mean_signed_error_percent	0	1.2464283950617279	native_median_k21	20	error_free	0	81	NA	NA	NA	NA
A	genome_mean_signed_error_percent	0	2.812989814814814	native_median_k21	NA	error_free	0	NA	6301	NA	NA	NA
A	genome_mean_signed_error_percent	0	-6.053673148148149	native_median_k21	NA	error_free	0	NA	6302	NA	NA	NA
A	genome_mean_signed_error_percent	0	6.979968518518518	native_median_k21	NA	error_free	0	NA	6303	NA	NA	NA
A	mean_signed_error_percent	1	-4.8804438271604935	native_median_k21	20	iid_low_indel	0	81	NA	NA	NA	NA
A	genome_mean_signed_error_percent	1	-3.3703611111111114	native_median_k21	NA	iid_low_indel	0	NA	6301	NA	NA	NA
A	genome_mean_signed_error_percent	1	-11.814574074074073	native_median_k21	NA	iid_low_indel	0	NA	6302	NA	NA	NA
A	genome_mean_signed_error_percent	1	0.5436037037037041	native_median_k21	NA	iid_low_indel	0	NA	6303	NA	NA	NA
A	mean_signed_error_percent	2	-32.78993796296296	native_median_k21	20	iid_high_indel	0	81	NA	NA	NA	NA
A	genome_mean_signed_error_percent	2	-31.702419444444445	native_median_k21	NA	iid_high_indel	0	NA	6301	NA	NA	NA
A	genome_mean_signed_error_percent	2	-37.73342685185185	native_median_k21	NA	iid_high_indel	0	NA	6302	NA	NA	NA
A	genome_mean_signed_error_percent	2	-28.93396759259259	native_median_k21	NA	iid_high_indel	0	NA	6303	NA	NA	NA
A	mean_signed_error_percent	3	-34.79077067901235	native_median_k21	20	error_free	0.02	81	NA	NA	NA	NA
A	genome_mean_signed_error_percent	3	-35.390090740740746	native_median_k21	NA	error_free	0.02	NA	6301	NA	NA	NA
A	genome_mean_signed_error_percent	3	-33.502035185185186	native_median_k21	NA	error_free	0.02	NA	6302	NA	NA	NA
A	genome_mean_signed_error_percent	3	-35.48018611111111	native_median_k21	NA	error_free	0.02	NA	6303	NA	NA	NA
A	mean_signed_error_percent	4	-38.655914814814814	native_median_k21	20	iid_low_indel	0.02	81	NA	NA	NA	NA
A	genome_mean_signed_error_percent	4	-39.18703611111111	native_median_k21	NA	iid_low_indel	0.02	NA	6301	NA	NA	NA
A	genome_mean_signed_error_percent	4	-37.420282407407406	native_median_k21	NA	iid_low_indel	0.02	NA	6302	NA	NA	NA
A	genome_mean_signed_error_percent	4	-39.360425925925924	native_median_k21	NA	iid_low_indel	0.02	NA	6303	NA	NA	NA
A	mean_signed_error_percent	5	-56.5864925925926	native_median_k21	20	iid_high_indel	0.02	81	NA	NA	NA	NA
A	genome_mean_signed_error_percent	5	-57.092073148148145	native_median_k21	NA	iid_high_indel	0.02	NA	6301	NA	NA	NA
A	genome_mean_signed_error_percent	5	-55.722109259259256	native_median_k21	NA	iid_high_indel	0.02	NA	6302	NA	NA	NA
A	genome_mean_signed_error_percent	5	-56.94529537037036	native_median_k21	NA	iid_high_indel	0.02	NA	6303	NA	NA	NA
A	mean_signed_error_percent	0	1.0512566373616379	mean_k21_exposure	20	error_free	0	81	NA	NA	NA	NA
A	genome_mean_signed_error_percent	0	2.593411124154727	mean_k21_exposure	NA	error_free	0	NA	6301	NA	NA	NA
A	genome_mean_signed_error_percent	0	-6.231607286497532	mean_k21_exposure	NA	error_free	0	NA	6302	NA	NA	NA
A	genome_mean_signed_error_percent	0	6.791966074427718	mean_k21_exposure	NA	error_free	0	NA	6303	NA	NA	NA
A	mean_signed_error_percent	1	-4.923933717908566	mean_k21_exposure	20	iid_low_indel	0	81	NA	NA	NA	NA
A	genome_mean_signed_error_percent	1	-3.455780025259019	mean_k21_exposure	NA	iid_low_indel	0	NA	6301	NA	NA	NA
A	genome_mean_signed_error_percent	1	-11.842914448175229	mean_k21_exposure	NA	iid_low_indel	0	NA	6302	NA	NA	NA
A	genome_mean_signed_error_percent	1	0.5268933197085492	mean_k21_exposure	NA	iid_low_indel	0	NA	6303	NA	NA	NA
A	mean_signed_error_percent	2	-32.721470705935765	mean_k21_exposure	20	iid_high_indel	0	81	NA	NA	NA	NA
A	genome_mean_signed_error_percent	2	-31.61481709312195	mean_k21_exposure	NA	iid_high_indel	0	NA	6301	NA	NA	NA
A	genome_mean_signed_error_percent	2	-37.62105699658927	mean_k21_exposure	NA	iid_high_indel	0	NA	6302	NA	NA	NA
A	genome_mean_signed_error_percent	2	-28.928538028096074	mean_k21_exposure	NA	iid_high_indel	0	NA	6303	NA	NA	NA
A	mean_signed_error_percent	3	-34.766012177796696	mean_k21_exposure	20	error_free	0.02	81	NA	NA	NA	NA
