seed	condition_id	coverage	error_model	unit_substitution_rate	period	requested_gc	founder_gc	array_scope	family_id	method	truth_copies	sampling_oracle_copy_estimate	estimate	signed_relative_error	absolute_relative_error	estimator_minus_sampling_oracle	status	warning
6301	condition_001	1	error_free	0.0	61	0.3	0.2786885245901639	factorial	f001	native_median_k21	20.0	59.95714263444491	59.9571	1.997855	1.997855	-2.13172224547975e-06	single_k_baseline	development_only_no_confidence_interval_or_external_superiority
6301	condition_001	1	error_free	0.0	61	0.3	0.2786885245901639	factorial	f001	mean_k21_exposure	20.0	59.95714263444491	59.05945960056368	1.9529729800281839	1.9529729800281839	-0.04488415169406146	single_k_baseline	development_only_no_confidence_interval_or_external_superiority
6301	condition_001	1	error_free	0.0	61	0.3	0.2786885245901639	factorial	f001	multik_loglinear	20.0	59.95714263444491	60.252339171890284	2.0126169585945144	2.0126169585945144	0.01475982687226889	experimental_log_linear_extrapolation	development_only_no_confidence_interval_or_external_superiority
6301	condition_001	1	error_free	0.02	61	0.3	0.29508196721311475	factorial	f002	native_median_k21	20.0	0.0	0.0	-1.0	1.0	0.0	single_k_baseline	development_only_no_confidence_interval_or_external_superiority
6301	condition_001	1	error_free	0.02	61	0.3	0.29508196721311475	factorial	f002	mean_k21_exposure	20.0	0.0	0.0	-1.0	1.0	0.0	single_k_baseline	development_only_no_confidence_interval_or_external_superiority
6301	condition_001	1	error_free	0.02	61	0.3	0.29508196721311475	factorial	f002	multik_loglinear	20.0	0.0	NA	NA	NA	NA	zero_support_at_one_or_more_k_not_absence	development_only_no_confidence_interval_or_external_superiority
6301	condition_001	1	error_free	0.0	61	0.5	0.5409836065573771	factorial	f003	native_median_k21	20.0	107.33311435543251	106.9236	4.3461799999999995	4.3461799999999995	-0.020475717771626024	single_k_baseline	development_only_no_confidence_interval_or_external_superiority
6301	condition_001	1	error_free	0.0	61	0.5	0.5409836065573771	factorial	f003	mean_k21_exposure	20.0	107.33311435543251	105.7000272795644	4.285001363978219	4.285001363978219	-0.08165435379340594	single_k_baseline	development_only_no_confidence_interval_or_external_superiority
6301	condition_001	1	error_free	0.0	61	0.5	0.5409836065573771	factorial	f003	multik_loglinear	20.0	107.33311435543251	107.62630206950892	4.381315103475446	4.381315103475446	0.014659385703820504	experimental_log_linear_extrapolation	development_only_no_confidence_interval_or_external_superiority
6301	condition_001	1	error_free	0.02	61	0.5	0.4918032786885246	factorial	f004	native_median_k21	20.0	0.0	0.0	-1.0	1.0	0.0	single_k_baseline	development_only_no_confidence_interval_or_external_superiority
