seed	condition_id	family_id	k	diagnostic_kmer_count	total_exposure	valid_windows	mean_corrected_count	uncorrected_copy_number
6301	condition_001	f001	15	61	9997040	9997040	59.459016393442624	59.476621473398744
6301	condition_001	f001	21	61	9992708	9992708	59.01639344262295	59.05945960056368
6301	condition_001	f001	27	61	9988376	9988376	58.721311475409834	58.789648562899345
6301	condition_001	f001	31	61	9985488	9985488	58.52459016393443	58.6096444800038
6301	condition_001	f002	15	61	9997040	9997040	0.11475409836065574	0.11478807563104253
6301	condition_001	f002	21	61	9992708	9992708	0.0	0.0
6301	condition_001	f002	27	61	9988376	9988376	0.0	0.0
6301	condition_001	f002	31	61	9985488	9985488	0.0	0.0
6301	condition_001	f003	15	61	9997040	9997040	106.21311475409836	106.24456314478921
6301	condition_001	f003	21	61	9992708	9992708	105.62295081967213	105.7000272795644
6301	condition_001	f003	27	61	9988376	9988376	105.0327868852459	105.15501907942382
6301	condition_001	f003	31	61	9985488	9985488	104.63934426229508	104.791417567469
6301	condition_001	f004	15	61	9997040	9997040	0.0	0.0
6301	condition_001	f004	21	61	9992708	9992708	0.0	0.0
6301	condition_001	f004	27	61	9988376	9988376	0.0	0.0
6301	condition_001	f004	31	61	9985488	9985488	0.0	0.0
6301	condition_001	f005	15	61	9997040	9997040	19.78688524590164	19.792743898095477
6301	condition_001	f005	21	61	9992708	9992708	19.688524590163933	19.702891938965827
6301	condition_001	f005	27	61	9988376	9988376	19.59016393442623	19.612962041503273
6301	condition_001	f005	31	61	9985488	9985488	19.524590163934427	19.552965427362615
6301	condition_001	f006	15	61	9997040	9997040	0.0	0.0
6301	condition_001	f006	21	61	9992708	9992708	0.0	0.0
6301	condition_001	f006	27	61	9988376	9988376	0.0	0.0
6301	condition_001	f006	31	61	9985488	9985488	0.0	0.0
6301	condition_001	f007	15	61	9997040	9997040	68.65573770491804	68.67606582040088
6301	condition_001	f007	21	61	9992708	9992708	68.45901639344262	68.50897313665386
6301	condition_001	f007	27	61	9988376	9988376	68.36065573770492	68.44021063855118
6301	condition_001	f007	31	61	9985488	9985488	68.29508196721312	68.3943358273658
6301	condition_001	f008	15	61	9997040	9997040	75.67213114754098	75.69453673041319
6301	condition_001	f008	21	61	9992708	9992708	65.44262295081967	65.49037853484728
6301	condition_001	f008	27	61	9988376	9988376	56.52459016393443	56.59037081096509
6301	condition_001	f008	31	61	9985488	9985488	51.39344262295082	51.46813317781847
6301	condition_001	f009	15	61	9997040	9997040	57.77049180327869	57.78759693197055
6301	condition_001	f009	21	61	9992708	9992708	57.67213114754098	57.7142163541064
6301	condition_001	f009	27	61	9988376	9988376	57.57377049180328	57.64077212532175
6301	condition_001	f009	31	61	9985488	9985488	57.50819672131148	57.59177390360038
6301	condition_001	f010	15	61	9997040	9997040	133.86885245901638	133.90848937187044
6301	condition_001	f010	21	61	9992708	9992708	117.01639344262296	117.10178406356209
6301	condition_001	f010	27	61	9988376	9988376	102.88524590163935	103.00497888910004
6301	condition_001	f010	31	61	9985488	9985488	94.26229508196721	94.39928732773723
6301	condition_001	f011	15	61	9997040	9997040	86.8360655737705	86.86177665966176
6301	condition_001	f011	21	61	9992708	9992708	86.60655737704919	86.66975696382721
6301	condition_001	f011	27	61	9988376	9988376	86.40983606557377	86.5103957495931
6301	condition_001	f011	31	61	9985488	9985488	86.27868852459017	86.40407812276192
6301	condition_001	f012	15	61	9997040	9997040	46.704918032786885	46.71874678183431
6301	condition_001	f012	21	61	9992708	9992708	40.80327868852459	40.83305415161195
6301	condition_001	f012	27	61	9988376	9988376	35.40983606557377	35.4510443595373
6301	condition_001	f012	31	61	9985488	9985488	32.18032786885246	32.227095830321424
6301	condition_001	f013	15	61	9997040	9997040	102.47540983606558	102.50575153852098
6301	condition_001	f013	21	61	9992708	9992708	102.21311475409836	102.28770294708737
6301	condition_001	f013	27	61	9988376	9988376	102.01639344262296	102.13511530064844
6301	condition_001	f013	31	61	9985488	9985488	101.88524590163935	102.03331665076294
6301	condition_001	f014	15	61	9997040	9997040	0.0	0.0
6301	condition_001	f014	21	61	9992708	9992708	0.0	0.0
6301	condition_001	f014	27	61	9988376	9988376	0.0	0.0
6301	condition_001	f014	31	61	9985488	9985488	0.0	0.0
6301	condition_001	f015	15	61	9997040	9997040	53.60655737704918	53.62242961621558
6301	condition_001	f015	21	61	9992708	9992708	53.49180327868852	53.530837965733134
6301	condition_001	f015	27	61	9988376	9988376	53.39344262295082	53.455579388431936
6301	condition_001	f015	31	61	9985488	9985488	53.32786885245902	53.40537072645726
6301	condition_001	f016	15	61	9997040	9997040	84.0	84.02487136192313
6301	condition_001	f016	21	61	9992708	9992708	74.27868852459017	74.33289206948724
6301	condition_001	f016	27	61	9988376	9988376	66.01639344262296	66.09322020178551
6301	condition_001	f016	31	61	9985488	9985488	61.049180327868854	61.13790365365103
6301	condition_001	f017	15	61	9997040	9997040	0.0	0.0
6301	condition_001	f017	21	61	9992708	9992708	0.0	0.0
6301	condition_001	f017	27	61	9988376	9988376	0.0	0.0
6301	condition_001	f017	31	61	9985488	9985488	0.0	0.0
6301	condition_001	f018	15	61	9997040	9997040	181.62295081967213	181.6767271309029
6301	condition_001	f018	21	61	9992708	9992708	161.7704918032787	161.8885409273229
6301	condition_001	f018	27	61	9988376	9988376	144.52459016393442	144.69278105263
6301	condition_001	f018	31	61	9985488	9985488	133.9344262295082	134.1290743421936
6301	condition_001	f019	15	171	9997040	9997040	0.005847953216374269	0.0058496847230522925
6301	condition_001	f019	21	171	9992708	9992708	0.0	0.0
6301	condition_001	f019	27	171	9988376	9988376	0.0	0.0
6301	condition_001	f019	31	171	9985488	9985488	0.0	0.0
6301	condition_001	f020	15	165	9997040	9997040	27.054545454545455	27.062555971112907
6301	condition_001	f020	21	171	9992708	9992708	23.321637426900583	23.338655974837437
6301	condition_001	f020	27	171	9988376	9988376	20.327485380116958	20.35114154705125
6301	condition_001	f020	31	171	9985488	9985488	18.538011695906434	18.564953155926315
6301	condition_001	f021	15	171	9997040	9997040	38.824561403508774	38.83605687634417
6301	condition_001	f021	21	171	9992708	9992708	38.748538011695906	38.77681406451175
6301	condition_001	f021	27	171	9988376	9988376	38.67836257309941	38.72337462376207
6301	condition_001	f021	31	171	9985488	9985488	38.63157894736842	38.68772257036253
6301	condition_001	f022	15	171	9997040	9997040	41.45029239766082	41.46256531699465
6301	condition_001	f022	21	171	9992708	9992708	37.175438596491226	37.202566708134796
6301	condition_001	f022	27	171	9988376	9988376	33.280701754385966	33.31943226244783
6301	condition_001	f022	31	171	9985488	9985488	30.906432748538013	30.951349346709957
6301	condition_001	f023	15	171	9997040	9997040	39.83625730994152	39.84805233343222
6301	condition_001	f023	21	171	9992708	9992708	39.76608187134503	39.79510045859944
6301	condition_001	f023	27	171	9988376	9988376	39.69590643274854	39.742102652872234
6301	condition_001	f023	31	171	9985488	9985488	39.64912280701754	39.70674523570359
6301	condition_001	f024	15	171	9997040	9997040	15.046783625730994	15.05123879241355
6301	condition_001	f024	21	171	9992708	9992708	13.473684210526315	13.483516390678398
6301	condition_001	f024	27	171	9988376	9988376	12.105263157894736	12.119350691138116
6301	condition_001	f024	31	171	9985488	9985488	11.251461988304094	11.267813839748337
6301	condition_001	f025	15	171	9997040	9997040	93.0701754385965	93.09773236737725
6301	condition_001	f025	21	171	9992708	9992708	92.96491228070175	93.03275176328755
6301	condition_001	f025	27	171	9988376	9988376	92.85964912280701	92.96771479448412
6301	condition_001	f025	31	171	9985488	9985488	92.78947368421052	92.9243254653258
6301	condition_001	f026	15	171	9997040	9997040	38.228070175438596	38.23938903459283
6301	condition_001	f026	21	171	9992708	9992708	34.36842105263158	34.393500793410134
6301	condition_001	f026	27	171	9988376	9988376	30.818713450292396	30.854578812704283
6301	condition_001	f026	31	171	9985488	9985488	28.625730994152047	28.667333027842048
6301	condition_001	f027	15	171	9997040	9997040	0.017543859649122806	0.017549054169156877
6301	condition_001	f027	21	171	9992708	9992708	0.0	0.0
6301	condition_001	f027	27	171	9988376	9988376	0.0	0.0
6301	condition_001	f027	31	171	9985488	9985488	0.0	0.0
6301	condition_001	f028	15	171	9997040	9997040	26.596491228070175	26.604366120441828
6301	condition_001	f028	21	171	9992708	9992708	23.771929824561404	23.789276965324518
6301	condition_001	f028	27	171	9988376	9988376	21.23391812865497	21.258629159189613
6301	condition_001	f028	31	171	9985488	9985488	19.608187134502923	19.63668389016433
6301	condition_001	f029	15	170	9997040	9997040	68.2	68.22019317718045
6301	condition_001	f029	21	171	9992708	9992708	68.16374269005848	68.21348396256398
6301	condition_001	f029	27	171	9988376	9988376	68.12865497076024	68.20793988007684
6301	condition_001	f029	31	171	9985488	9985488	68.10526315789474	68.20424115265547
6301	condition_001	f030	15	171	9997040	9997040	125.39181286549707	125.42893983168725
6301	condition_001	f030	21	171	9992708	9992708	112.36842105263158	112.45041989882179
6301	condition_001	f030	27	171	9988376	9988376	100.74853801169591	100.86578439948187
6301	condition_001	f030	31	171	9985488	9985488	93.70175438596492	93.83793199287298
6301	condition_001	f031	15	171	9997040	9997040	89.05263157894737	89.07899896264031
6301	condition_001	f031	21	171	9992708	9992708	88.94152046783626	89.00642395218219
6301	condition_001	f031	27	171	9988376	9988376	88.87134502923976	88.97476930107533
6301	condition_001	f031	31	171	9985488	9985488	88.82456140350877	88.95365094175544
6301	condition_001	f032	15	171	9997040	9997040	0.017543859649122806	0.017549054169156877
6301	condition_001	f032	21	171	9992708	9992708	0.0	0.0
6301	condition_001	f032	27	171	9988376	9988376	0.0	0.0
6301	condition_001	f032	31	171	9985488	9985488	0.0	0.0
6301	condition_001	f033	15	171	9997040	9997040	130.23976608187135	130.2783284670976
6301	condition_001	f033	21	171	9992708	9992708	130.1169590643275	130.21190958879964
6301	condition_001	f033	27	171	9988376	9988376	130.01169590643275	130.16299737458095
6301	condition_001	f033	31	171	9985488	9985488	129.94152046783626	130.13036565447405
6301	condition_001	f034	15	171	9997040	9997040	135.63742690058479	135.67758746647488
6301	condition_001	f034	21	171	9992708	9992708	120.83625730994152	120.9244354082412
6301	condition_001	f034	27	171	9988376	9988376	107.80701754385964	107.9324782565851
6301	condition_001	f034	31	171	9985488	9985488	99.97076023391813	100.11604864370989
6301	condition_001	f035	15	171	9997040	9997040	266.4269005847953	266.5057862975394
6301	condition_001	f035	21	171	9992708	9992708	266.233918128655	266.4281975703232
6301	condition_001	f035	27	171	9988376	9988376	266.05847953216374	266.36810581836704
6301	condition_001	f035	31	171	9985488	9985488	265.94152046783626	266.32801568419717
6301	condition_001	f036	15	171	9997040	9997040	133.76608187134502	133.80568835509814
6301	condition_001	f036	21	171	9992708	9992708	117.74853801169591	117.83446290204408
6301	condition_001	f036	27	171	9988376	9988376	103.74269005847954	103.86342089893246
6301	condition_001	f036	31	171	9985488	9985488	95.16959064327486	95.30790146988795
6301	condition_001	f037	15	421	9997040	9997040	37.55581947743468	37.566939291464955
6301	condition_001	f037	21	421	9992708	9992708	37.52256532066508	37.549946741829224
6301	condition_001	f037	27	421	9988376	9988376	37.49406175771971	37.53769557505616
6301	condition_001	f037	31	421	9985488	9985488	37.475059382422806	37.52952222507584
6301	condition_001	f038	15	418	9997040	9997040	37.77511961722488	37.786304363316425
6301	condition_001	f038	21	421	9992708	9992708	34.29216152019002	34.31718561193824
6301	condition_001	f038	27	421	9988376	9988376	31.08788598574822	31.124064598437442
6301	condition_001	f038	31	421	9985488	9985488	29.033254156769598	29.075448447556692
6301	condition_001	f039	15	421	9997040	9997040	0.004750593824228029	0.004752000416351269
6301	condition_001	f039	21	421	9992708	9992708	0.0	0.0
6301	condition_001	f039	27	421	9988376	9988376	0.0	0.0
6301	condition_001	f039	31	421	9985488	9985488	0.0	0.0
6301	condition_001	f040	15	421	9997040	9997040	4.771971496437055	4.7733844182248495
6301	condition_001	f040	21	421	9992708	9992708	4.130641330166271	4.133655591823829
6301	condition_001	f040	27	421	9988376	9988376	3.5510688836104514	3.5552014497756703
6301	condition_001	f040	31	421	9985488	9985488	3.209026128266033	3.2136898349545193
6301	condition_001	f041	15	421	9997040	9997040	20.648456057007127	20.65456980967079
6301	condition_001	f041	21	421	9992708	9992708	20.612826603325416	20.62786844499551
6301	condition_001	f041	27	421	9988376	9988376	20.58432304038005	20.608278102846796
6301	condition_001	f041	31	421	9985488	9985488	20.565320665083135	20.595208431559012
6301	condition_001	f042	15	420	9997040	9997040	21.142857142857142	21.14911728157249
6301	condition_001	f042	21	421	9992708	9992708	18.489311163895486	18.502803408140704
6301	condition_001	f042	27	421	9988376	9988376	16.251781472684087	16.270694528003435
6301	condition_001	f042	31	421	9985488	9985488	14.942992874109263	14.96470966076897
6301	condition_001	f043	15	420	9997040	9997040	22.576190476190476	22.582875007192605
6301	condition_001	f043	21	421	9992708	9992708	22.524940617577197	22.54137779026186
6301	condition_001	f043	27	421	9988376	9988376	22.49643705463183	22.522617345033698
6301	condition_001	f043	31	421	9985488	9985488	22.477434679334916	22.510101338397195
6301	condition_001	f044	15	421	9997040	9997040	68.90023752969121	68.92063803855062
6301	condition_001	f044	21	421	9992708	9992708	61.93586698337292	61.98106357493175
6301	condition_001	f044	27	421	9988376	9988376	55.5938242280285	55.65852169364519
6301	condition_001	f044	31	421	9985488	9985488	51.69121140142518	51.76633470635103
6301	condition_001	f045	15	421	9997040	9997040	62.795724465558195	62.81431750353924
6301	condition_001	f045	21	421	9992708	9992708	62.76722090261283	62.81302415983018
6301	condition_001	f045	27	421	9988376	9988376	62.73871733966746	62.81172969426407
6301	condition_001	f045	31	421	9985488	9985488	62.719714964370546	62.81086609324507
6301	condition_001	f046	15	421	9997040	9997040	40.220902612826606	40.23281152503802
6301	condition_001	f046	21	421	9992708	9992708	35.648456057007124	35.674469880443944
6301	condition_001	f046	27	421	9988376	9988376	31.672209026128264	31.709067646360392
6301	condition_001	f046	31	421	9985488	9985488	29.256532066508314	29.299050849100524
6301	condition_001	f047	15	421	9997040	9997040	119.95724465558195	119.99276251328588
6301	condition_001	f047	21	421	9992708	9992708	119.86698337292161	119.95445416089574
6301	condition_001	f047	27	421	9988376	9988376	119.78147268408551	119.92086870186456
6301	condition_001	f047	31	421	9985488	9985488	119.72446555819478	119.89846220654893
6301	condition_001	f048	15	421	9997040	9997040	36.819477434679335	36.8303792269305
6301	condition_001	f048	21	421	9992708	9992708	32.37054631828978	32.39416814570163
6301	condition_001	f048	27	421	9988376	9988376	28.410926365795724	28.443989659375784
6301	condition_001	f048	31	421	9985488	9985488	25.985748218527316	26.023513541378566
