method	coverage	error_model	unit_substitution_rate	array_scope	family_conditions	estimates_available	mean_signed_relative_error	mean_absolute_relative_error	median_absolute_relative_error	mean_estimator_minus_oracle
mean_k21_exposure	1	error_free	0.0	factorial	81	81	-0.014280484505951553	0.6398233357593923	0.5504909774751793	-0.004719797658263521
mean_k21_exposure	1	error_free	0.01	megabase	3	3	-0.20808057897937185	0.20808057897937185	0.225231637367272	-0.1877097114021759
mean_k21_exposure	1	error_free	0.02	factorial	81	81	-0.26051742682207496	0.46838183747987083	0.44941711925595657	-0.3992008177855844
mean_k21_exposure	1	iid_high_indel	0.0	factorial	81	81	-0.3457404652732708	0.5527783167100014	0.513938587644091	-0.3361797784255827
mean_k21_exposure	1	iid_high_indel	0.01	megabase	3	3	-0.4739503450666691	0.4739503450666691	0.4799659870630522	-0.45357947748947314
mean_k21_exposure	1	iid_high_indel	0.02	factorial	81	81	-0.5084681777511968	0.5454254087609923	0.5644055792646254	-0.6471515687147062
mean_k21_exposure	1	iid_low_indel	0.0	factorial	81	81	-0.07369370896671003	0.615910317302467	0.5293401747728081	-0.064133022119022
mean_k21_exposure	1	iid_low_indel	0.01	megabase	3	3	-0.2546635470953224	0.2546635470953224	0.2711482601330455	-0.23429267951812646
mean_k21_exposure	1	iid_low_indel	0.02	factorial	81	81	-0.303576702265592	0.4718920013248723	0.45206269333953514	-0.4422600932291015
mean_k21_exposure	20	error_free	0.0	factorial	81	81	0.010512566373616378	0.141219467324975	0.11254471012646032	-0.003688452305223191
mean_k21_exposure	20	error_free	0.01	megabase	3	3	-0.20844279757107137	0.20844279757107137	0.2081811556223391	-0.18880623054662085
mean_k21_exposure	20	error_free	0.02	factorial	81	81	-0.34766012177796696	0.34795040729987065	0.34597111842190115	-0.3482161572130124
mean_k21_exposure	20	iid_high_indel	0.0	factorial	81	81	-0.3272147070593577	0.3272147070593577	0.3154443856703837	-0.34141572573819723
mean_k21_exposure	20	iid_high_indel	0.01	megabase	3	3	-0.47329458271560193	0.47329458271560193	0.4737725135838718	-0.45365801569115144
mean_k21_exposure	20	iid_high_indel	0.02	factorial	81	81	-0.5655185508457069	0.5655185508457069	0.5674689356325726	-0.5660745862807524
mean_k21_exposure	20	iid_low_indel	0.0	factorial	81	81	-0.049239337179085664	0.13381204875593314	0.0924271978613426	-0.06344035585792523
mean_k21_exposure	20	iid_low_indel	0.01	megabase	3	3	-0.2551264343312221	0.2551264343312221	0.25509849856416955	-0.23548986730677157
