coverage	error_model	unit_substitution_rate	array_scope	family_observations	mean_signed_relative_error	median_absolute_relative_error	mean_absolute_relative_error	interval_empirical_coverage	mean_interval_relative_width	mean_oracle_relative_error	mean_estimator_minus_oracle
1	error_free	0.0	factorial	81	-0.011242512345679006	0.54884875	0.641710938271605	0.012345679012345678	0.029577154320987665	-0.009560686847688026	-0.0016818254979909803
1	error_free	0.01	megabase	3	-0.2102412166666667	0.22688911666666672	0.2102412166666667	0	0.019818833333333362	-0.02037086757719595	-0.18987034908947076
1	error_free	0.02	factorial	81	-0.2617099722222222	0.450395	0.4683589907407407	0.13580246913580246	0.18633972839506174	0.13868339096350946	-0.40039336318573165
1	iid_high_indel	0.0	factorial	81	-0.34560233333333334	0.500325	0.552841462962963	0.06172839506172839	0.13132399691358024	-0.009560686847688026	-0.33604164648564533
1	iid_high_indel	0.01	megabase	3	-0.47599175000000005	0.4818388333333333	0.47599175000000005	0	0.019652394444444454	-0.02037086757719595	-0.4556208824228041
1	iid_high_indel	0.02	factorial	81	-0.5114676234567901	0.550295	0.5434908827160494	0.09876543209876543	0.17786358641975308	0.13868339096350946	-0.6501510144202995
1	iid_low_indel	0.0	factorial	81	-0.07352788580246915	0.530347	0.6171409783950618	0.037037037037037035	0.06902303395061729	-0.009560686847688026	-0.0639671989547811
1	iid_low_indel	0.01	megabase	3	-0.25705252777777776	0.2735308333333334	0.25705252777777776	0	0.02048471111111111	-0.02037086757719595	-0.23668166020058184
1	iid_low_indel	0.02	factorial	81	-0.3052391666666667	0.45039999999999997	0.47239375308641973	0.1111111111111111	0.18479452777777777	0.13868339096350946	-0.44392255763017613
5	error_free	0.0	factorial	81	0.017375645061728395	0.19007199999999996	0.2603916203703704	0.04938271604938271	0.022005058641975297	0.01982517918295246	-0.002449534121224069
5	error_free	0.01	megabase	3	-0.21133213333333334	0.2289020833333334	0.21133213333333334	0	0.015910288888888922	-0.020623402764260137	-0.1907087305690732
5	error_free	0.02	factorial	81	-0.30287228086419754	0.28102050000000006	0.3194569475308642	0.1111111111111111	0.15554443518518518	0.07355466060668119	-0.37642694147087874
5	iid_high_indel	0.0	factorial	81	-0.3241028024691358	0.33004	0.34205625925925925	0.06172839506172839	0.06819409567901234	0.01982517918295246	-0.34392798165208827
5	iid_high_indel	0.01	megabase	3	-0.47614888888888884	0.4866654	0.47614888888888884	0	0.014677083333333334	-0.020623402764260137	-0.45552548612462873
5	iid_high_indel	0.02	factorial	81	-0.5357954722222222	0.5130305	0.5357954722222222	0.012345679012345678	0.11993714814814815	0.07355466060668119	-0.6093501328289034
5	iid_low_indel	0.0	factorial	81	-0.04443122222222223	0.19003499999999995	0.25214383950617286	0.037037037037037035	0.03711167592592591	0.01982517918295246	-0.06425640140517469
5	iid_low_indel	0.01	megabase	3	-0.2583358055555556	0.2744028	0.2583358055555556	0	0.016110138888888893	-0.020623402764260137	-0.2377124027912954
5	iid_low_indel	0.02	factorial	81	-0.3450357314814815	0.31753125000000004	0.3542010524691358	0.08641975308641975	0.15042132407407408	0.07355466060668119	-0.4185903920881627
20	error_free	0.0	factorial	81	0.012464283950617279	0.11380250000000007	0.14143187037037036	0.04938271604938271	0.01891536419753087	0.014201018678839569	-0.0017367347282222893
20	error_free	0.01	megabase	3	-0.21064871111111105	0.21112131666666664	0.21064871111111105	0	0.014665938888888933	-0.019636567024450515	-0.19101214408666056
20	error_free	0.02	factorial	81	-0.34790770679012345	0.347525	0.34803017592592594	0.012345679012345678	0.1422094938271605	0.0005560354350454786	-0.34846374222516896
20	iid_high_indel	0.0	factorial	81	-0.3278993796296296	0.31629149999999995	0.3278993796296296	0	0.04005987037037038	0.014201018678839569	-0.3421003983084692
20	iid_high_indel	0.01	megabase	3	-0.4747836166666667	0.47520688333333333	0.4747836166666667	0	0.012841038888888913	-0.019636567024450515	-0.45514704964221614
20	iid_high_indel	0.02	factorial	81	-0.565864925925926	0.567768	0.565864925925926	0	0.10018682716049383	0.0005560354350454786	-0.5664209613609714
20	iid_low_indel	0.0	factorial	81	-0.04880443827160493	0.09746000000000006	0.1334802160493827	0.06172839506172839	0.026493265432098765	0.014201018678839569	-0.0630054569504445
20	iid_low_indel	0.01	megabase	3	-0.2570991444444444	0.25753176666666666	0.2570991444444444	0	0.014152011111111126	-0.019636567024450515	-0.23746257741999394
20	iid_low_indel	0.02	factorial	81	-0.3865591481481481	0.387525	0.3865591481481481	0.012345679012345678	0.1350490586419753	0.0005560354350454786	-0.38711518358319363
