family_id	method	reference_proxy_positive	old_assembly_bp	new_assembly_bp	state	native_retained_read_bp	read_estimated_bp	old_read_ratio	predicted_proxy_positive	outcome
TXF000002	srf_k151	True	3317.0	49758.0	CellFailure:stage_failed:assemble	N/A	N/A	N/A	N/A	N/A
TXF000020	srf_k151	True	46823.0	714580.0	CellFailure:stage_failed:assemble	N/A	N/A	N/A	N/A	N/A
TXF000078	srf_k151	True	6715.0	25707.0	CellFailure:stage_failed:assemble	N/A	N/A	N/A	N/A	N/A
TXF000088	srf_k151	False	35252.0	35252.0	CellFailure:stage_failed:assemble	N/A	N/A	N/A	N/A	N/A
TXF000113	srf_k151	False	57131.0	57131.0	CellFailure:stage_failed:assemble	N/A	N/A	N/A	N/A	N/A
TXF000137	srf_k151	False	40584.0	40584.0	CellFailure:stage_failed:assemble	N/A	N/A	N/A	N/A	N/A
TXF000153	srf_k151	False	59043.0	59042.0	CellFailure:stage_failed:assemble	N/A	N/A	N/A	N/A	N/A
TXF000154	srf_k151	True	0.0	18297.0	CellFailure:stage_failed:assemble	N/A	N/A	N/A	N/A	N/A
TXF000319	srf_k151	True	0.0	144148.0	CellFailure:stage_failed:assemble	N/A	N/A	N/A	N/A	N/A
TXF000556	srf_k151	False	43873.0	55082.0	CellFailure:stage_failed:assemble	N/A	N/A	N/A	N/A	N/A
TXF000827	srf_k151	False	15213.0	15213.0	CellFailure:stage_failed:assemble	N/A	N/A	N/A	N/A	N/A
TXF001083	srf_k151	False	21970.0	21970.0	CellFailure:stage_failed:assemble	N/A	N/A	N/A	N/A	N/A
TXF001094	srf_k151	True	4288.0	21569.0	CellFailure:stage_failed:assemble	N/A	N/A	N/A	N/A	N/A
TXF001097	srf_k151	False	48829.0	48829.0	CellFailure:stage_failed:assemble	N/A	N/A	N/A	N/A	N/A
TXF001517	srf_k151	True	0.0	27167.0	CellFailure:stage_failed:assemble	N/A	N/A	N/A	N/A	N/A
TXF001519	srf_k151	False	83381.0	88343.0	CellFailure:stage_failed:assemble	N/A	N/A	N/A	N/A	N/A
TXF001543	srf_k151	False	17279.0	17279.0	CellFailure:stage_failed:assemble	N/A	N/A	N/A	N/A	N/A
TXF001550	srf_k151	True	0.0	17199.0	CellFailure:stage_failed:assemble	N/A	N/A	N/A	N/A	N/A
TXF001620	srf_k151	False	23424.0	23930.0	CellFailure:stage_failed:assemble	N/A	N/A	N/A	N/A	N/A
