source_run	scenario	seed	tool	original_status	truth_array_count	predicted_array_count	matched_array_count	array_recall	array_precision	array_f1	read_detection_recall	read_detection_precision	negative_read_count	false_positive_read_count	negative_read_call_rate	matched_period_mae_bp	matched_boundary_mae_bp	warning	base_union_recall	base_union_precision	base_union_f1	predicted_union_bp	truth_union_bp	duplicated_prediction_bp	duplicate_bp_fraction	array_recall_ci_low	array_recall_ci_high	array_precision_ci_low	array_precision_ci_high	negative_read_call_rate_ci_low	negative_read_call_rate_ci_high	truth_family_count	recovered_family_count	sequence_family_recall	family_criterion	cyclic_monomer_recall	distinct_consensus_count	homologous_consensus_fraction	unmatched_distinct_consensus_count	mean_best_cyclic_edit_similarity
challenge_v1_development_20260906	clean_60	1101	tandemx	ok	70	70	70	1.0	1.0	1.0	1.0	1.0	30	0	0.0	0.0	0.4357142857142857	planted_truth;conditional_errors_on_matches;wilson_intervals_are_descriptive	1.0	0.9995161072813955	0.9997579950884905	126061	126000	0	0.0	0.9479769375897331	1.0	0.9479769375897331	1.0	0.0	0.11351339317396876	3	3	1.0	equal_length_circular_ungapped_identity_ge_0.9	1.0	3	1.0	0	1.0
challenge_v1_development_20260906	clean_60	1101	tidehunter	ok	70	70	70	1.0	1.0	1.0	1.0	1.0	30	0	0.0	0.0	0.4785714285714286	planted_truth;conditional_errors_on_matches;wilson_intervals_are_descriptive	0.9998015873015873	0.9996667116341446	0.9997341449187952	126017	126000	0	0.0	0.9479769375897331	1.0	0.9479769375897331	1.0	0.0	0.11351339317396876	3	3	1.0	equal_length_circular_ungapped_identity_ge_0.9	1.0	3	1.0	0	1.0
challenge_v1_development_20260906	clean_60	1101	trf	ok	70	70	70	1.0	1.0	1.0	1.0	1.0	30	0	0.0	0.0	0.4142857142857143	planted_truth;conditional_errors_on_matches;wilson_intervals_are_descriptive	1.0	0.999539894334354	0.999769894230693	126058	126000	0	0.0	0.9479769375897331	1.0	0.9479769375897331	1.0	0.0	0.11351339317396876	3	3	1.0	equal_length_circular_ungapped_identity_ge_0.9	1.0	3	1.0	0	1.0
challenge_v1_development_20260906	clean_171	1101	tandemx	ok	70	70	70	1.0	1.0	1.0	1.0	1.0	30	0	0.0	0.0	0.4928571428571429	planted_truth;conditional_errors_on_matches;wilson_intervals_are_descriptive	1.0	0.9995198630565936	0.9997598738815865	143709	143640	0	0.0	0.9479769375897331	1.0	0.9479769375897331	1.0	0.0	0.11351339317396876	3	3	1.0	equal_length_circular_ungapped_identity_ge_0.9	1.0	3	1.0	0	1.0
challenge_v1_development_20260906	clean_171	1101	tidehunter	ok	70	70	70	1.0	1.0	1.0	1.0	1.0	30	0	0.0	0.0	1.4642857142857142	planted_truth;conditional_errors_on_matches;wilson_intervals_are_descriptive	0.9998955722639933	0.9986788582553976	0.9992868448974622	143815	143640	0	0.0	0.9479769375897331	1.0	0.9479769375897331	1.0	0.0	0.11351339317396876	3	3	1.0	equal_length_circular_ungapped_identity_ge_0.9	1.0	3	1.0	0	1.0
challenge_v1_development_20260906	clean_171	1101	trf	ok	70	70	70	1.0	1.0	1.0	1.0	1.0	30	0	0.0	0.0	0.4357142857142857	planted_truth;conditional_errors_on_matches;wilson_intervals_are_descriptive	1.0	0.9995755074773314	0.9997877086806268	143701	143640	0	0.0	0.9479769375897331	1.0	0.9479769375897331	1.0	0.0	0.11351339317396876	3	3	1.0	equal_length_circular_ungapped_identity_ge_0.9	1.0	3	1.0	0	1.0
challenge_v1_development_20260906	clean_421	1101	tandemx	ok	70	70	70	1.0	1.0	1.0	1.0	1.0	30	0	0.0	0.0	0.39285714285714285	planted_truth;conditional_errors_on_matches;wilson_intervals_are_descriptive	1.0	0.9997667663210568	0.999883369559455	235815	235760	0	0.0	0.9479769375897331	1.0	0.9479769375897331	1.0	0.0	0.11351339317396876	3	3	1.0	equal_length_circular_ungapped_identity_ge_0.9	1.0	3	1.0	0	1.0
challenge_v1_development_20260906	clean_421	1101	tidehunter	ok	70	70	70	1.0	1.0	1.0	1.0	1.0	30	0	0.0	0.0	6.414285714285715	planted_truth;conditional_errors_on_matches;wilson_intervals_are_descriptive	0.9998982015609094	0.9963061578124339	0.9980989478586701	236610	235760	0	0.0	0.9479769375897331	1.0	0.9479769375897331	1.0	0.0	0.11351339317396876	3	3	1.0	equal_length_circular_ungapped_identity_ge_0.9	1.0	3	1.0	0	1.0
challenge_v1_development_20260906	clean_421	1101	trf	ok	70	70	70	1.0	1.0	1.0	1.0	1.0	30	0	0.0	0.0	0.45	planted_truth;conditional_errors_on_matches;wilson_intervals_are_descriptive	1.0	0.9997328504853216	0.9998664073980614	235823	235760	0	0.0	0.9479769375897331	1.0	0.9479769375897331	1.0	0.0	0.11351339317396876	3	3	1.0	equal_length_circular_ungapped_identity_ge_0.9	1.0	3	1.0	0	1.0
challenge_v1_development_20260906	clean_729	1101	tandemx	ok	70	70	70	1.0	1.0	1.0	1.0	1.0	30	0	0.0	0.0	0.5285714285714286	planted_truth;conditional_errors_on_matches;wilson_intervals_are_descriptive	1.0	0.9997583705029158	0.9998791706534909	306254	306180	0	0.0	0.9479769375897331	1.0	0.9479769375897331	1.0	0.0	0.11351339317396876	3	3	1.0	equal_length_circular_ungapped_identity_ge_0.9	1.0	3	1.0	0	1.0
