family_id	read_estimated_bp	old_assembly_bp	new_assembly_bp	sensitivity_assembly_bp	old_read_ratio	new_read_ratio	old_new_ratio	predicted_missing_bp	observed_gain_bp	reference_state	prediction_state	eligibility	fate	outcome
TXF000001	426871.255	141.0	142.0	0.0	0.0003303103648897605	0.00033265299159110633	0.9929577464788732	426730.255	1.0	reference_retained	predicted_collapse	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000002	0.0	0.0	0.0	0.0	NA	NA	NA	0.0	0.0	unresolved	unresolved	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000003	9196.8715	1035.0	1025.0	0.0	0.11253826912771371	0.11145094285594837	1.0097560975609756	8161.871499999999	0.0	reference_retained	predicted_collapse	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000004	107.4958	198.0	146.0	0.0	1.8419324289879233	1.358192599152711	1.356164383561644	0.0	0.0	reference_retained	predicted_old_excess	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000005	2438.183	948.0	893.0	0.0	0.3888141292101536	0.36625634745218055	1.0615901455767078	1490.183	0.0	reference_retained	predicted_collapse	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000006	2063.3632	66.0	66.0	0.0	0.031986612923987405	0.031986612923987405	1.0	1997.3631999999998	0.0	reference_retained	predicted_collapse	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000007	0.0	0.0	0.0	0.0	NA	NA	NA	0.0	0.0	unresolved	unresolved	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000008	477.9262	0.0	0.0	0.0	0.0	0.0	NA	477.9262	0.0	unresolved	predicted_collapse	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000009	120.3953	0.0	0.0	0.0	0.0	0.0	NA	120.3953	0.0	unresolved	predicted_collapse	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000010	0.0	0.0	0.0	0.0	NA	NA	NA	0.0	0.0	unresolved	unresolved	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000011	3377.0868	264.0	314.0	0.0	0.07817388643963785	0.09297954675017532	0.8407643312101911	3113.0868	50.0	reference_retained	predicted_collapse	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000012	26951.3908	36044.0	34438.0	0.0	1.3373706858942507	1.2777819243376487	1.0466345316220453	0.0	0.0	reference_retained	predicted_retained	eligible	evaluated	TN
TXF000013	0.0	0.0	0.0	0.0	NA	NA	NA	0.0	0.0	unresolved	unresolved	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000014	640039.1465	0.0	0.0	0.0	0.0	0.0	NA	640039.1465	0.0	unresolved	predicted_collapse	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000015	0.0	0.0	0.0	0.0	NA	NA	NA	0.0	0.0	unresolved	unresolved	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000016	22002.2323	207.0	265.0	0.0	0.009408136282608016	0.012044232439087556	0.7811320754716982	21795.2323	58.0	reference_retained	predicted_collapse	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000017	0.0	0.0	0.0	0.0	NA	NA	NA	0.0	0.0	unresolved	unresolved	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000018	0.0	0.0	0.0	0.0	NA	NA	NA	0.0	0.0	unresolved	unresolved	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000019	3083.3367	0.0	0.0	0.0	0.0	0.0	NA	3083.3367	0.0	unresolved	predicted_collapse	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000020	3845.6608	4295.0	4226.0	0.0	1.1168431703596948	1.0989008703003655	1.0163274964505442	0.0	0.0	reference_retained	predicted_retained	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000021	8861.3414	8004.0	7931.0	0.0	0.9032492529855582	0.8950112225672742	1.0092043878451646	857.3413999999993	0.0	reference_retained	predicted_retained	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000022	348221.4085	117.0	6626.0	0.0	0.00033599312720027666	0.01902812359682934	0.017657712043465137	348104.4085	6509.0	reference_collapse	predicted_collapse	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000023	3400.4492	6796.0	6904.0	0.0	1.998559484435174	2.0303199941937082	0.9843568945538818	0.0	108.0	reference_retained	predicted_old_excess	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000024	3735.3881	5881.0	5929.0	0.0	1.5744013319526289	1.5872514023375508	0.9919041996964075	0.0	48.0	reference_retained	predicted_old_excess	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000025	4616.1546	3809.0	3796.0	0.0	0.8251456742804931	0.8223294774399453	1.0034246575342465	807.1545999999998	0.0	reference_retained	predicted_retained	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000026	4021.3268	152.0	152.0	0.0	0.0377984698980446	0.0377984698980446	1.0	3869.3268	0.0	reference_retained	predicted_collapse	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000027	0.0	0.0	0.0	0.0	NA	NA	NA	0.0	0.0	unresolved	unresolved	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000028	5741.9935	0.0	0.0	0.0	0.0	0.0	NA	5741.9935	0.0	unresolved	predicted_collapse	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000029	585.6369	630.0	570.0	0.0	1.0757518865358382	0.9732993259133774	1.105263157894737	0.0	0.0	reference_retained	predicted_retained	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000030	105.3458	91.0	171.0	0.0	0.8638218134942257	1.6232256055770615	0.5321637426900585	14.345799999999997	80.0	reference_collapse	predicted_retained	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000031	5727.3741	12216.0	11902.0	0.0	2.132914628363459	2.07809020193041	1.0263821206519912	0.0	0.0	reference_retained	predicted_old_excess	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000032	10821.8132	11757.0	8771.0	0.0	1.0864168307765651	0.8104926446152295	1.3404400866491848	0.0	0.0	reference_retained	predicted_retained	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000033	3686.8179	1779.0	1909.0	0.0	0.48252993455413135	0.517790694246114	0.9319015191199581	1907.8179	130.0	reference_retained	predicted_collapse	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000034	2922.2364	6339.0	5691.0	0.0	2.169229019253884	1.9474810456813147	1.113863995782815	0.0	0.0	reference_retained	predicted_old_excess	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000035	110.9356	0.0	0.0	0.0	0.0	0.0	NA	110.9356	0.0	unresolved	predicted_collapse	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000036	0.0	0.0	0.0	0.0	NA	NA	NA	0.0	0.0	unresolved	unresolved	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000037	3098.4936	5772.0	5025.0	0.0	1.8628407042699717	1.6217558106300431	1.1486567164179105	0.0	0.0	reference_retained	predicted_old_excess	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000038	0.0	0.0	0.0	0.0	NA	NA	NA	0.0	0.0	unresolved	unresolved	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000039	0.0	0.0	0.0	0.0	NA	NA	NA	0.0	0.0	unresolved	unresolved	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000040	414.5753	353.0	353.0	0.0	0.8514737853412878	0.8514737853412878	1.0	61.57530000000003	0.0	reference_retained	predicted_retained	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000041	2184.8872	4437.0	4185.0	0.0	2.030768453401164	1.9154306913418686	1.060215053763441	0.0	0.0	reference_retained	predicted_old_excess	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000042	0.0	0.0	0.0	0.0	NA	NA	NA	0.0	0.0	unresolved	unresolved	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000043	8353.0477	8673.0	8467.0	0.0	1.0383036601119853	1.0136420027865998	1.0243297507972127	0.0	0.0	reference_retained	predicted_retained	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000044	5772.164	13483.0	10317.0	0.0	2.3358657169131023	1.7873712527918473	1.3068721527575846	0.0	0.0	reference_retained	predicted_old_excess	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000045	2487.0936	83.0	83.0	0.0	0.033372286431037415	0.033372286431037415	1.0	2404.0936	0.0	reference_retained	predicted_collapse	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000046	4289.475	3489.0	3192.0	0.0	0.8133862535624988	0.7441470109978493	1.093045112781955	800.4750000000004	0.0	reference_retained	predicted_retained	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000047	22310.9601	41126.0	43419.0	0.0	1.8433092890520655	1.9460838890568406	0.9471890186323959	0.0	2293.0	reference_retained	predicted_old_excess	eligible	evaluated	TN
TXF000048	427.0448	360.0	285.0	0.0	0.8430028886898986	0.667377286879503	1.263157894736842	67.04480000000001	0.0	reference_retained	predicted_retained	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000049	0.0	0.0	0.0	0.0	NA	NA	NA	0.0	0.0	unresolved	unresolved	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000050	620.6089	1196.0	1183.0	0.0	1.927139620459842	1.9061924506722352	1.010989010989011	0.0	0.0	reference_retained	predicted_old_excess	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000051	7070.892	6605.0	6258.0	0.0	0.9341112832723226	0.8850368524932922	1.055449025247683	465.8919999999998	0.0	reference_retained	predicted_retained	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000052	8835.0049	51.0	51.0	0.0	0.005772492554022239	0.005772492554022239	1.0	8784.0049	0.0	reference_retained	predicted_collapse	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000053	670.7735	248.0	248.0	0.0	0.36972241747773277	0.36972241747773277	1.0	422.7735	0.0	reference_retained	predicted_collapse	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000054	4096.2335	12546.0	12041.0	0.0	3.0628136799330408	2.939529692338095	1.041940038202807	0.0	0.0	reference_retained	predicted_old_excess	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000055	773.2528	375.0	309.0	0.0	0.4849642962818887	0.39961058013627626	1.2135922330097086	398.2528	0.0	reference_retained	predicted_collapse	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000056	3489.7782	171.0	171.0	0.0	0.04900024878371926	0.04900024878371926	1.0	3318.7782	0.0	reference_retained	predicted_collapse	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000057	6275.9608	4683.0	4649.0	0.0	0.7461805688779956	0.7407630716877646	1.00731340073134	1592.9607999999998	0.0	reference_retained	predicted_retained	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000058	7664.7344	17928.0	16661.0	0.0	2.339024298089181	2.173721766536359	1.076045855590901	0.0	0.0	reference_retained	predicted_old_excess	eligible	evaluated	TN
TXF000059	0.0	0.0	0.0	0.0	NA	NA	NA	0.0	0.0	unresolved	unresolved	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000060	7550.7172	9145.0	9322.0	0.0	1.2111432275598932	1.234584709383633	0.9810126582278481	0.0	177.0	reference_retained	predicted_retained	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000061	2441.7662	1611.0	1523.0	0.0	0.6597683267136715	0.623728840214104	1.0577806959947471	830.7662	0.0	reference_retained	predicted_retained	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000062	4469.6737	331.0	219.0	0.0	0.074054622824033	0.048996865252154756	1.5114155251141552	4138.6737	0.0	old_exceeds_new	predicted_collapse	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000063	0.0	0.0	0.0	0.0	NA	NA	NA	0.0	0.0	unresolved	unresolved	not_source_eligible	new_reference_below_primary_min_bp	NA
