family_id	read_estimated_bp	old_assembly_bp	new_assembly_bp	sensitivity_assembly_bp	old_read_ratio	new_read_ratio	old_new_ratio	predicted_missing_bp	observed_gain_bp	reference_state	prediction_state	eligibility	fate	outcome
TXF000001	343730.2825	141.0	142.0	0.0	0.0004102053475605543	0.0004131146053446717	0.9929577464788732	343589.2825	1.0	reference_retained	predicted_collapse	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000002	0.0	0.0	0.0	0.0	NA	NA	NA	0.0	0.0	unresolved	unresolved	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000003	7405.6128	1035.0	1025.0	0.0	0.13975885965844717	0.13840853251198876	1.0097560975609756	6370.6128	0.0	reference_retained	predicted_collapse	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000004	86.559	198.0	146.0	0.0	2.2874571101791843	1.686710798414954	1.356164383561644	0.0	0.0	reference_retained	predicted_old_excess	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000005	1963.3023	948.0	893.0	0.0	0.4828599243224031	0.454845899177116	1.0615901455767078	1015.3023000000001	0.0	reference_retained	predicted_collapse	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000006	1661.4855	66.0	66.0	0.0	0.03972348840841524	0.03972348840841524	1.0	1595.4855	0.0	reference_retained	predicted_collapse	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000007	0.0	0.0	0.0	0.0	NA	NA	NA	0.0	0.0	unresolved	unresolved	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000008	384.8413	0.0	0.0	0.0	0.0	0.0	NA	384.8413	0.0	unresolved	predicted_collapse	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000009	96.9461	0.0	0.0	0.0	0.0	0.0	NA	96.9461	0.0	unresolved	predicted_collapse	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000010	0.0	0.0	0.0	0.0	NA	NA	NA	0.0	0.0	unresolved	unresolved	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000011	2719.3375	264.0	314.0	0.0	0.09708246953531881	0.11546930088670494	0.8407643312101911	2455.3375	50.0	reference_retained	predicted_collapse	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000012	21702.1153	36044.0	34438.0	0.0	1.6608519262636117	1.5868499233344318	1.0466345316220453	0.0	0.0	reference_retained	predicted_old_excess	eligible	evaluated	TN
TXF000013	0.0	0.0	0.0	0.0	NA	NA	NA	0.0	0.0	unresolved	unresolved	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000014	515379.8341	0.0	0.0	0.0	0.0	0.0	NA	515379.8341	0.0	unresolved	predicted_collapse	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000015	0.0	0.0	0.0	0.0	NA	NA	NA	0.0	0.0	unresolved	unresolved	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000016	17716.8957	207.0	265.0	0.0	0.011683762409912476	0.014957473616554619	0.7811320754716982	17509.8957	58.0	reference_retained	predicted_collapse	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000017	0.0	0.0	0.0	0.0	NA	NA	NA	0.0	0.0	unresolved	unresolved	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000018	0.0	0.0	0.0	0.0	NA	NA	NA	0.0	0.0	unresolved	unresolved	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000019	2482.8006	0.0	0.0	0.0	0.0	0.0	NA	2482.8006	0.0	unresolved	predicted_collapse	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000020	3096.6482	4295.0	4226.0	0.0	1.386983513335483	1.3647013567766593	1.0163274964505442	0.0	0.0	reference_retained	predicted_retained	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000021	7135.4333	8004.0	7931.0	0.0	1.1217258523038818	1.1114952192181518	1.0092043878451646	0.0	0.0	reference_retained	predicted_retained	not_source_eligible	new_reference_below_primary_min_bp	NA
