family_id	monomer_length	diagnostic_kmer_count	median_kmer_depth	haploid_depth	estimated_copy_number	estimated_bp	depth_mad	copy_number_interval_low	copy_number_interval_high	normalization_method	raw_median_kmer_depth	kmer_survival_probability	single_copy_control_kmer_count	single_copy_control_mean_depth	single_copy_control_median_depth	single_copy_control_depth_mad	single_copy_control_zero_fraction	quality_window_count	confidence	warning
TXF000001	249	29	49554.3606	28.9058	1714.3424	426871.2550	4190.6392	4.5005	1809.6051	total_read_bases_divided_by_genome_size	47844.0000	0.96548517	0	NA	NA	NA	NA	22513640774	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;independent_base_error_survival_approximation;phred_scores_treated_as_calibrated_probabilities;genome_background_uniqueness_not_verified
TXF000002	51	0	0.0000	28.9058	0.0000	0.0000	0.0000	0.0000	0.0000	total_read_bases_divided_by_genome_size	0.0000	0.96548517	0	NA	NA	NA	NA	22513640774	low	haploid_depth_estimated_from_total_read_bases_and_genome_size;independent_base_error_survival_approximation;phred_scores_treated_as_calibrated_probabilities;no_diagnostic_kmers
TXF000003	43	8	6182.3840	28.9058	213.8807	9196.8715	562.4115	193.5390	299.8558	total_read_bases_divided_by_genome_size	5969.0000	0.96548517	0	NA	NA	NA	NA	22513640774	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;independent_base_error_survival_approximation;phred_scores_treated_as_calibrated_probabilities;genome_background_uniqueness_not_verified
TXF000004	30	24	103.5749	28.9058	3.5832	107.4958	45.5729	1.9815	14.2683	total_read_bases_divided_by_genome_size	100.0000	0.96548517	0	NA	NA	NA	NA	22513640774	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;independent_base_error_survival_approximation;phred_scores_treated_as_calibrated_probabilities;genome_background_uniqueness_not_verified
TXF000005	31	11	2273.4684	28.9058	78.6511	2438.1830	163.6483	73.1329	231.2950	total_read_bases_divided_by_genome_size	2195.0000	0.96548517	0	NA	NA	NA	NA	22513640774	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;independent_base_error_survival_approximation;phred_scores_treated_as_calibrated_probabilities;genome_background_uniqueness_not_verified
TXF000006	41	6	1454.7090	28.9058	50.3259	2063.3632	215.9536	42.8550	86.5520	total_read_bases_divided_by_genome_size	1404.5000	0.96548517	0	NA	NA	NA	NA	22513640774	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;independent_base_error_survival_approximation;phred_scores_treated_as_calibrated_probabilities;genome_background_uniqueness_not_verified
TXF000007	58	0	0.0000	28.9058	0.0000	0.0000	0.0000	0.0000	0.0000	total_read_bases_divided_by_genome_size	0.0000	0.96548517	0	NA	NA	NA	NA	22513640774	low	haploid_depth_estimated_from_total_read_bases_and_genome_size;independent_base_error_survival_approximation;phred_scores_treated_as_calibrated_probabilities;no_diagnostic_kmers
TXF000008	234	21	59.0377	28.9058	2.0424	477.9262	22.7865	0.0000	62.1325	total_read_bases_divided_by_genome_size	57.0000	0.96548517	0	NA	NA	NA	NA	22513640774	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;independent_base_error_survival_approximation;phred_scores_treated_as_calibrated_probabilities;genome_background_uniqueness_not_verified
TXF000009	240	45	14.5005	28.9058	0.5016	120.3953	14.5005	0.0000	350.1997	total_read_bases_divided_by_genome_size	14.0000	0.96548517	0	NA	NA	NA	NA	22513640774	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;independent_base_error_survival_approximation;phred_scores_treated_as_calibrated_probabilities;genome_background_uniqueness_not_verified
TXF000010	32	0	0.0000	28.9058	0.0000	0.0000	0.0000	0.0000	0.0000	total_read_bases_divided_by_genome_size	0.0000	0.96548517	0	NA	NA	NA	NA	22513640774	low	haploid_depth_estimated_from_total_read_bases_and_genome_size;independent_base_error_survival_approximation;phred_scores_treated_as_calibrated_probabilities;no_diagnostic_kmers
TXF000011	44	5	2218.5737	28.9058	76.7520	3377.0868	250.6512	63.2433	306.1838	total_read_bases_divided_by_genome_size	2142.0000	0.96548517	0	NA	NA	NA	NA	22513640774	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;independent_base_error_survival_approximation;phred_scores_treated_as_calibrated_probabilities;genome_background_uniqueness_not_verified
TXF000012	177	46	4401.4141	28.9058	152.2677	26951.3908	1193.7004	111.7777	439.8010	total_read_bases_divided_by_genome_size	4249.5000	0.96548517	0	NA	NA	NA	NA	22513640774	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;independent_base_error_survival_approximation;phred_scores_treated_as_calibrated_probabilities;genome_background_uniqueness_not_verified
TXF000013	54	0	0.0000	28.9058	0.0000	0.0000	0.0000	0.0000	0.0000	total_read_bases_divided_by_genome_size	0.0000	0.96548517	0	NA	NA	NA	NA	22513640774	low	haploid_depth_estimated_from_total_read_bases_and_genome_size;independent_base_error_survival_approximation;phred_scores_treated_as_calibrated_probabilities;no_diagnostic_kmers
TXF000014	341	7	54254.5881	28.9058	1876.9476	640039.1465	523.0531	1606.2088	1931.2617	total_read_bases_divided_by_genome_size	52382.0000	0.96548517	0	NA	NA	NA	NA	22513640774	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;independent_base_error_survival_approximation;phred_scores_treated_as_calibrated_probabilities;genome_background_uniqueness_not_verified
TXF000015	52	0	0.0000	28.9058	0.0000	0.0000	0.0000	0.0000	0.0000	total_read_bases_divided_by_genome_size	0.0000	0.96548517	0	NA	NA	NA	NA	22513640774	low	haploid_depth_estimated_from_total_read_bases_and_genome_size;independent_base_error_survival_approximation;phred_scores_treated_as_calibrated_probabilities;no_diagnostic_kmers
TXF000016	48	12	13249.8152	28.9058	458.3798	22002.2323	2574.8713	194.0943	536.9879	total_read_bases_divided_by_genome_size	12792.5000	0.96548517	0	NA	NA	NA	NA	22513640774	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;independent_base_error_survival_approximation;phred_scores_treated_as_calibrated_probabilities;genome_background_uniqueness_not_verified
TXF000017	36	0	0.0000	28.9058	0.0000	0.0000	0.0000	0.0000	0.0000	total_read_bases_divided_by_genome_size	0.0000	0.96548517	0	NA	NA	NA	NA	22513640774	low	haploid_depth_estimated_from_total_read_bases_and_genome_size;independent_base_error_survival_approximation;phred_scores_treated_as_calibrated_probabilities;no_diagnostic_kmers
TXF000018	84	0	0.0000	28.9058	0.0000	0.0000	0.0000	0.0000	0.0000	total_read_bases_divided_by_genome_size	0.0000	0.96548517	0	NA	NA	NA	NA	22513640774	low	haploid_depth_estimated_from_total_read_bases_and_genome_size;independent_base_error_survival_approximation;phred_scores_treated_as_calibrated_probabilities;no_diagnostic_kmers
TXF000019	50	2	1782.5235	28.9058	61.6667	3083.3367	33.1440	60.7494	62.5840	total_read_bases_divided_by_genome_size	1721.0000	0.96548517	0	NA	NA	NA	NA	22513640774	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;independent_base_error_survival_approximation;phred_scores_treated_as_calibrated_probabilities;genome_background_uniqueness_not_verified
TXF000020	30	30	3705.3910	28.9058	128.1887	3845.6608	606.9487	94.2380	171.3482	total_read_bases_divided_by_genome_size	3577.5000	0.96548517	0	NA	NA	NA	NA	22513640774	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;independent_base_error_survival_approximation;phred_scores_treated_as_calibrated_probabilities;genome_background_uniqueness_not_verified
TXF000021	49	35	5227.4237	28.9058	180.8437	8861.3414	1078.2144	15.0064	232.6782	total_read_bases_divided_by_genome_size	5047.0000	0.96548517	0	NA	NA	NA	NA	22513640774	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;independent_base_error_survival_approximation;phred_scores_treated_as_calibrated_probabilities;genome_background_uniqueness_not_verified
TXF000022	235	80	42832.3515	28.9058	1481.7932	348221.4085	14663.0943	0.0000	1988.5318	total_read_bases_divided_by_genome_size	41354.0000	0.96548517	0	NA	NA	NA	NA	22513640774	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;independent_base_error_survival_approximation;phred_scores_treated_as_calibrated_probabilities;genome_background_uniqueness_not_verified
TXF000023	52	36	1890.2414	28.9058	65.3933	3400.4492	387.8879	34.8824	131.0552	total_read_bases_divided_by_genome_size	1825.0000	0.96548517	0	NA	NA	NA	NA	22513640774	medium	haploid_depth_estimated_from_total_read_bases_and_genome_size;independent_base_error_survival_approximation;phred_scores_treated_as_calibrated_probabilities;genome_background_uniqueness_not_verified
