family_id	monomer_length	diagnostic_kmer_count	median_kmer_depth	haploid_depth	estimated_copy_number	estimated_bp	depth_mad	copy_number_interval_low	copy_number_interval_high	normalization_method	raw_median_kmer_depth	kmer_survival_probability	single_copy_control_kmer_count	single_copy_control_mean_depth	single_copy_control_median_depth	single_copy_control_depth_mad	single_copy_control_zero_fraction	quality_window_count	confidence	warning
TXF000001	249	29	49554.3606	35.8974	1380.4429	343730.2825	4190.6392	3.6239	1457.1515	explicit_haploid_depth	47844.0000	0.96548517	0	NA	NA	NA	NA	22513640774	medium	independent_base_error_survival_approximation;phred_scores_treated_as_calibrated_probabilities;genome_background_uniqueness_not_verified
TXF000002	51	0	0.0000	35.8974	0.0000	0.0000	0.0000	0.0000	0.0000	explicit_haploid_depth	0.0000	0.96548517	0	NA	NA	NA	NA	22513640774	low	independent_base_error_survival_approximation;phred_scores_treated_as_calibrated_probabilities;no_diagnostic_kmers
TXF000003	43	8	6182.3840	35.8974	172.2236	7405.6128	562.4115	155.8437	241.4534	explicit_haploid_depth	5969.0000	0.96548517	0	NA	NA	NA	NA	22513640774	medium	independent_base_error_survival_approximation;phred_scores_treated_as_calibrated_probabilities;genome_background_uniqueness_not_verified
TXF000004	30	24	103.5749	35.8974	2.8853	86.5590	45.5729	1.5956	11.4893	explicit_haploid_depth	100.0000	0.96548517	0	NA	NA	NA	NA	22513640774	medium	independent_base_error_survival_approximation;phred_scores_treated_as_calibrated_probabilities;genome_background_uniqueness_not_verified
TXF000005	31	11	2273.4684	35.8974	63.3323	1963.3023	163.6483	58.8890	186.2461	explicit_haploid_depth	2195.0000	0.96548517	0	NA	NA	NA	NA	22513640774	medium	independent_base_error_survival_approximation;phred_scores_treated_as_calibrated_probabilities;genome_background_uniqueness_not_verified
TXF000006	41	6	1454.7090	35.8974	40.5240	1661.4855	215.9536	34.5082	69.6944	explicit_haploid_depth	1404.5000	0.96548517	0	NA	NA	NA	NA	22513640774	medium	independent_base_error_survival_approximation;phred_scores_treated_as_calibrated_probabilities;genome_background_uniqueness_not_verified
TXF000007	58	0	0.0000	35.8974	0.0000	0.0000	0.0000	0.0000	0.0000	explicit_haploid_depth	0.0000	0.96548517	0	NA	NA	NA	NA	22513640774	low	independent_base_error_survival_approximation;phred_scores_treated_as_calibrated_probabilities;no_diagnostic_kmers
TXF000008	234	21	59.0377	35.8974	1.6446	384.8413	22.7865	0.0000	50.0311	explicit_haploid_depth	57.0000	0.96548517	0	NA	NA	NA	NA	22513640774	medium	independent_base_error_survival_approximation;phred_scores_treated_as_calibrated_probabilities;genome_background_uniqueness_not_verified
TXF000009	240	45	14.5005	35.8974	0.4039	96.9461	14.5005	0.0000	281.9919	explicit_haploid_depth	14.0000	0.96548517	0	NA	NA	NA	NA	22513640774	medium	independent_base_error_survival_approximation;phred_scores_treated_as_calibrated_probabilities;genome_background_uniqueness_not_verified
TXF000010	32	0	0.0000	35.8974	0.0000	0.0000	0.0000	0.0000	0.0000	explicit_haploid_depth	0.0000	0.96548517	0	NA	NA	NA	NA	22513640774	low	independent_base_error_survival_approximation;phred_scores_treated_as_calibrated_probabilities;no_diagnostic_kmers
TXF000011	44	5	2218.5737	35.8974	61.8031	2719.3375	250.6512	50.9255	246.5489	explicit_haploid_depth	2142.0000	0.96548517	0	NA	NA	NA	NA	22513640774	medium	independent_base_error_survival_approximation;phred_scores_treated_as_calibrated_probabilities;genome_background_uniqueness_not_verified
TXF000012	177	46	4401.4141	35.8974	122.6108	21702.1153	1193.7004	90.0069	354.1417	explicit_haploid_depth	4249.5000	0.96548517	0	NA	NA	NA	NA	22513640774	medium	independent_base_error_survival_approximation;phred_scores_treated_as_calibrated_probabilities;genome_background_uniqueness_not_verified
TXF000013	54	0	0.0000	35.8974	0.0000	0.0000	0.0000	0.0000	0.0000	explicit_haploid_depth	0.0000	0.96548517	0	NA	NA	NA	NA	22513640774	low	independent_base_error_survival_approximation;phred_scores_treated_as_calibrated_probabilities;no_diagnostic_kmers
TXF000014	341	7	54254.5881	35.8974	1511.3778	515379.8341	523.0531	1293.3703	1555.1132	explicit_haploid_depth	52382.0000	0.96548517	0	NA	NA	NA	NA	22513640774	medium	independent_base_error_survival_approximation;phred_scores_treated_as_calibrated_probabilities;genome_background_uniqueness_not_verified
TXF000015	52	0	0.0000	35.8974	0.0000	0.0000	0.0000	0.0000	0.0000	explicit_haploid_depth	0.0000	0.96548517	0	NA	NA	NA	NA	22513640774	low	independent_base_error_survival_approximation;phred_scores_treated_as_calibrated_probabilities;no_diagnostic_kmers
TXF000016	48	12	13249.8152	35.8974	369.1020	17716.8957	2574.8713	156.2909	432.3997	explicit_haploid_depth	12792.5000	0.96548517	0	NA	NA	NA	NA	22513640774	medium	independent_base_error_survival_approximation;phred_scores_treated_as_calibrated_probabilities;genome_background_uniqueness_not_verified
