panel	run_accession	reported_species	reported_material	metric	bin_lower_bound	bin_label	value	read_count	library_read_count
A	ERR6210723	Arabidopsis thaliana	Col-0N	total_bases_Gb	NA	NA	14.646601458	933904	933904
A	ERR8666127	Arabidopsis thaliana	Col-0R	total_bases_Gb	NA	NA	17.746722015	982810	982810
A	ERR8666125	Arabidopsis thaliana	Ey15-2R	total_bases_Gb	NA	NA	18.636790429	837586	837586
A	ERR10422581	Avena sativa	Victoria	total_bases_Gb	NA	NA	7.346159178	398850	398850
A	SRR28726931	Glycine soja	YSD56	total_bases_Gb	NA	NA	44.193089411	2617227	2617227
A	ERR4659246	Hordeum vulgare	Morex	total_bases_Gb	NA	NA	19.525307665	896701	896701
A	SRR25241090	Oryza sativa	Nipponbare	total_bases_Gb	NA	NA	32.966159623	1785885	1785885
A	ERR15194059	Secale cereale	Lo7	total_bases_Gb	NA	NA	77.092101008	4576975	4576975
A	SRR28200549	Triticum aestivum	Chinese Spring	total_bases_Gb	NA	NA	24.95367943	1500000	1500000
A	SRR15447419	Zea mays	Mo17	total_bases_Gb	NA	NA	5.624644958	407670	407670
B	ERR6210723	Arabidopsis thaliana	Col-0N	median_read_length_kb	NA	NA	15.514	933904	933904
B	ERR6210723	Arabidopsis thaliana	Col-0N	read_n50_kb	NA	NA	15.663	933904	933904
B	ERR8666127	Arabidopsis thaliana	Col-0R	median_read_length_kb	NA	NA	16.635	982810	982810
B	ERR8666127	Arabidopsis thaliana	Col-0R	read_n50_kb	NA	NA	18.027	982810	982810
B	ERR8666125	Arabidopsis thaliana	Ey15-2R	median_read_length_kb	NA	NA	21.506	837586	837586
B	ERR8666125	Arabidopsis thaliana	Ey15-2R	read_n50_kb	NA	NA	22.587	837586	837586
B	ERR10422581	Avena sativa	Victoria	median_read_length_kb	NA	NA	18.137	398850	398850
B	ERR10422581	Avena sativa	Victoria	read_n50_kb	NA	NA	18.295	398850	398850
B	SRR28726931	Glycine soja	YSD56	median_read_length_kb	NA	NA	16.224	2617227	2617227
B	SRR28726931	Glycine soja	YSD56	read_n50_kb	NA	NA	17.474	2617227	2617227
B	ERR4659246	Hordeum vulgare	Morex	median_read_length_kb	NA	NA	21.499	896701	896701
B	ERR4659246	Hordeum vulgare	Morex	read_n50_kb	NA	NA	21.875	896701	896701
B	SRR25241090	Oryza sativa	Nipponbare	median_read_length_kb	NA	NA	17.489	1785885	1785885
B	SRR25241090	Oryza sativa	Nipponbare	read_n50_kb	NA	NA	19.159	1785885	1785885
B	ERR15194059	Secale cereale	Lo7	median_read_length_kb	NA	NA	16.757	4576975	4576975
