panel	dataset	metric	variant	value
A	at_rich_control_s2101	runtime_seconds	baseline	1.6309501249343157
A	at_rich_control_s2101	runtime_seconds	native_seed	1.2762300409376621
A	clean_171_s2101	runtime_seconds	baseline	1.3707821669522673
A	clean_171_s2101	runtime_seconds	native_seed	0.9875918340403587
A	clean_421_s2101	runtime_seconds	baseline	1.159850750118494
A	clean_421_s2101	runtime_seconds	native_seed	0.7734777498990297
A	clean_60_s2101	runtime_seconds	baseline	0.8826642080675811
A	clean_60_s2101	runtime_seconds	native_seed	0.5326771670952439
A	clean_729_s2101	runtime_seconds	baseline	1.3040404161438346
A	clean_729_s2101	runtime_seconds	native_seed	0.9363584171514958
A	dispersed_control_s2101	runtime_seconds	baseline	1.0239016660489142
A	dispersed_control_s2101	runtime_seconds	native_seed	0.75578304217197
A	divergent_units_s2101	runtime_seconds	baseline	1.3930817910004407
A	divergent_units_s2101	runtime_seconds	native_seed	1.161138999974355
A	indel_01pct_s2101	runtime_seconds	baseline	1.3931886251084507
A	indel_01pct_s2101	runtime_seconds	native_seed	1.0359039998147637
A	indel_1pct_s2101	runtime_seconds	baseline	1.4248217921704054
A	indel_1pct_s2101	runtime_seconds	native_seed	1.0710197081789374
A	indel_4pct_s2101	runtime_seconds	baseline	1.4505135409999639
A	indel_4pct_s2101	runtime_seconds	native_seed	1.159188708057627
A	low_complexity_control_s2101	runtime_seconds	baseline	0.6650844579562545
A	low_complexity_control_s2101	runtime_seconds	native_seed	0.14956612489186227
A	related_families_s2101	runtime_seconds	baseline	1.4021862919908017
A	related_families_s2101	runtime_seconds	native_seed	0.9875402918551117
A	short_arrays_s2101	runtime_seconds	baseline	0.6915128750260919
A	short_arrays_s2101	runtime_seconds	native_seed	0.45971058309078217
A	substitution_1pct_s2101	runtime_seconds	baseline	1.3982471670024097
A	substitution_1pct_s2101	runtime_seconds	native_seed	1.063082833075896
A	substitution_5pct_s2101	runtime_seconds	baseline	1.4072267501614988
A	substitution_5pct_s2101	runtime_seconds	native_seed	1.1197649578098208
A	two_arrays_s2101	runtime_seconds	baseline	1.5546432500705123
A	two_arrays_s2101	runtime_seconds	native_seed	1.1090662081260234
D	at_rich_control_s2101	cpu_user_seconds	baseline	1.526975
D	at_rich_control_s2101	cpu_user_seconds	native_seed	1.168296
D	clean_171_s2101	cpu_user_seconds	baseline	1.277961
D	clean_171_s2101	cpu_user_seconds	native_seed	0.886806
D	clean_421_s2101	cpu_user_seconds	baseline	1.076257
