panel	method	stratum	metric	value
A	baseline_total_bases	6301	mean_absolute_relative_error	0.43100913774410776
A	baseline_total_bases	6302	mean_absolute_relative_error	0.3791017138383838
A	baseline_total_bases	6303	mean_absolute_relative_error	0.3955820421212121
A	oracle_error_survival	6301	mean_absolute_relative_error	0.3915745228282828
A	oracle_error_survival	6302	mean_absolute_relative_error	0.3349216102693603
A	oracle_error_survival	6303	mean_absolute_relative_error	0.35242475885521884
A	empirical_controls	6301	mean_absolute_relative_error	0.38565694067340067
A	empirical_controls	6302	mean_absolute_relative_error	0.3545344385521886
A	empirical_controls	6303	mean_absolute_relative_error	0.3569926781144781
A	empirical_controls_plus_oracle_error	6301	mean_absolute_relative_error	0.38565694067340067
A	empirical_controls_plus_oracle_error	6302	mean_absolute_relative_error	0.3545344385521886
A	empirical_controls_plus_oracle_error	6303	mean_absolute_relative_error	0.3569926781144781
A	depth_gated_controls	6301	mean_absolute_relative_error	0.38616123602693603
A	depth_gated_controls	6302	mean_absolute_relative_error	0.323209061010101
A	depth_gated_controls	6303	mean_absolute_relative_error	0.35897974922558923
B	baseline_total_bases	all	mean_signed_relative_error	-0.2625326181032548
B	oracle_error_survival	all	mean_signed_relative_error	-0.14582651044893377
B	empirical_controls	all	mean_signed_relative_error	-0.11311172142536476
B	empirical_controls_plus_oracle_error	all	mean_signed_relative_error	-0.11311172142536476
C	baseline_total_bases	1	mean_absolute_relative_error	0.5450520282491582
C	baseline_total_bases	5	mean_absolute_relative_error	0.3434850726936027
C	baseline_total_bases	20	mean_absolute_relative_error	0.31715579276094275
C	oracle_error_survival	1	mean_absolute_relative_error	0.5483029987878788
C	oracle_error_survival	5	mean_absolute_relative_error	0.2876539590909091
C	oracle_error_survival	20	mean_absolute_relative_error	0.24296393407407407
C	empirical_controls	1	mean_absolute_relative_error	0.5738860393265993
C	empirical_controls	5	mean_absolute_relative_error	0.2843554395959596
C	empirical_controls	20	mean_absolute_relative_error	0.2389425784175084
C	empirical_controls_plus_oracle_error	1	mean_absolute_relative_error	0.5738860393265993
C	empirical_controls_plus_oracle_error	5	mean_absolute_relative_error	0.2843554395959596
C	empirical_controls_plus_oracle_error	20	mean_absolute_relative_error	0.2389425784175084
C	depth_gated_controls	1	mean_absolute_relative_error	0.5450520282491582
C	depth_gated_controls	5	mean_absolute_relative_error	0.2843554395959596
C	depth_gated_controls	20	mean_absolute_relative_error	0.2389425784175084
D	oracle_error_survival	improved	paired_family_fraction	0.498989898989899
D	empirical_controls	improved	paired_family_fraction	0.6525252525252525
D	empirical_controls_plus_oracle_error	improved	paired_family_fraction	0.6525252525252525
D	oracle_error_survival	equal	paired_family_fraction	0.362962962962963
D	empirical_controls	equal	paired_family_fraction	0.044444444444444446
D	empirical_controls_plus_oracle_error	equal	paired_family_fraction	0.044444444444444446
D	oracle_error_survival	worse	paired_family_fraction	0.13804713804713806
D	empirical_controls	worse	paired_family_fraction	0.30303030303030304
D	empirical_controls_plus_oracle_error	worse	paired_family_fraction	0.30303030303030304
E	baseline_total_bases	1	median_runtime_seconds	0.44926575012505054
E	baseline_total_bases	5	median_runtime_seconds	1.5891012498177588
E	baseline_total_bases	20	median_runtime_seconds	5.219914915971458
E	oracle_error_survival	1	median_runtime_seconds	1.0894899580162019
E	oracle_error_survival	5	median_runtime_seconds	4.658363084075972
E	oracle_error_survival	20	median_runtime_seconds	18.223828708054498
E	empirical_controls	1	median_runtime_seconds	0.5293765410315245
E	empirical_controls	5	median_runtime_seconds	1.7708560000173748
E	empirical_controls	20	median_runtime_seconds	6.7065128749236465
E	empirical_controls_plus_oracle_error	1	median_runtime_seconds	1.1499717920087278
E	empirical_controls_plus_oracle_error	5	median_runtime_seconds	4.933863749960437
E	empirical_controls_plus_oracle_error	20	median_runtime_seconds	19.009247541893274
F	baseline_total_bases	1	diagnostic_spread_truth_coverage	0.07474747474747474
F	baseline_total_bases	5	diagnostic_spread_truth_coverage	0.05858585858585858
F	baseline_total_bases	20	diagnostic_spread_truth_coverage	0.022222222222222223
F	oracle_error_survival	1	diagnostic_spread_truth_coverage	0.10303030303030303
F	oracle_error_survival	5	diagnostic_spread_truth_coverage	0.09898989898989899
F	oracle_error_survival	20	diagnostic_spread_truth_coverage	0.05858585858585859
F	empirical_controls	1	diagnostic_spread_truth_coverage	0.09898989898989899
F	empirical_controls	5	diagnostic_spread_truth_coverage	0.13333333333333333
F	empirical_controls	20	diagnostic_spread_truth_coverage	0.050505050505050504
F	empirical_controls_plus_oracle_error	1	diagnostic_spread_truth_coverage	0.09898989898989899
F	empirical_controls_plus_oracle_error	5	diagnostic_spread_truth_coverage	0.13333333333333333
F	empirical_controls_plus_oracle_error	20	diagnostic_spread_truth_coverage	0.050505050505050504
