seed	coverage	substitution_rate	reads_sha256	catalogue_sha256	truth_sha256	sampling_sha256	read_count	total_bases	total_exposure
4101	1	0	5591d9ce97fa34b470494bb4a47460f7aa2c1283b19c16333ddad5d83ea8106b	582d27c3c9fb67482e7c67a0feaf1d72b860915bf7e993d92feb7af1683963b4	64232ca7c69757b2c6522a9a67424e414fa0424013487051cc10dd51b16d90da	cfde82dbacf388ca41e17a780f965a3d74c6f50f41a83dcfc304c6acbafc1237	40	200000	199200
4101	1	0.001	dfd096219a087d2949e78daf7cf4055a6f1c3047d40423f621123bb18b32a6cd	582d27c3c9fb67482e7c67a0feaf1d72b860915bf7e993d92feb7af1683963b4	64232ca7c69757b2c6522a9a67424e414fa0424013487051cc10dd51b16d90da	c58df036658de29fe4fc04810adff659b4c8f403ddbaf96cbbaaab5d6e9f118b	40	200000	199200
4101	1	0.01	73af7ffdb7ca514c4e28f64c207362e6934dd2102df388a427957d6449cf1116	582d27c3c9fb67482e7c67a0feaf1d72b860915bf7e993d92feb7af1683963b4	64232ca7c69757b2c6522a9a67424e414fa0424013487051cc10dd51b16d90da	22cc897cbec3a17e68eea7cf59ed01ab899cd8486356b0cc21650b519a37c9aa	40	200000	199200
4101	5	0	16b54e081fed5caced1540762786710a9880b1dee0e196533f9d20ee1103993b	582d27c3c9fb67482e7c67a0feaf1d72b860915bf7e993d92feb7af1683963b4	64232ca7c69757b2c6522a9a67424e414fa0424013487051cc10dd51b16d90da	484e22bd2392cc67a890b3d817eaa539e447590d6fab57a23e6cd8e9ee279643	199	995000	991020
4101	5	0.001	e2d1fca8e8988061bed1d19b093ad08ce4997658bc87325c5118739bf07707d6	582d27c3c9fb67482e7c67a0feaf1d72b860915bf7e993d92feb7af1683963b4	64232ca7c69757b2c6522a9a67424e414fa0424013487051cc10dd51b16d90da	0e0bcfa73c92022839e5b0026ff4c2227cb1976f7b44c04b44d3f58d34bdcc8b	199	995000	991020
4101	5	0.01	9e4a558cf3d59e3fb9511b9e8ca889fc9f93f0311aafcf7def701e81cc960e61	582d27c3c9fb67482e7c67a0feaf1d72b860915bf7e993d92feb7af1683963b4	64232ca7c69757b2c6522a9a67424e414fa0424013487051cc10dd51b16d90da	61c605bc583a4f958bf8ce74ce81099d5b14357e9cfbf7c0b33208a867d7b16f	199	995000	991020
4101	20	0	027ec815340b85964a67a6ea95e5986d4b771c8272f946e3eba8ff4f8a26c377	582d27c3c9fb67482e7c67a0feaf1d72b860915bf7e993d92feb7af1683963b4	64232ca7c69757b2c6522a9a67424e414fa0424013487051cc10dd51b16d90da	8ab7b452824f3208f225d7916abd8aa161a12de29f7f9e39f0486d51bf73aee9	796	3980000	3964080
4101	20	0.001	795b8ba2dcadf3a2fae4e313d430ad18f64248f013f2255564507f81cc58bd70	582d27c3c9fb67482e7c67a0feaf1d72b860915bf7e993d92feb7af1683963b4	64232ca7c69757b2c6522a9a67424e414fa0424013487051cc10dd51b16d90da	8997e8dcecacfc789bdcd478bfb223fe6d10ccdf1075b81bb09bd978915755f1	796	3980000	3964080
4101	20	0.01	d009807fe7713fc36b19ba313242896cf95348cd466bde8161a69e00f5ff1c34	582d27c3c9fb67482e7c67a0feaf1d72b860915bf7e993d92feb7af1683963b4	64232ca7c69757b2c6522a9a67424e414fa0424013487051cc10dd51b16d90da	983a744aa2dc04caee88a09f67e1dc2c37c2a76e72cdaae9034208fca9ab2dbf	796	3980000	3964080
4102	1	0	aaf32a15750e65eedb79c62d017c437997aa609aaccb5d3670ed0327b5afff9d	49d79e745004fcb80306242e5ee9729e863fb7a152ca31d1254e3622d1b99f0a	64232ca7c69757b2c6522a9a67424e414fa0424013487051cc10dd51b16d90da	e665add1857d947b39a4081c5f250140dad7ff4af0f8309614ccff6aba8879b8	40	200000	199200
4102	1	0.001	1c5e25d10db0bebfe917e23a38d0a1f43defdac679fb034474edfa79250ad040	49d79e745004fcb80306242e5ee9729e863fb7a152ca31d1254e3622d1b99f0a	64232ca7c69757b2c6522a9a67424e414fa0424013487051cc10dd51b16d90da	6b796d00517772c2473d3d7f50c5d169fde9407b79e95684203d95d5895cc765	40	200000	199200
4102	1	0.01	d692630f15d406b3b965d90b67c2d8b8d3993db222a7bf802f982fc749df1fdc	49d79e745004fcb80306242e5ee9729e863fb7a152ca31d1254e3622d1b99f0a	64232ca7c69757b2c6522a9a67424e414fa0424013487051cc10dd51b16d90da	ea092ffc3323935aa1330c00d5853b246ec326c0d6844c1d9e14be835de1279a	40	200000	199200
4102	5	0	f49c0a5936e9c904b5336d63fb2a3b086099d3000008a0e453014a7b941c12a0	49d79e745004fcb80306242e5ee9729e863fb7a152ca31d1254e3622d1b99f0a	64232ca7c69757b2c6522a9a67424e414fa0424013487051cc10dd51b16d90da	61281f4344637a5ba9a30472dbb98666443f6deec25158aecb60bba42ab171f0	199	995000	991020
4102	5	0.001	523f8b7fb01fef753a95badea47bf89cb0eb70fdb488ba7d2fe6a88fc19a92e9	49d79e745004fcb80306242e5ee9729e863fb7a152ca31d1254e3622d1b99f0a	64232ca7c69757b2c6522a9a67424e414fa0424013487051cc10dd51b16d90da	d9f4a08cc624fb34988d4a05ba07f6d899430f8e07c6af420b4ce18ec37f4049	199	995000	991020
4102	5	0.01	a6777abde8486d198046a993a8b9dca6ea7cf9fb82689bf2929e5457a77fbc05	49d79e745004fcb80306242e5ee9729e863fb7a152ca31d1254e3622d1b99f0a	64232ca7c69757b2c6522a9a67424e414fa0424013487051cc10dd51b16d90da	d5b85211be58ff4836c61bde2d243c8f49c29fbcad4d5597e3570b9d784fd18a	199	995000	991020
4102	20	0	82ad8593f8e364a08d7db6e71cb01a39615be7a514c0eb2049ef86cba4ecf261	49d79e745004fcb80306242e5ee9729e863fb7a152ca31d1254e3622d1b99f0a	64232ca7c69757b2c6522a9a67424e414fa0424013487051cc10dd51b16d90da	04ccaeed5225f09b13306149466d827b1ceb251a6a1c7c2ab9117441d61117f7	796	3980000	3964080
4102	20	0.001	db602e40c908c165673679d228807d470f8dbe1294b8bee6c9888e145a3ce876	49d79e745004fcb80306242e5ee9729e863fb7a152ca31d1254e3622d1b99f0a	64232ca7c69757b2c6522a9a67424e414fa0424013487051cc10dd51b16d90da	f0c57ee1add657e3e40311751a7cc1daa45a09334257b495202e1ad3218fd326	796	3980000	3964080
4102	20	0.01	59bd473f5ae9971084929812bfca1ecedad23a804e22643bd1adca90a4fcfa43	49d79e745004fcb80306242e5ee9729e863fb7a152ca31d1254e3622d1b99f0a	64232ca7c69757b2c6522a9a67424e414fa0424013487051cc10dd51b16d90da	a04670cca9d259afaf4d6ff17721344cc6b60113260c616baa349cae7adfc24e	796	3980000	3964080
4103	1	0	1b494880b80abc544ab4caca095f401ed7760186493bdc189bbc7aa961f48f86	188100ab389a49119aab8822a529826cd77cb5844be637b23de181258c813a07	64232ca7c69757b2c6522a9a67424e414fa0424013487051cc10dd51b16d90da	4536e799568ae663880ac8aa14e56cdb8f63738205855ccb0d298707db61a29d	40	200000	199200
4103	1	0.001	56914d310c96c7a660728f4cd28d686be25b7a22b57b9ea5c4d83d2dd79eb281	188100ab389a49119aab8822a529826cd77cb5844be637b23de181258c813a07	64232ca7c69757b2c6522a9a67424e414fa0424013487051cc10dd51b16d90da	30cf6bf36a85a340d7d8020be8c69a355af0a962f9a64bbb51e1d0e6ddccd882	40	200000	199200
4103	1	0.01	0674edf649547e08933102933062d4654e5dbc2306aa14651ce36150493e6251	188100ab389a49119aab8822a529826cd77cb5844be637b23de181258c813a07	64232ca7c69757b2c6522a9a67424e414fa0424013487051cc10dd51b16d90da	1c42c3f86bf2419bcf1259a5c0222f84decbe0259449074bf7f9d3b2092e51bf	40	200000	199200
4103	5	0	5b13b2816e5d867a46e7f72ce4fbc918bfa722b3fb906bbc4d4fb93c956101a8	188100ab389a49119aab8822a529826cd77cb5844be637b23de181258c813a07	64232ca7c69757b2c6522a9a67424e414fa0424013487051cc10dd51b16d90da	122aeb4ca9ec93032a04a63fe631c3b897996c2441ad5ccc77f152a38e63548e	199	995000	991020
4103	5	0.001	78f6cade2401bf9dbba28c641ced5e090ab0c159a7f01ba38cd0173713adc1fa	188100ab389a49119aab8822a529826cd77cb5844be637b23de181258c813a07	64232ca7c69757b2c6522a9a67424e414fa0424013487051cc10dd51b16d90da	e777381720346cb8ce7cd5e589e143ff762451f48ccfb3ceccc3b3182d6a5b13	199	995000	991020
4103	5	0.01	30a7f8ff4714d33b5bdb736285d0065e87bb3ce571bf97227f1aa6a4ccdf9f67	188100ab389a49119aab8822a529826cd77cb5844be637b23de181258c813a07	64232ca7c69757b2c6522a9a67424e414fa0424013487051cc10dd51b16d90da	35c3577b01ffcf3033caf2ebd0c7d4ac58b663b6a93fa584c2a5ef752bcffe0d	199	995000	991020
4103	20	0	409dfcb8b01efc04376064cb1cdd234af641b59c17e67b45d3feef6b3f0cf114	188100ab389a49119aab8822a529826cd77cb5844be637b23de181258c813a07	64232ca7c69757b2c6522a9a67424e414fa0424013487051cc10dd51b16d90da	f02e9d37eda117eb19bcc892ad3894307d4050658ee8d5d16f24d81618a461d2	796	3980000	3964080
4103	20	0.001	cae9d7c9e163502813aed7c8e3010da0a6dcdb05ff3d5b1e36f7e638a78bda7e	188100ab389a49119aab8822a529826cd77cb5844be637b23de181258c813a07	64232ca7c69757b2c6522a9a67424e414fa0424013487051cc10dd51b16d90da	792f83a37a2c9f949477bd7afef350448dc77c3a26a78cd457d8818af70a971f	796	3980000	3964080
4103	20	0.01	3354f8d949b5b921ee8ff0f57587ab55431e362f1956d7a913c4e3ab90a76253	188100ab389a49119aab8822a529826cd77cb5844be637b23de181258c813a07	64232ca7c69757b2c6522a9a67424e414fa0424013487051cc10dd51b16d90da	50148ab78d19edd9fbfbd1c60ae2059e55568c4321e7b86f97e6cef63cb0cec2	796	3980000	3964080
