dimension	bin_start_percent	bin_end_percent	read_count	total_bases	any_mapped_reads	primary_mapped_reads	primary_mapq20_reads	any_alignment_span_bp	primary_span_bp	primary_mapq20_span_bp	organelle_primary_reads	primary_organelle_span_bp	primary_other_reference_span_bp	primary_compartment_overlap_bp
gc	25	30	123	1855115	123	123	123	1854996	1854996	1854996	61	895435	959561	0
gc	30	35	2387	37405358	2386	2386	2386	37377960	37377960	36946261	703	10969176	26408788	4
gc	35	40	4024	63433598	4024	4024	3922	63419804	63419617	60951236	594	9337238	54082381	2
gc	40	45	690	10780375	690	690	507	10777126	10772868	7829771	255	3941726	6834499	3357
gc	45	50	128	1930106	127	127	57	1929501	1929501	841937	77	1126556	804518	1573
gc	50	55	203	3077074	203	203	94	3074337	3069461	1445551	3	20789	3048672	0
gc	60	65	1	584	1	1	0	584	584	0	0	0	584	0
gc	65	70	1	14320	0	0	0	0	0	0	0	0	0	0
max_purine_pyrimidine	50	55	7159	112332109	7157	7157	6736	112271386	112263730	104344575	1689	26269594	85999070	4934
max_purine_pyrimidine	55	60	397	6164368	397	397	353	6162922	6161257	5525177	4	21326	6139933	2
max_purine_pyrimidine	60	65	1	53	0	0	0	0	0	0	0	0	0	0
