run_accession	experiment_accession	sample_accession	instrument_platform	instrument_model	library_strategy	library_source	scientific_name	study_title	experiment_title	base_count	read_count	fastq_ftp	fastq_md5
SRR15447409	SRX11746839	SAMN20604712	OXFORD_NANOPORE	PromethION	WGS	GENOMIC	Zea mays	Zea mays Mo17 Genome sequencing and assembly	PromethION sequencing: Mo17_ONT ultra_long_replicate 7	6488395577	225358	ftp.sra.ebi.ac.uk/vol1/fastq/SRR154/009/SRR15447409/SRR15447409_1.fastq.gz	f74ffe051e6f2f8716220a2fe1f58d14
SRR15447415	SRX11746833	SAMN20604747	PACBIO_SMRT	Sequel II	WGS	GENOMIC	Zea mays	Zea mays Mo17 Genome sequencing and assembly	Sequel II sequencing: Mo17_Pacbio CCS_replicate 6	22822023230	1273356	ftp.sra.ebi.ac.uk/vol1/fastq/SRR154/015/SRR15447415/SRR15447415_subreads.fastq.gz	ab74ce532bdf4c7e8b7b36a86c7952f5
SRR15447417	SRX11746831	SAMN20604710	OXFORD_NANOPORE	PromethION	WGS	GENOMIC	Zea mays	Zea mays Mo17 Genome sequencing and assembly	PromethION sequencing: Mo17_ONT ultra_long_replicate 5	3457546423	68635	ftp.sra.ebi.ac.uk/vol1/fastq/SRR154/017/SRR15447417/SRR15447417_1.fastq.gz	6d2cc2f7d760277df8de0a378bb94fd5
SRR15447418	SRX11746830	SAMN20604745	PACBIO_SMRT	Sequel II	WGS	GENOMIC	Zea mays	Zea mays Mo17 Genome sequencing and assembly	Sequel II sequencing: Mo17_Pacbio CCS_replicate 4	17243536830	963534	ftp.sra.ebi.ac.uk/vol1/fastq/SRR154/018/SRR15447418/SRR15447418_subreads.fastq.gz	7ca64ad9fc3cd6a91295bf9eaee9cbeb
SRR15447425	SRX11746823	SAMN20604738	OXFORD_NANOPORE	PromethION	WGS	GENOMIC	Zea mays	Zea mays Mo17 Genome sequencing and assembly	PromethION sequencing: Mo17_ONT ultra_long_replicate 33	10392983825	184629	ftp.sra.ebi.ac.uk/vol1/fastq/SRR154/025/SRR15447425/SRR15447425_1.fastq.gz	21a1c0762a04e1b2725a1be509bb3b3b
SRR15447431	SRX11746817	SAMN20604733	OXFORD_NANOPORE	PromethION	WGS	GENOMIC	Zea mays	Zea mays Mo17 Genome sequencing and assembly	PromethION sequencing: Mo17_ONT ultra_long_replicate 28	16310904096	392316	ftp.sra.ebi.ac.uk/vol1/fastq/SRR154/031/SRR15447431/SRR15447431_1.fastq.gz	e7a6e04dac536337bfa091c88c2c1c5d
SRR15447435	SRX11746813	SAMN20604729	OXFORD_NANOPORE	PromethION	WGS	GENOMIC	Zea mays	Zea mays Mo17 Genome sequencing and assembly	PromethION sequencing: Mo17_ONT ultra_long_replicate 24	5256875678	115952	ftp.sra.ebi.ac.uk/vol1/fastq/SRR154/035/SRR15447435/SRR15447435_1.fastq.gz	42398a8df7a7987d52fb24a58d76817a
SRR15447437	SRX11746811	SAMN20604727	OXFORD_NANOPORE	PromethION	WGS	GENOMIC	Zea mays	Zea mays Mo17 Genome sequencing and assembly	PromethION sequencing: Mo17_ONT ultra_long_replicate 22	13947843637	292861	ftp.sra.ebi.ac.uk/vol1/fastq/SRR154/037/SRR15447437/SRR15447437_1.fastq.gz	460cd19a81208e961ad17777d9e672e2
SRR15447441	SRX11746807	SAMN20604724	OXFORD_NANOPORE	PromethION	WGS	GENOMIC	Zea mays	Zea mays Mo17 Genome sequencing and assembly	PromethION sequencing: Mo17_ONT ultra_long_replicate 19	8357893336	169728	ftp.sra.ebi.ac.uk/vol1/fastq/SRR154/041/SRR15447441/SRR15447441_1.fastq.gz	197f1579908d961d3936417838d36e82
SRR15447444	SRX11746804	SAMN20604721	OXFORD_NANOPORE	PromethION	WGS	GENOMIC	Zea mays	Zea mays Mo17 Genome sequencing and assembly	PromethION sequencing: Mo17_ONT ultra_long_replicate 16	16580027031	366404	ftp.sra.ebi.ac.uk/vol1/fastq/SRR154/044/SRR15447444/SRR15447444_1.fastq.gz	49e38df2ce0f7f13d3a71f743c5e0733
