project	run_accession	experiment_accession	sample_accession	instrument_platform	instrument_model	scientific_name	experiment_title	base_count	read_count	fastq_ftp	fastq_md5
PRJEB50694	ERR8666127	ERX8331482	SAMEA13018400	PACBIO_SMRT	Sequel II	Arabidopsis thaliana	Sequel II sequencing: Raw reads: Col-0_6909_HiFi	17746722015	982810	ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/007/ERR8666127/ERR8666127.fastq.gz	e969dc4862fe5940049f647b88ef8797
PRJEB50694	ERR8666125	ERX8331480	SAMEA13018399	PACBIO_SMRT	Sequel II	Arabidopsis thaliana	Sequel II sequencing: Raw reads: Ey15-2_9994_HiFi	18636790429	837586	ftp.sra.ebi.ac.uk/vol1/fastq/ERR866/005/ERR8666125/ERR8666125.fastq.gz	e9e5c1cd82e175bb8cd9583bf372aff6
PRJNA751841	SRR15447415	SRX11746833	SAMN20604747	PACBIO_SMRT	Sequel II	Zea mays	Sequel II sequencing: Mo17_Pacbio CCS_replicate 6	22822023230	1273356	ftp.sra.ebi.ac.uk/vol1/fastq/SRR154/015/SRR15447415/SRR15447415_subreads.fastq.gz	ab74ce532bdf4c7e8b7b36a86c7952f5
PRJNA751841	SRR15447418	SRX11746830	SAMN20604745	PACBIO_SMRT	Sequel II	Zea mays	Sequel II sequencing: Mo17_Pacbio CCS_replicate 4	17243536830	963534	ftp.sra.ebi.ac.uk/vol1/fastq/SRR154/018/SRR15447418/SRR15447418_subreads.fastq.gz	7ca64ad9fc3cd6a91295bf9eaee9cbeb
PRJNA751841	SRR15447414	SRX11746834	SAMN20604748	PACBIO_SMRT	Sequel II	Zea mays	Sequel II sequencing: Mo17_Pacbio CCS_replicate 7	27911005423	1752069	ftp.sra.ebi.ac.uk/vol1/fastq/SRR154/014/SRR15447414/SRR15447414_subreads.fastq.gz	2518826ed189488b08d16aaa7e6fd159
PRJNA751841	SRR15447416	SRX11746832	SAMN20604746	PACBIO_SMRT	Sequel II	Zea mays	Sequel II sequencing: Mo17_Pacbio CCS_replicate 5	27500600817	1739946	ftp.sra.ebi.ac.uk/vol1/fastq/SRR154/016/SRR15447416/SRR15447416_subreads.fastq.gz	69ba2df2b32339cc89918bbe12fbb712
PRJNA751841	SRR15447421	SRX11746827	SAMN20604742	PACBIO_SMRT	Sequel II	Zea mays	Sequel II sequencing: Mo17_Pacbio CCS_replicate 1	19690751263	1099932	ftp.sra.ebi.ac.uk/vol1/fastq/SRR154/021/SRR15447421/SRR15447421_subreads.fastq.gz	a104bbd6b132e5760ccbfa6add1cd128
PRJNA751841	SRR15447420	SRX11746828	SAMN20604743	PACBIO_SMRT	Sequel II	Zea mays	Sequel II sequencing: Mo17_Pacbio CCS_replicate 2	30331379097	2087161	ftp.sra.ebi.ac.uk/vol1/fastq/SRR154/020/SRR15447420/SRR15447420_subreads.fastq.gz	6ac0bf92144ceef5c475bde4f1c50fc0
PRJNA751841	SRR15447419	SRX11746829	SAMN20604744	PACBIO_SMRT	Sequel II	Zea mays	Sequel II sequencing: Mo17_Pacbio CCS_replicate 3	5624644958	407670	ftp.sra.ebi.ac.uk/vol1/fastq/SRR154/019/SRR15447419/SRR15447419_subreads.fastq.gz	7d25a15f3faa9ce4bd2bed9789e394d8
PRJNA953663	SRR25241090	SRX20987367	SAMN36368305	PACBIO_SMRT	Sequel II	Oryza sativa Japonica Group	Sequel II sequencing: hifi of NIP	32966159623	1785885	ftp.sra.ebi.ac.uk/vol1/fastq/SRR252/090/SRR25241090/SRR25241090_subreads.fastq.gz	00d3f9813c194e0d5df4b547265babac
PRJNA919186	SRR23004521	SRX18960336	SAMN32622558	PACBIO_SMRT	Sequel II	Glycine max	Sequel II sequencing: Pacbio Sequencing of genomic DNA of soybean cultivar Wm82	136471999387	8271987	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/021/SRR23004521/SRR23004521_subreads.fastq.gz	5c12777a27b2b077387b960cd682bd89
PRJNA919186	SRR23004522	SRX18960335	SAMN32622557	PACBIO_SMRT	Sequel II	Glycine max	Sequel II sequencing: Pacbio Sequencing of genomic DNA of soybean cultivar Lee	163995419007	9021517	ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/022/SRR23004522/SRR23004522_subreads.fastq.gz	e278ea8b496d03b6f58027e41f770e2d
