condition	method	simulation_seeds	statuses	MARE_mean	MARE_min	MARE_max	family_recovery_mean	family_recovery_min	family_recovery_max	base_union_recall_mean	base_union_recall_min	base_union_recall_max	base_union_precision_mean	base_union_precision_min	base_union_precision_max	negative_read_predicted_bp_mean	negative_read_predicted_bp_min	negative_read_predicted_bp_max	negative_read_attribution_fraction_mean	negative_read_attribution_fraction_min	negative_read_attribution_fraction_max	unassigned_abundance_bp_mean	unassigned_abundance_bp_min	unassigned_abundance_bp_max	native_catalogue_count_mean	native_catalogue_count_min	native_catalogue_count_max	workflow_wall_seconds_mean	workflow_wall_seconds_min	workflow_wall_seconds_max	cpu_user_seconds_mean	cpu_user_seconds_min	cpu_user_seconds_max	cpu_system_seconds_mean	cpu_system_seconds_min	cpu_system_seconds_max	peak_rss_mib_mean	peak_rss_mib_min	peak_rss_mib_max	throughput_bp_per_second_mean	throughput_bp_per_second_min	throughput_bp_per_second_max	shared_discovery_plus_mapping_wall_seconds_mean	shared_discovery_plus_mapping_wall_seconds_min	shared_discovery_plus_mapping_wall_seconds_max	shared_discovery_plus_mapping_peak_rss_mib_mean	shared_discovery_plus_mapping_peak_rss_mib_min	shared_discovery_plus_mapping_peak_rss_mib_max
clean	tandemx	3	ok:3	0.008360779793952097	0.00825717492384159	0.008551119662230773	1.0	1.0	1.0	1.0	1.0	1.0	0.9995291410308055	0.9994433620929585	0.9996033320111067	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	3.0	3.0	0.5724110276593516	0.533216374926269	0.6113258330151439	0.4524433333333333	0.430713	0.48481599999999997	0.035569666666666666	0.03376899999999999	0.038119	29.630208333333332	29.3125	30.265625	876223.811439641	817894.4402429889	937705.6360452882	NA	NA	NA	NA	NA	NA
clean	srf_k151	3	ok:3	0.04562342707835264	0.042029604813880315	0.048322007257934035	1.0	1.0	1.0	0.9541794300566231	0.9514759120022278	0.9577415761626288	0.9998685202876503	0.999810164937464	0.999963656187534	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	3.0	3.0	2.233343318958456	1.9829134580213577	2.6993293329142034	1.515652	1.5034750000000001	1.528352	0.07956666666666665	0.07187199999999999	0.08824299999999999	47.208333333333336	46.0625	48.40625	228393.87382585582	185231.19572823617	252154.22184835188	NA	NA	NA	NA	NA	NA
clean	srf_k101	3	ok:3	0.04983958028580454	0.04675510637174055	0.05271211992798568	1.0	1.0	1.0	0.9501345957486308	0.9472222222222222	0.953411306042885	0.9998827521478526	0.999824110107073	0.9999196839930198	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	3.0	3.0	1.8947146523278207	1.87280691601336	1.9139089579693973	1.426463	1.421474	1.432093	0.07410699999999999	0.07114800000000002	0.08002399999999998	44.255208333333336	42.9375	46.53125	263912.99410611315	261245.44635105616	266978.9371903586	NA	NA	NA	NA	NA	NA
clean	competitive_mapping	3	ok:3	0.00035949775108460875	0.0003356298840379412	0.0003989975562425205	NA	NA	NA	1.0	1.0	1.0	0.9996381157282241	0.9995963757324389	0.9996589857261168	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	3.0	3.0	2.0595432779906937	2.035276124952361	2.0719323749653995	2.0081816666666668	1.977731	2.028728	0.0037209999999999995	0.0027749999999999997	0.0048649999999999995	5.723958333333333	5.625	5.78125	242789.2275993072	241320.61743006928	245666.91166374457	2.5020411109241345	2.475387082900852	2.5526615839917213	29.630208333333332	29.3125	30.265625
substitution	tandemx	3	ok:3	0.19387965298655788	0.1892526455026455	0.19684820288268565	1.0	1.0	1.0	0.9999002134967048	0.999874686716792	0.9999303815093289	0.9995453295361398	0.9994294143843242	0.9996241543472814	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	3.0	3.0	0.5669064446507642	0.5577141249086708	0.5788491670973599	0.43287166666666665	0.417657	0.443256	0.03525166666666667	0.034058	0.036005999999999996	29.171875	28.984375	29.28125	882193.0488124656	863782.8788927016	896516.6519350361	NA	NA	NA	NA	NA	NA
substitution	srf_k151	3	ok:3	0.0576973520495546	0.05296845508833812	0.061386440470473015	1.0	1.0	1.0	0.9430567158637334	0.9393553327763854	0.9471734892787524	0.9999064601534869	0.9998596957613352	0.9999412024107012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	3.0	3.0	2.0186742222867906	1.9674241670873016	2.108123374870047	1.5116586666666667	1.50012	1.5298	0.07608133333333333	0.06968900000000001	0.083923	51.151041666666664	47.515625	53.421875	247927.28049090784	237177.76955574148	254139.4013372477	NA	NA	NA	NA	NA	NA
substitution	srf_k101	3	ok:3	0.052819379429430886	0.043522038119991335	0.059916486959032934	1.0	1.0	1.0	0.946549243479068	0.9393483709273183	0.9560707323865218	0.9998754014959492	0.9997961531181293	0.9999258918910907	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	3.0	3.0	1.9006123472936451	1.8895057910121977	1.922704208875075	1.4286756666666667	1.4068419999999997	1.45452	0.07430433333333333	0.070572	0.080195	45.640625	45.390625	46.046875	263090.77959516185	260050.40072832484	264619.4588967906	NA	NA	NA	NA	NA	NA
substitution	competitive_mapping	3	ok:3	0.00026118868465076775	0.00024507842616332227	0.0002897949083360276	NA	NA	NA	0.9998909310312819	0.9998677248677249	0.999937343358396	0.9996403954308423	0.9995824082516129	0.9996798374130863	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	3.0	3.0	1.9346106805993866	1.9218105420004576	1.9530350000131875	1.8670836666666666	1.860239	1.875443	0.006087666666666667	0.003372	0.010284999999999999	5.666666666666667	5.546875	5.78125	258462.19916882736	256011.79702187818	260171.32754383702	2.364206847657139	2.348635209025815	2.3945490419864655	29.171875	28.984375	29.28125
indel	tandemx	3	ok:3	0.04737424894876529	0.04530440111180844	0.049834799945529834	1.0	1.0	1.0	0.9999930378762467	0.9999930372784114	0.9999930382963319	0.9986118441210192	0.9983317229826013	0.9987970656746514	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	3.0	3.0	1.0821068189106882	1.0736879578325897	1.0892668329179287	0.9527153333333334	0.945327	0.965536	0.03431633333333333	0.033246	0.035334	30.53125	30.359375	30.734375	462072.6099130893	459027.1041858418	465667.88455865084	NA	NA	NA	NA	NA	NA
indel	srf_k151	3	ok:3	0.055463550146310915	0.047158877593268846	0.06293769816640311	1.0	1.0	1.0	0.9438667942738239	0.9358339772909227	0.9523315557164539	0.9999165338178619	0.9998976645590439	0.9999404912447744	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	3.0	3.0	1.9611759029794484	1.946430959040299	1.9720376250334084	1.5047633333333332	1.499836	1.507708	0.07146799999999999	0.07042199999999998	0.07202699999999998	49.536458333333336	49.15625	49.765625	254953.96032082086	253546.37946703954	256879.3913175977	NA	NA	NA	NA	NA	NA
