method	status	workflow_wall_seconds	native_stage_wall_seconds	cpu_user_seconds	cpu_system_seconds	peak_rss_mib	throughput_bp_per_second	memory_method	peak_temporary_disk	truth_union_bp	predicted_union_bp	true_positive_bp	base_union_recall	base_union_precision	negative_read_predicted_bp	unassigned_native_bp	MARE	abundance_excess_bp	unassigned_abundance_bp	zero_truth_family_count	zero_truth_family_ids	family_recovery	family_recovery_state	matched_truth_families	truth_families	potential_truth_catalogue_families	native_catalogue_count	negative_read_total_bp	negative_read_attribution_fraction	condition	seed	input_sha256	retained_output_bytes	ambiguous_native_bp	shared_discovery_plus_mapping_wall_seconds	shared_discovery_plus_mapping_peak_rss_mib	shared_discovery_plus_mapping_cpu_seconds
tandemx	ok	0.6113258330151439	0.6038952078670263	0.48481599999999997	0.038119	30.265625	817894.4402429889	max_direct_child_wait4_RSS_sequential_stages_controller_excluded	not_measured	143640	143720	143640	1.0	0.9994433620929585	0	0	0.008274044795783928	0	0.0	0		1.0	assessed	3	3	3	3	150000	0.0	clean	2026091001	d659758d2e2cafca48703a7ad4289613256564bf78a6189d58e232dd55359ef9	62182	NA	NA	NA	NA
srf_k151	ok	2.6993293329142034	2.6863114163279533	1.5151290000000002	0.08824299999999999	47.15625	185231.19572823617	max_direct_child_wait4_RSS_sequential_stages_controller_excluded	not_measured	143640	136693	136670	0.9514759120022278	0.9998317397379529	0	0	0.048322007257934035	0	0.0	0		1.0	assessed	3	3	3	3	150000	0.0	clean	2026091001	d659758d2e2cafca48703a7ad4289613256564bf78a6189d58e232dd55359ef9	1558148	NA	NA	NA	NA
srf_k101	ok	1.9139089579693973	1.9053309988230467	1.425822	0.08002399999999998	46.53125	261245.44635105616	max_direct_child_wait4_RSS_sequential_stages_controller_excluded	not_measured	143640	136072	136059	0.9472222222222222	0.9999044623434652	0	0	0.05271211992798568	0	0.0	0		1.0	assessed	3	3	3	3	150000	0.0	clean	2026091001	d659758d2e2cafca48703a7ad4289613256564bf78a6189d58e232dd55359ef9	5457140	NA	NA	NA	NA
competitive_mapping	ok	2.071421334054321	2.04946304182522	2.028728	0.0027749999999999997	5.765625	241380.15370410777	max_direct_child_wait4_RSS_sequential_stages_controller_excluded	not_measured	143640	143689	143640	1.0	0.9996589857261168	0	0	0.00034386581297336447	49.0	0.0	0		NA	N/A_shared_TandemX_catalogue	3	3	3	3	150000	0.0	clean	2026091001	d659758d2e2cafca48703a7ad4289613256564bf78a6189d58e232dd55359ef9	1306792	0	2.5526615839917213	30.265625	2.4596560000000003
tandemx	ok	0.572690875036642	0.5649848319590092	0.441801	0.034821000000000005	29.3125	873071.358030646	max_direct_child_wait4_RSS_sequential_stages_controller_excluded	not_measured	143640	143706	143640	1.0	0.9995407289883512	0	0	0.00825717492384159	0	0.0	0		1.0	assessed	3	3	3	3	150000	0.0	clean	2026091002	058cfda75ff62bdcbfc0798eca1747364c28590500fa71357dde4ff4bfa1edbc	62192	NA	NA	NA	NA
srf_k151	ok	2.017787165939808	2.008470042143017	1.528352	0.07858499999999997	48.40625	247796.2039009794	max_direct_child_wait4_RSS_sequential_stages_controller_excluded	not_measured	143640	136961	136935	0.9533208020050126	0.999810164937464	0	0	0.04651866916324356	0	0.0	0		1.0	assessed	3	3	3	3	150000	0.0	clean	2026091002	058cfda75ff62bdcbfc0798eca1747364c28590500fa71357dde4ff4bfa1edbc	1557070	NA	NA	NA	NA
srf_k101	ok	1.87280691601336	1.8638326653745025	1.432093	0.07114899999999999	42.9375	266978.9371903586	max_direct_child_wait4_RSS_sequential_stages_controller_excluded	not_measured	143640	136449	136425	0.9497702589807853	0.999824110107073	0	0	0.050051514557687395	0	0.0	0		1.0	assessed	3	3	3	3	150000	0.0	clean	2026091002	058cfda75ff62bdcbfc0798eca1747364c28590500fa71357dde4ff4bfa1edbc	5457881	NA	NA	NA	NA
competitive_mapping	ok	2.035276124952361	2.012686749920249	1.977731	0.0035229999999999997	5.625	245666.91166374457	max_direct_child_wait4_RSS_sequential_stages_controller_excluded	not_measured	143640	143698	143640	1.0	0.9995963757324389	0	0	0.0003989975562425205	58.0	0.0	0		NA	N/A_shared_TandemX_catalogue	3	3	3	3	150000	0.0	clean	2026091002	058cfda75ff62bdcbfc0798eca1747364c28590500fa71357dde4ff4bfa1edbc	1308444	0	2.4780746658798307	29.3125	2.364042
tandemx	ok	0.533216374926269	0.527387416921556	0.430713	0.03376899999999999	29.3125	937705.6360452882	max_direct_child_wait4_RSS_sequential_stages_controller_excluded	not_measured	143640	143697	143640	1.0	0.9996033320111067	0	0	0.008551119662230773	0	0.0	0		1.0	assessed	3	3	3	3	150000	0.0	clean	2026091003	30ce60e5ddd5315bb0b09c93f19bad60b8510ab61e3a755d4ade65d57983dba7	62205	NA	NA	NA	NA
srf_k151	ok	1.9829134580213577	1.9751265421509743	1.5034750000000001	0.07187199999999999	46.0625	252154.22184835188	max_direct_child_wait4_RSS_sequential_stages_controller_excluded	not_measured	143640	137575	137570	0.9577415761626288	0.999963656187534	0	0	0.042029604813880315	0	0.0	0		1.0	assessed	3	3	3	3	150000	0.0	clean	2026091003	30ce60e5ddd5315bb0b09c93f19bad60b8510ab61e3a755d4ade65d57983dba7	1557560	NA	NA	NA	NA
