panel	sample_id	category	metric	value	count
A	morex_10mb	tidehunter	wall_seconds	25.03	NA
A	morex_100mb	tidehunter	wall_seconds	331.52	NA
A	morex_10mb	clustering	wall_seconds	45.92	NA
A	morex_100mb	clustering	wall_seconds	60.99	NA
B	morex_10mb	tidehunter	maximum_rss_gib	0.5355415344238281	NA
B	morex_100mb	tidehunter	maximum_rss_gib	4.913753509521484	NA
B	morex_10mb	clustering	maximum_rss_gib	7.447292327880859	NA
B	morex_100mb	clustering	maximum_rss_gib	7.410942077636719	NA
C	morex_10mb	all	predicted_array_count	87	NA
C	morex_100mb	all	predicted_array_count	1372	NA
C	morex_10mb	all	predicted_family_count	28	NA
C	morex_100mb	all	predicted_family_count	130	NA
D	morex_10mb	all	union_base_fraction	0.0239939	NA
D	morex_100mb	all	union_base_fraction	0.02356743	NA
E	morex_10mb	exact	interval_fraction	1.0	87
E	morex_100mb	exact	interval_fraction	0.8746355685131195	1200
E	morex_10mb	clipped	interval_fraction	0.0	0
E	morex_100mb	clipped	interval_fraction	0.02988338192419825	41
E	morex_10mb	merged	interval_fraction	0.0	0
E	morex_100mb	merged	interval_fraction	0.09548104956268222	131
F	morex_10mb	1	period_bp	40	NA
F	morex_10mb	2	period_bp	259	NA
F	morex_10mb	3	period_bp	62	NA
F	morex_10mb	4	period_bp	73	NA
F	morex_10mb	5	period_bp	70	NA
F	morex_10mb	6	period_bp	73	NA
F	morex_10mb	7	period_bp	397	NA
F	morex_10mb	8	period_bp	42	NA
F	morex_10mb	9	period_bp	70	NA
F	morex_10mb	10	period_bp	71	NA
F	morex_10mb	11	period_bp	377	NA
F	morex_10mb	12	period_bp	336	NA
F	morex_10mb	13	period_bp	402	NA
F	morex_10mb	14	period_bp	336	NA
F	morex_10mb	15	period_bp	259	NA
F	morex_10mb	16	period_bp	42	NA
F	morex_10mb	17	period_bp	76	NA
F	morex_10mb	18	period_bp	48	NA
F	morex_10mb	19	period_bp	46	NA
F	morex_10mb	20	period_bp	70	NA
F	morex_10mb	21	period_bp	53	NA
F	morex_10mb	22	period_bp	412	NA
F	morex_10mb	23	period_bp	70	NA
F	morex_10mb	24	period_bp	64	NA
F	morex_10mb	25	period_bp	72	NA
F	morex_10mb	26	period_bp	336	NA
F	morex_10mb	27	period_bp	69	NA
F	morex_10mb	28	period_bp	46	NA
F	morex_10mb	29	period_bp	336	NA
F	morex_10mb	30	period_bp	70	NA
F	morex_10mb	31	period_bp	70	NA
F	morex_10mb	32	period_bp	72	NA
F	morex_10mb	33	period_bp	70	NA
F	morex_10mb	34	period_bp	70	NA
F	morex_10mb	35	period_bp	70	NA
F	morex_10mb	36	period_bp	70	NA
F	morex_10mb	37	period_bp	71	NA
F	morex_10mb	38	period_bp	60	NA
F	morex_10mb	39	period_bp	53	NA
F	morex_10mb	40	period_bp	70	NA
F	morex_10mb	41	period_bp	71	NA
F	morex_10mb	42	period_bp	70	NA
F	morex_10mb	43	period_bp	397	NA
F	morex_10mb	44	period_bp	70	NA
F	morex_10mb	45	period_bp	336	NA
F	morex_10mb	46	period_bp	336	NA
F	morex_10mb	47	period_bp	49	NA
F	morex_10mb	48	period_bp	336	NA
F	morex_10mb	49	period_bp	40	NA
F	morex_10mb	50	period_bp	336	NA
F	morex_10mb	51	period_bp	336	NA
F	morex_10mb	52	period_bp	49	NA
F	morex_10mb	53	period_bp	54	NA
F	morex_10mb	54	period_bp	40	NA
F	morex_10mb	55	period_bp	70	NA
F	morex_10mb	56	period_bp	70	NA
F	morex_10mb	57	period_bp	65	NA
F	morex_10mb	58	period_bp	70	NA
F	morex_10mb	59	period_bp	56	NA
F	morex_10mb	60	period_bp	336	NA
F	morex_10mb	61	period_bp	336	NA
F	morex_10mb	62	period_bp	700	NA
F	morex_10mb	63	period_bp	58	NA
F	morex_10mb	64	period_bp	55	NA
F	morex_10mb	65	period_bp	58	NA
F	morex_10mb	66	period_bp	50	NA
F	morex_10mb	67	period_bp	49	NA
F	morex_10mb	68	period_bp	53	NA
F	morex_10mb	69	period_bp	70	NA
F	morex_10mb	70	period_bp	71	NA
F	morex_10mb	71	period_bp	70	NA
F	morex_10mb	72	period_bp	70	NA
F	morex_10mb	73	period_bp	48	NA
F	morex_10mb	74	period_bp	700	NA
F	morex_10mb	75	period_bp	47	NA
F	morex_10mb	76	period_bp	44	NA
F	morex_10mb	77	period_bp	70	NA
F	morex_10mb	78	period_bp	42	NA
F	morex_10mb	79	period_bp	70	NA
F	morex_10mb	80	period_bp	412	NA
F	morex_10mb	81	period_bp	70	NA
F	morex_10mb	82	period_bp	336	NA
