tandemx_length_bp	recurrent_exact_unmatched_query_count	direct_length_eligible_pair_count	integer_multiple_length_eligible_pair_count	length_eligible_pair_union_count
15	3	60	2065413	2065473
18	1	44	616784	616828
19	1	57	567131	567188
20	1	73	598885	598958
21	1	81	575468	575549
24	1	125	536538	536663
25	2	262	1032764	1033026
27	2	5218	932274	937492
28	2	11230	856716	867946
29	1	9155	435974	445129
30	65	839150	31839665	32678815
31	51	905403	24924312	25829715
32	35	791595	15821190	16612785
33	70	1942150	28415590	30357740
34	62	1859752	24019792	25879544
35	58	1823752	23351380	25175132
36	84	3359412	32817792	36177204
37	92	4203940	34560720	38764660
38	93	4704870	33748863	38453733
39	119	6473600	39517282	45990882
40	123	7795371	42883581	50678952
41	143	9415978	47988083	57404061
42	171	11651085	54567468	66218553
43	140	9994180	42508200	52502380
44	124	9920248	43403224	53323472
45	101	9483698	35609267	45092965
46	131	12699271	46762022	59461293
47	147	14478324	52039323	66517647
48	179	17593910	57861929	75455839
49	190	18539440	53580950	72120390
50	175	18556125	51191350	69747475
51	247	26790855	68119636	94910491
52	160	17611520	44093120	61704640
53	113	12631931	31127319	43759250
54	138	16738848	35645262	52384110
55	135	16825185	33477435	50302620
56	124	15312636	30119724	45432360
57	110	13036650	27158560	40195210
58	100	11386200	24997400	36383600
59	106	11897334	27714018	39611352
60	112	13338976	30581600	43920576
61	99	11617848	27344988	38962836
62	94	10819212	25560950	36380162
63	88	10551728	24031568	34583296
64	98	11804198	24963932	36768130
65	95	11964870	22924070	34888940
66	100	12279000	24154200	36433200
67	87	10010742	21094890	31105632
68	84	8901396	18936036	27837432
69	109	10898365	24667572	35565937
70	75	7852875	16591350	24444225
71	68	6896016	15078932	21974948
72	120	12308760	24872040	37180800
73	63	6314427	12401550	18715977
74	51	4987443	9722334	14709777
75	48	4573968	9362688	13936656
76	51	4722600	9848355	14570955
77	58	5136480	11134840	16271320
78	60	5020740	11653980	16674720
79	44	3407140	8792168	12199308
80	61	4919772	13136594	18056366
81	60	4485000	12748860	17233860
82	65	5358925	13871260	19230185
83	57	5591586	11944692	17536278
84	74	7450394	15918880	23369274
85	42	4207644	8559138	12766782
86	34	3370896	7032764	10403660
87	61	6239995	12483589	18723584
88	56	5706624	13061160	18767784
89	47	4706016	10480295	15186311
90	51	5432724	11857041	17289765
91	46	5017036	10270144	15287180
92	48	5380032	11632608	17012640
