"seqID","arrayID","start","end","strand","score","eval","width","class","score_template"
"CP068268_39050443_39150442",1,18012,18181,"+",15.6976744186047,-1,170,"171_1",-1
"CP068268_39050443_39150442",1,18182,18351,"+",15.1162790697674,8.6e-24,170,"171_1",-1
"CP068268_39050443_39150442",1,18352,18521,"+",14.5348837209302,1.4e-24,170,"171_1",-1
"CP068268_39050443_39150442",1,18522,18692,"+",11.6279069767442,-1,171,"171_1",-1
"CP068268_39050443_39150442",1,18693,18861,"+",14.5348837209302,-1,169,"171_1",-1
"CP068268_39050443_39150442",1,18862,19030,"+",13.953488372093,-1,169,"171_1",-1
"CP068268_39050443_39150442",1,19031,19176,"+",25.5813953488372,-1,146,"171_1",-1
"CP068268_39050443_39150442",1,19177,19349,"+",15.1162790697674,1.3e-23,173,"171_1",-1
"CP068268_39050443_39150442",1,19350,19523,"+",16.8604651162791,7.5e-24,174,"171_1",-1
"CP068268_39050443_39150442",1,19524,19694,"+",11.6279069767442,-1,171,"171_1",-1
"CP068268_39050443_39150442",1,19695,19864,"+",14.5348837209302,-1,170,"171_1",-1
"CP068268_39050443_39150442",1,19865,20043,"+",21.5116279069767,-1,179,"171_1",-1
"CP068268_39050443_39150442",1,20044,20218,"+",22.093023255814,-1,175,"171_1",-1
"CP068268_39050443_39150442",1,20219,20390,"+",11.046511627907,1.1e-27,172,"171_1",-1
"CP068268_39050443_39150442",1,20391,20561,"+",12.2093023255814,-1,171,"171_1",-1
"CP068268_39050443_39150442",1,20562,20728,"+",16.2790697674419,-1,167,"171_1",-1
"CP068268_39050443_39150442",1,20729,20898,"+",17.4418604651163,-1,170,"171_1",-1
"CP068268_39050443_39150442",1,20899,21070,"+",16.8604651162791,-1,172,"171_1",-1
"CP068268_39050443_39150442",1,21071,21246,"+",19.1860465116279,2.5e-22,176,"171_1",-1
"CP068268_39050443_39150442",1,21247,21418,"+",18.0232558139535,5.1e-21,172,"171_1",-1
"CP068268_39050443_39150442",1,21419,21590,"+",12.7906976744186,2.2e-26,172,"171_1",-1
"CP068268_39050443_39150442",1,21591,21762,"+",13.953488372093,8.3e-25,172,"171_1",-1
"CP068268_39050443_39150442",1,21763,21795,"+",80.8139534883721,-1,33,"171_1",-1
"CP068268_39050443_39150442",2,24483,24496,"+",91.8604651162791,-1,14,"171_1",-1
"CP068268_39050443_39150442",2,24497,24668,"+",13.953488372093,8.3e-24,172,"171_1",-1
