truth_id	recovered	assigned_sequence_index	threshold	criterion
f001	1	45	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f002	1	26	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f003	1	36	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f004	1	135	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f005	1	194	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f006	1	167	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f007	1	127	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f008	1	98	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f009	1	101	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f010	1	186	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f011	1	197	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f012	1	191	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f013	1	40	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f014	1	67	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f015	1	158	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f016	1	180	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f017	1	201	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f018	1	183	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f019	1	73	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f020	1	2	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f021	1	123	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f022	1	90	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f023	1	95	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f024	1	188	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f025	1	32	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f026	1	129	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f027	1	163	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f028	1	111	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f029	1	155	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f030	1	146	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f031	1	52	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f032	1	18	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f033	1	57	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f034	1	62	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f035	1	149	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f036	1	169	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f037	1	21	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f038	1	10	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f039	1	81	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f040	1	71	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f041	1	93	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f042	1	176	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f043	1	23	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f044	1	16	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f045	1	65	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f046	1	85	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f047	1	107	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f048	1	47	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f049	1	8	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f050	1	116	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f051	1	99	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f052	1	78	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f053	1	139	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f054	1	102	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
megabase_171	1	141	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
