family_id	old_assembly_bp	new_assembly_bp	old_new_ratio	reference_state	selected_annotation_overlap_bp	selected_annotation_fraction_of_array	best_annotation_class	has_selected_annotation_overlap
TXF000002	3317	49758	0.06666264721250854	reference_collapse	48509	1.0	45S_rDNA	True
TXF000020	46823	714580	0.06552520361611017	reference_collapse	714515	0.9999090374765597	5S_rDNA	True
TXF000078	6715	25707	0.2612128992103318	reference_collapse	23534	0.9154704944178629	centromere	True
TXF000088	35252	35252	1.0	reference_retained	35080	0.9951208442074209	centromere	True
TXF000113	57131	57131	1.0	reference_retained	0	0.0	NA	False
TXF000137	40584	40584	1.0	reference_retained	0	0.0	NA	False
TXF000153	59043	59042	1.000016937095627	reference_retained	0	0.0	NA	False
TXF000154	0	18297	0.0	reference_collapse	18262	0.9980871181067935	centromere	True
TXF000319	0	144148	0.0	reference_collapse	144067	0.999438077531426	centromere	True
TXF000556	43873	55082	0.7965033949384553	reference_retained	54975	0.9980574416324752	5S_rDNA	True
TXF000827	15213	15213	1.0	reference_retained	0	0.0	NA	False
TXF001083	21970	21970	1.0	reference_retained	21957	0.9994082840236687	5S_rDNA	True
TXF001094	4288	21569	0.19880383884278363	reference_collapse	19357	0.8974454077611387	centromere	True
TXF001097	48829	48829	1.0	reference_retained	0	0.0	NA	False
TXF001517	0	27167	0.0	reference_collapse	27135	0.9988221003423271	centromere	True
TXF001519	83381	88343	0.9438325617196609	reference_retained	0	0.0	NA	False
TXF001543	17279	17279	1.0	reference_retained	0	0.0	NA	False
TXF001550	0	17199	0.0	reference_collapse	17199	1.0	centromere	True
TXF001620	23424	23930	0.9788549937317175	reference_retained	0	0.0	NA	False
