family_id	old_assembly_bp	new_assembly_bp	old_new_ratio	reference_state_binary	any_alignment_bp	any_alignment_fraction	primary_alignment_bp	primary_alignment_fraction	same_chromosome_primary_alignment_bp	same_chromosome_primary_alignment_fraction	same_chromosome_primary_mapq20_alignment_bp	same_chromosome_primary_mapq20_alignment_fraction
TXF000002	3317	49758	0.06666264721250854	reference_collapse	48818	0.9811085654568109	48460	0.9739137425137666	33930	0.6819003979259617	33930	0.6819003979259617
TXF000020	46823	714580	0.06552520361611017	reference_collapse	708417	0.991375353354418	703494	0.9844859917713902	699946	0.9795208374149851	484851	0.678511853116516
TXF000078	6715	25707	0.2612128992103318	reference_collapse	25080	0.975609756097561	25079	0.9755708561870308	25079	0.9755708561870308	15926	0.6195199751040572
TXF000088	35252	35252	1.0	other_reference_state	35252	1.0	35252	1.0	35252	1.0	35252	1.0
TXF000113	57131	57131	1.0	other_reference_state	57131	1.0	57131	1.0	57131	1.0	57131	1.0
TXF000137	40584	40584	1.0	other_reference_state	40584	1.0	40584	1.0	40584	1.0	40584	1.0
TXF000153	59043	59042	1.000016937095627	other_reference_state	59042	1.0	59042	1.0	59042	1.0	59042	1.0
TXF000154	0	18297	0.0	reference_collapse	0	0.0	0	0.0	0	0.0	0	0.0
TXF000319	0	144148	0.0	reference_collapse	107241	0.74396453644865	106136	0.7362988040069928	105703	0.7332949468601715	84687	0.5875003468657214
TXF000556	43873	55082	0.7965033949384553	other_reference_state	46181	0.8384045604734759	46181	0.8384045604734759	46181	0.8384045604734759	46181	0.8384045604734759
TXF000827	15213	15213	1.0	other_reference_state	15213	1.0	15213	1.0	15213	1.0	15213	1.0
TXF001083	21970	21970	1.0	other_reference_state	21970	1.0	21970	1.0	21970	1.0	21970	1.0
TXF001094	4288	21569	0.19880383884278363	reference_collapse	20386	0.9451527655431406	20386	0.9451527655431406	20386	0.9451527655431406	12093	0.5606657703185127
TXF001097	48829	48829	1.0	other_reference_state	48829	1.0	48829	1.0	48829	1.0	48829	1.0
TXF001517	0	27167	0.0	reference_collapse	0	0.0	0	0.0	0	0.0	0	0.0
TXF001519	83381	88343	0.9438325617196609	other_reference_state	87523	0.9907179968984526	87523	0.9907179968984526	86690	0.9812888400891978	86264	0.9764667262827842
TXF001543	17279	17279	1.0	other_reference_state	17279	1.0	17279	1.0	17279	1.0	17279	1.0
TXF001550	0	17199	0.0	reference_collapse	5633	0.3275190418047561	5632	0.32746089888947033	5632	0.32746089888947033	3833	0.2228617942903657
TXF001620	23424	23930	0.9788549937317175	other_reference_state	23930	1.0	23930	1.0	23424	0.9788549937317175	23424	0.9788549937317175
