read_id	length_bp	gc_bin_5pct	max_purine_pyrimidine_bin_5pct	any_alignment_span_bp	primary_span_bp	primary_mapq20_span_bp	primary_organelle_span_bp	primary_other_reference_span_bp	primary_rows	secondary_rows	organelle_primary_rows	primary_compartment_overlap_bp
SRR25241090.1000919	13972	10	10	13972	13972	13972	0	13972	1	0	0	0
SRR25241090.1001366	20922	9	10	20922	20922	20922	0	20922	1	0	0	0
SRR25241090.1001995	14812	9	10	14812	14812	14812	0	14812	1	0	0	0
SRR25241090.10031	27573	7	10	27573	27573	27573	0	27573	1	0	0	0
SRR25241090.1003266	28460	8	10	28460	28460	28460	0	28460	1	0	0	0
SRR25241090.100641	22234	7	10	22234	22234	22234	0	22234	1	0	0	0
SRR25241090.1007658	33400	8	10	33400	33400	33400	0	33400	1	0	0	0
SRR25241090.1009448	14984	8	10	14984	14984	0	0	14984	1	4	0	0
SRR25241090.1012334	14231	8	10	14231	14231	14231	0	14231	1	0	0	0
SRR25241090.1016704	13479	8	10	13479	13479	13479	0	13479	1	0	0	0
SRR25241090.1017682	23645	7	10	23645	23645	23645	0	23645	1	0	0	0
SRR25241090.1024313	20314	8	10	20314	20314	20314	0	20314	1	0	0	0
SRR25241090.1027767	20141	9	10	20141	20141	20141	0	20141	1	0	0	0
SRR25241090.1029264	16892	8	10	16892	16892	16892	0	16892	1	0	0	0
SRR25241090.1029535	18376	8	10	18376	18376	18376	0	18376	1	0	0	0
SRR25241090.103235	13387	8	10	13387	13387	13387	0	13387	1	0	0	0
SRR25241090.1033551	20756	8	10	20756	20756	20756	0	20756	1	0	0	0
SRR25241090.1033988	14113	8	10	14113	14113	14113	0	14113	1	0	0	0
SRR25241090.1034292	12213	8	10	12213	12213	12213	0	12213	1	0	0	0
SRR25241090.1035519	19866	9	10	19866	19866	19866	0	19866	1	0	0	0
SRR25241090.1035560	11931	8	10	11925	11925	11925	0	11925	1	0	0	0
SRR25241090.1036627	18308	8	10	18308	18308	18308	0	18308	1	0	0	0
SRR25241090.1036677	14584	7	10	14579	14579	14579	0	14579	1	0	0	0
SRR25241090.1044222	18795	8	10	18795	18795	18795	0	18795	1	0	0	0
SRR25241090.1052718	21037	8	10	21037	21037	21037	0	21037	1	0	0	0
SRR25241090.1054990	22319	9	10	22319	22319	22319	0	22319	1	0	0	0
SRR25241090.1055025	13135	9	10	13133	13133	13133	0	13133	1	0	0	0
SRR25241090.1058246	17568	8	10	17568	17568	17568	0	17568	1	0	0	0
SRR25241090.1061868	27847	9	10	27847	27847	27847	0	27847	1	0	0	0
SRR25241090.1062641	4739	9	10	4739	4739	4739	0	4739	1	0	0	0
SRR25241090.106305	15525	9	10	15525	15525	15525	0	15525	1	0	0	0
SRR25241090.1069606	16392	8	10	16392	16392	16392	0	16392	1	0	0	0
SRR25241090.1070504	11875	8	10	11875	11875	11875	0	11875	1	0	0	0
SRR25241090.107125	18972	9	10	18972	18972	18972	0	18972	1	0	0	0
SRR25241090.1071367	16432	8	10	16432	16432	16432	0	16432	1	0	0	0
SRR25241090.1077660	22460	8	10	22460	22460	22460	0	22460	1	0	0	0
SRR25241090.1078457	29649	7	10	29649	29649	29649	0	29649	1	0	0	0
SRR25241090.1081773	32874	8	10	32867	32867	32867	0	32867	1	0	0	0
SRR25241090.1083999	27889	9	10	27889	27889	27889	0	27889	1	0	0	0
SRR25241090.1086657	14370	8	10	14370	14370	14370	0	14370	1	0	0	0
SRR25241090.1091661	15445	8	10	15445	15445	15445	0	15445	1	0	0	0
SRR25241090.109199	17583	8	10	17583	17583	17583	0	17583	1	0	0	0
SRR25241090.1096714	12832	8	10	12832	12832	12832	0	12832	1	0	0	0
SRR25241090.1097024	20324	8	10	19654	19654	3845	0	19654	2	2	0	0
SRR25241090.1102542	16002	10	10	16002	16002	16002	0	16002	1	0	0	0
SRR25241090.1102890	12856	7	10	12856	12856	12856	0	12856	1	0	0	0
SRR25241090.1104894	13756	8	10	13747	13747	13747	0	13747	1	0	0	0
SRR25241090.11049	5293	9	10	5289	5289	5289	0	5289	1	0	0	0
SRR25241090.1105675	15383	9	10	15383	15383	15383	0	15383	1	0	0	0
SRR25241090.1111721	18813	8	10	18813	18813	18813	0	18813	1	0	0	0
SRR25241090.1112015	11817	7	10	11817	11817	11817	0	11817	1	0	0	0
SRR25241090.111251	17279	8	10	17279	17279	17279	0	17279	1	0	0	0
SRR25241090.1116524	13089	8	10	13076	13076	13076	0	13076	1	0	0	0
SRR25241090.111746	27838	8	10	27838	27838	27838	0	27838	1	0	0	0
SRR25241090.1125132	30490	8	10	30490	30490	30490	0	30490	1	0	0	0
SRR25241090.113429	12459	9	10	12459	12459	12459	0	12459	1	0	0	0
SRR25241090.1135145	13117	7	10	13117	13117	13117	0	13117	1	0	0	0
SRR25241090.1137249	18934	8	10	18934	18934	18934	0	18934	1	0	0	0
SRR25241090.1139912	17332	7	10	17332	17332	17332	0	17332	1	0	0	0
SRR25241090.1140373	21440	8	10	21420	21420	21420	0	21420	1	0	0	0
SRR25241090.1141608	11821	8	10	11821	11821	11821	0	11821	1	0	0	0
SRR25241090.114314	12457	8	10	12457	12457	12457	0	12457	1	0	0	0
SRR25241090.1144679	15973	8	10	15973	15973	15973	0	15973	1	0	0	0
