family_id	tandemx_array_bp	selected_annotation_overlap_bp	selected_annotation_fraction_of_array	best_annotation_class	best_annotation_overlap_bp	overlap_class_count	warning
TXF000002	48509	48509	1.0	45S_rDNA	48509	1	
TXF000016	9940	9940	1.0	45S_rDNA	9940	1	
TXF000020	714580	714515	0.9999090374765597	5S_rDNA	714515	1	
TXF000024	1128	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000029	7920	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000032	147	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000033	7192	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000037	4380	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000038	397	397	1.0	centromere	397	1	
TXF000040	2590	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000043	70	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000044	711	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000045	2037	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000046	4561	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000048	523	523	1.0	5S_rDNA	523	1	
TXF000050	617	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000051	913	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000052	2032	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000053	1146	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000054	1455	20	0.013745704467353952	45S_rDNA	20	1	
TXF000055	70	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000056	2773	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000057	6611	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000060	1050	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000061	6425	6413	0.9981322957198444	centromere	6413	1	
TXF000062	3798	3794	0.9989468141126909	45S_rDNA	3794	1	
TXF000063	999	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000064	4076	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000066	3053	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000068	489	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000070	364	344	0.945054945054945	centromere	297	2	
TXF000071	7930	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000072	634	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000075	10139	10139	1.0	centromere	10139	1	
TXF000077	213	213	1.0	centromere	213	1	
TXF000078	25707	23534	0.9154704944178629	centromere	13131	2	
TXF000080	615	614	0.9983739837398374	centromere	614	1	
TXF000082	797	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000086	536	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000087	122	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000088	35252	35080	0.9951208442074209	centromere	35080	1	
TXF000089	1461	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000090	3589	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000092	709	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000093	459	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000094	1328	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000095	656	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000097	416	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000099	1046	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000100	187	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000101	1160	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000103	525	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000104	1916	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000105	267	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000106	711	640	0.90014064697609	centromere	426	2	
TXF000107	2121	1775	0.8368694012258369	telomere	1286	2	
TXF000110	597	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000113	57131	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000114	1944	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000117	115	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000119	353	311	0.8810198300283286	telomere	163	2	
TXF000120	1119	1083	0.967828418230563	centromere	930	2	
TXF000121	380	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000122	1295	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000123	5551	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000125	485	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000126	358	0	0.0	NA	0	0	no_selected_author_annotation_overlap
TXF000128	318	0	0.0	NA	0	0	no_selected_author_annotation_overlap
