region_id	region_type	published_label	chromosome_label	reference_contig	reference_length_bp	start_raw	end_raw	published_size_bp	coordinate_note	annotated_component	component_percent	source_sheet	source_row	coordinate_cells	component_cell	source_url	source_sha256	warning
Mo17_S6_R4	satellite_region	TR-1	chr1	CM039150.1	307335809	272427221	272555327	128106	end_minus_start_consistent_origin_inferred_0_based_not_explicit	TR-1	18.84	6	4	C4:E4	F4	https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41588-023-01419-6/MediaObjects/41588_2023_1419_MOESM4_ESM.xlsx	863da22bbc8fa3170035f966f6ced723e418e81541fda96de0e5cc9355569e1d	published_region_not_base_level_repeat_truth;not_independent_of_assembly;component_percent_rounded
Mo17_S6_R5	satellite_region	TR-1	chr2	CM039151.1	247431027	247292597	247364708	72111	end_minus_start_consistent_origin_inferred_0_based_not_explicit	TR-1	33.13	6	5	C5:E5	F5	https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41588-023-01419-6/MediaObjects/41588_2023_1419_MOESM4_ESM.xlsx	863da22bbc8fa3170035f966f6ced723e418e81541fda96de0e5cc9355569e1d	published_region_not_base_level_repeat_truth;not_independent_of_assembly;component_percent_rounded
Mo17_S6_R6	satellite_region	TR-1	chr4	CM039153.1	251128394	186907011	186932984	25973	end_minus_start_consistent_origin_inferred_0_based_not_explicit	TR-1	63.17	6	6	C6:E6	F6	https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41588-023-01419-6/MediaObjects/41588_2023_1419_MOESM4_ESM.xlsx	863da22bbc8fa3170035f966f6ced723e418e81541fda96de0e5cc9355569e1d	published_region_not_base_level_repeat_truth;not_independent_of_assembly;component_percent_rounded
Mo17_S6_R7	satellite_region	TR-1	chr6	CM039155.1	201729004	158345	4637510	4479165	end_minus_start_consistent_origin_inferred_0_based_not_explicit	TR-1	52.17	6	7	C7:E7	F7	https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41588-023-01419-6/MediaObjects/41588_2023_1419_MOESM4_ESM.xlsx	863da22bbc8fa3170035f966f6ced723e418e81541fda96de0e5cc9355569e1d	published_region_not_base_level_repeat_truth;not_independent_of_assembly;component_percent_rounded
Mo17_S6_R8	satellite_region	TR-1	chr6	CM039155.1	201729004	5193430	5239004	45574	end_minus_start_consistent_origin_inferred_0_based_not_explicit	TR-1	42.02	6	8	C8:E8	F8	https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41588-023-01419-6/MediaObjects/41588_2023_1419_MOESM4_ESM.xlsx	863da22bbc8fa3170035f966f6ced723e418e81541fda96de0e5cc9355569e1d	published_region_not_base_level_repeat_truth;not_independent_of_assembly;component_percent_rounded
Mo17_S6_R9	satellite_region	TR-1	chr6	CM039155.1	201729004	5688931	5706533	17602	end_minus_start_consistent_origin_inferred_0_based_not_explicit	TR-1	80.54	6	9	C9:E9	F9	https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41588-023-01419-6/MediaObjects/41588_2023_1419_MOESM4_ESM.xlsx	863da22bbc8fa3170035f966f6ced723e418e81541fda96de0e5cc9355569e1d	published_region_not_base_level_repeat_truth;not_independent_of_assembly;component_percent_rounded
Mo17_S6_R10	satellite_region	TR-1	chr6	CM039155.1	201729004	139363023	139427082	64059	end_minus_start_consistent_origin_inferred_0_based_not_explicit	TR-1	29.58	6	10	C10:E10	F10	https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41588-023-01419-6/MediaObjects/41588_2023_1419_MOESM4_ESM.xlsx	863da22bbc8fa3170035f966f6ced723e418e81541fda96de0e5cc9355569e1d	published_region_not_base_level_repeat_truth;not_independent_of_assembly;component_percent_rounded
Mo17_S6_R11	satellite_region	TR-1	chr6	CM039155.1	201729004	201036237	201442737	406500	end_minus_start_consistent_origin_inferred_0_based_not_explicit	TR-1	19.12	6	11	C11:E11	F11	https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41588-023-01419-6/MediaObjects/41588_2023_1419_MOESM4_ESM.xlsx	863da22bbc8fa3170035f966f6ced723e418e81541fda96de0e5cc9355569e1d	published_region_not_base_level_repeat_truth;not_independent_of_assembly;component_percent_rounded
Mo17_S6_R12	satellite_region	TR-1	chr6	CM039155.1	201729004	201528546	201662554	134008	end_minus_start_consistent_origin_inferred_0_based_not_explicit	TR-1	16.24	6	12	C12:E12	F12	https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41588-023-01419-6/MediaObjects/41588_2023_1419_MOESM4_ESM.xlsx	863da22bbc8fa3170035f966f6ced723e418e81541fda96de0e5cc9355569e1d	published_region_not_base_level_repeat_truth;not_independent_of_assembly;component_percent_rounded
Mo17_S6_R13	satellite_region	TR-1	chr7	CM039156.1	181266306	167740303	167835340	95037	end_minus_start_consistent_origin_inferred_0_based_not_explicit	TR-1	11.6	6	13	C13:E13	F13	https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41588-023-01419-6/MediaObjects/41588_2023_1419_MOESM4_ESM.xlsx	863da22bbc8fa3170035f966f6ced723e418e81541fda96de0e5cc9355569e1d	published_region_not_base_level_repeat_truth;not_independent_of_assembly;component_percent_rounded
