prediction_index	read_id	start	end	period	matched_truth_index	truth_family_id	iou	status
0	r000000001	0	16128	421	0	f049	1.0	matched
1	r000000006	11841	15475	61	1	f012	1.0	matched
2	r000000010	0	2794	61	2	f013	1.0	matched
3	r000000015	8924	12497	61	3	f008	0.9997202014549524	matched
4	r000000017	6669	10577	421	4	f051	1.0	matched
5	r000000019	1868	10290	421	5	f037	0.9997625267157445	matched
6	r000000020	0	14981	171	6	megabase_171	1.0	matched
7	r000000025	0	12631	171	7	megabase_171	1.0	matched
8	r000000026	0	11438	171	8	f031	1.0	matched
9	r000000028	0	12993	421	9	f054	1.0	matched
10	r000000039	11029	13817	421	10	f054	0.9996414485478666	matched
11	r000000045	14634	17880	171	11	f021	1.0	matched
12	r000000047	12198	13420	61	12	f003	0.9983633387888707	matched
13	r000000048	0	13707	171	13	megabase_171	1.0	matched
14	r000000052	0	14658	421	14	f049	1.0	matched
15	r000000058	0	6672	421	15	f047	1.0	matched
16	r000000061	0	11784	421	16	f054	1.0	matched
17	r000000064	10980	12295	171	17	f025	1.0	matched
18	r000000065	0	7415	421	18	f037	1.0	matched
19	r000000067	0	15731	171	19	megabase_171	1.0	matched
20	r000000074	0	14732	421	20	f053	1.0	matched
21	r000000084	0	13457	171	21	megabase_171	1.0	matched
22	r000000087	1934	5361	171	22	f020	0.997957397140356	matched
23	r000000091	0	12768	171	23	f033	1.0	matched
24	r000000095	6215	9635	171	24	f023	1.0	matched
25	r000000096	3961	12679	421	25	f054	0.9993117687543015	matched
26	r000000104	0	11993	171	26	megabase_171	1.0	matched
27	r000000106	0	7496	171	27	f034	1.0	matched
28	r000000109	0	3987	421	28	f049	1.0	matched
29	r000000114	15	1235	61	29	f001	1.0	matched
30	r000000119	4279	10875	421	30	f038	1.0	matched
31	r000000131	0	14021	171	31	megabase_171	1.0	matched
32	r000000139	0	11943	421	32	f044	1.0	matched
33	r000000144	2	14145	171	33	megabase_171	0.999858607281725	matched
34	r000000146	0	12192	421	34	f049	1.0	matched
35	r000000149	0	13642	171	35	megabase_171	1.0	matched
36	r000000151	14793	18337	61	36	f009	0.9983069977426636	matched
37	r000000152	0	14405	421	37	f049	1.0	matched
38	r000000156	0	10301	421	38	f049	1.0	matched
39	r000000161	0	13731	171	39	megabase_171	1.0	matched
40	r000000167	0	12296	171	40	megabase_171	1.0	matched
41	r000000178	0	5266	421	41	f041	1.0	matched
42	r000000179	0	17934	421	42	f052	1.0	matched
43	r000000182	1	11027	171	43	megabase_171	0.9999093135032193	matched
44	r000000183	0	1762	421	44	f048	1.0	matched
45	r000000184	0	14930	171	45	megabase_171	1.0	matched
46	r000000188	4823	14791	171	46	f030	1.0	matched
47	r000000189	0	12842	171	47	megabase_171	1.0	matched
48	r000000193	1112	4539	171	48	f020	0.997957397140356	matched
49	r000000196	0	13618	421	49	f051	1.0	matched
50	r000000203	4914	6136	61	50	f003	0.9983633387888707	matched
51	r000000205	0	17230	171	51	megabase_171	1.0	matched
52	r000000206	0	13593	421	52	f054	1.0	matched
53	r000000212	0	16382	171	53	f035	1.0	matched
54	r000000213	0	15991	171	54	megabase_171	1.0	matched
55	r000000222	0	14553	421	55	f053	1.0	matched
56	r000000223	0	11725	421	56	f054	1.0	matched
57	r000000227	87	12898	421	57	f044	1.0	matched
58	r000000229	0	13858	171	58	f036	1.0	matched
59	r000000231	0	2962	61	59	f008	1.0	matched
60	r000000234	0	11680	421	60	f046	0.9997431506849315	matched
61	r000000236	0	11320	171	61	f025	1.0	matched
62	r000000237	0	5844	171	62	f028	1.0	matched
63	r000000240	0	11155	171	63	megabase_171	1.0	matched
64	r000000243	12124	15935	171	64	f031	1.0	matched
65	r000000248	0	11728	421	65	f052	1.0	matched
66	r000000249	0	10895	421	66	f050	1.0	matched
67	r000000250	9189	18048	421	67	f043	1.0	matched
68	r000000254	2864	14017	421	68	f046	0.99973101407693	matched
69	r000000270	0	14561	171	69	megabase_171	1.0	matched
70	r000000272	22193	22487	61	70	f012	0.9965986394557823	matched
71	r000000274	3266	6687	171	71	f022	0.9997076878105817	matched
72	r000000276	0	12948	421	72	f052	1.0	matched
73	r000000278	0	14311	171	73	megabase_171	1.0	matched
74	r000000284	0	3108	61	74	f011	1.0	matched
75	r000000285	0	2213	421	75	f049	1.0	matched
76	r000000287	0	10929	171	76	f034	1.0	matched
77	r000000291	13750	16561	421	77	f042	0.9950195659907506	matched
78	r000000293	6685	17596	421	78	f052	1.0	matched
79	r000000296	0	8626	171	79	megabase_171	1.0	matched
80	r000000298	0	12201	421	80	f054	1.0	matched
81	r000000303	0	16321	171	81	f036	1.0	matched
82	r000000305	2	15546	171	82	megabase_171	0.9998713495432909	matched
83	r000000308	12044	16260	421	83	f049	1.0	matched
84	r000000311	0	13289	171	84	f035	1.0	matched
85	r000000313	0	12751	171	85	megabase_171	1.0	matched
86	r000000317	0	5982	171	86	f035	1.0	matched
87	r000000323	0	10451	421	87	f052	1.0	matched
88	r000000326	0	2411	171	88	f022	1.0	matched
89	r000000340	0	3284	421	89	f038	1.0	matched
90	r000000350	0	12916	171	90	megabase_171	1.0	matched
91	r000000356	0	17396	171	91	megabase_171	1.0	matched
92	r000000362	0	11629	171	92	megabase_171	1.0	matched
93	r000000369	0	3329	171	93	f025	0.9978972664463803	matched
94	r000000371	0	2225	171	94	f030	1.0	matched
95	r000000378	34	16473	421	95	f050	1.0	matched
96	r000000380	0	5047	61	96	f018	1.0	matched
97	r000000382	0	15389	421	97	f045	1.0	matched
98	r000000383	0	17153	171	98	megabase_171	1.0	matched
99	r000000388	0	13562	421	99	f052	1.0	matched
100	r000000391	0	11345	171	100	megabase_171	1.0	matched
101	r000000392	0	13615	171	101	megabase_171	1.0	matched
102	r000000396	0	4984	421	102	f047	1.0	matched
103	r000000397	0	11386	421	103	f050	1.0	matched
104	r000000399	0	12056	171	104	megabase_171	1.0	matched
105	r000000404	0	12872	171	105	megabase_171	1.0	matched
106	r000000406	0	4487	171	106	f035	1.0	matched
107	r000000414	0	15724	171	107	megabase_171	1.0	matched
108	r000000430	0	12763	171	108	f034	1.0	matched
109	r000000432	0	5093	421	109	f047	1.0	matched
110	r000000436	0	12229	171	110	megabase_171	1.0	matched
111	r000000440	0	453	61	111	f003	0.9977924944812362	matched
112	r000000441	0	1479	171	112	f036	0.9979716024340771	matched
113	r000000442	0	1866	61	113	f010	1.0	matched
114	r000000448	0	7604	421	114	f049	1.0	matched
115	r000000450	0	5029	421	115	f042	0.9994034599323921	matched
116	r000000457	0	4631	61	116	f010	1.0	matched
117	r000000459	0	17203	171	117	megabase_171	1.0	matched
118	r000000461	11998	16365	421	118	f054	0.9997710622710623	matched
119	r000000462	0	11971	421	119	f054	1.0	matched
120	r000000463	6612	11492	61	120	f010	1.0	matched
121	r000000464	9868	11088	61	121	f001	1.0	matched
122	r000000465	6078	9498	171	122	f024	1.0	matched
123	r000000468	10893	15089	61	123	f007	1.0	matched
124	r000000473	4726	12641	171	124	f030	0.9997473471450228	matched
125	r000000475	0	16706	171	125	megabase_171	1.0	matched
126	r000000482	5068	8488	171	126	f023	1.0	matched
127	r000000484	0	12222	171	127	megabase_171	1.0	matched
128	r000000486	1518	13194	171	128	f029	1.0	matched
129	r000000487	0	3286	61	129	f015	0.9990870359099209	matched
130	r000000491	0	18097	171	130	megabase_171	1.0	matched
131	r000000495	0	1159	171	131	f033	1.0	matched
132	r000000497	0	11662	421	132	f049	1.0	matched
133	r000000501	0	13181	421	133	f044	1.0	matched
134	r000000503	0	16205	171	134	megabase_171	1.0	matched
135	r000000504	0	15475	171	135	megabase_171	1.0	matched
136	r000000510	8610	10825	61	136	f011	1.0	matched
137	r000000512	0	13541	171	137	megabase_171	0.9998523222328879	matched
138	r000000513	2	18822	421	138	f050	0.999893741366486	matched
139	r000000519	0	11076	421	139	f045	1.0	matched
140	r000000522	0	13792	171	140	megabase_171	1.0	matched
141	r000000524	0	8383	171	141	f033	0.9998807109626625	matched
142	r000000537	0	12290	171	142	megabase_171	1.0	matched
143	r000000538	0	10865	171	143	megabase_171	1.0	matched
144	r000000540	0	13465	171	144	megabase_171	1.0	matched
145	r000000541	0	10410	171	145	megabase_171	1.0	matched
146	r000000548	0	12064	171	146	megabase_171	1.0	matched
147	r000000549	0	12955	171	147	megabase_171	1.0	matched
148	r000000551	4688	12460	421	148	f053	1.0	matched
149	r000000553	0	12698	421	149	f047	1.0	matched
150	r000000558	0	9500	61	150	f018	0.9997894736842106	matched
151	r000000559	8193	12669	421	151	f042	0.9968722073279714	matched
152	r000000567	0	8669	171	152	f026	0.9997693460961827	matched
153	r000000568	0	12518	421	153	f050	1.0	matched
154	r000000576	0	12028	171	154	megabase_171	1.0	matched
155	r000000578	0	15919	421	155	f053	1.0	matched
156	r000000579	0	11986	171	156	megabase_171	1.0	matched
157	r000000581	0	4497	421	157	f052	1.0	matched
158	r000000583	0	13516	421	158	f048	1.0	matched
159	r000000584	10193	13645	421	159	f041	1.0	matched
160	r000000601	0	15014	171	160	megabase_171	1.0	matched
161	r000000604	11622	12842	61	161	f001	1.0	matched
162	r000000605	0	10660	171	162	megabase_171	1.0	matched
163	r000000608	0	11352	421	163	f047	1.0	matched
164	r000000611	6229	7451	61	164	f003	0.9983633387888707	matched
165	r000000612	2258	11801	421	165	f049	1.0	matched
