read_id	length_bp	truth_positive	strand	negative_kind
r0000001	5000	1	+	NA
r0000002	5000	0	+	random
r0000003	5000	0	-	random
r0000004	4999	1	-	NA
r0000005	5000	0	+	random
r0000006	4997	1	+	NA
r0000007	5000	0	-	random
r0000008	5001	1	+	NA
r0000009	4997	1	-	NA
r0000010	5000	0	-	random
r0000011	4999	1	+	NA
r0000012	4999	1	+	NA
r0000013	4999	1	-	NA
r0000014	5001	1	-	NA
r0000015	5000	0	-	random
r0000016	4995	1	+	NA
r0000017	5000	0	-	random
r0000018	5000	0	-	random
r0000019	4999	1	-	NA
r0000020	5000	0	+	random
r0000021	5000	0	+	random
r0000022	5002	1	-	NA
r0000023	4999	1	-	NA
r0000024	5002	1	+	NA
r0000025	5000	0	+	random
r0000026	5006	1	-	NA
r0000027	5002	1	+	NA
r0000028	4999	1	+	NA
r0000029	5000	1	-	NA
r0000030	5000	0	+	random
r0000031	4999	1	-	NA
r0000032	5000	0	-	random
r0000033	5000	1	+	NA
r0000034	4998	1	+	NA
r0000035	4998	1	-	NA
r0000036	5001	1	-	NA
r0000037	5002	1	+	NA
r0000038	4998	1	+	NA
r0000039	5000	1	+	NA
r0000040	5000	0	-	random
r0000041	5000	0	+	random
r0000042	5000	0	+	random
r0000043	4998	1	-	NA
r0000044	5000	0	-	random
r0000045	4999	1	-	NA
r0000046	5001	1	+	NA
r0000047	5002	1	+	NA
r0000048	5000	0	+	random
r0000049	5000	0	-	random
r0000050	4999	1	-	NA
r0000051	5000	0	+	random
r0000052	5001	1	+	NA
r0000053	5000	1	+	NA
r0000054	4999	1	-	NA
r0000055	5003	1	-	NA
r0000056	5001	1	+	NA
r0000057	5000	0	+	random
r0000058	5000	1	+	NA
r0000059	4999	1	+	NA
r0000060	4997	1	+	NA
r0000061	4999	1	+	NA
r0000062	5000	1	-	NA
r0000063	4998	1	-	NA
r0000064	4999	1	-	NA
r0000065	5001	1	+	NA
r0000066	5001	1	+	NA
r0000067	5000	0	-	random
r0000068	4999	1	-	NA
r0000069	4999	1	-	NA
r0000070	4999	1	-	NA
r0000071	5000	0	-	random
r0000072	4998	1	+	NA
r0000073	5001	1	-	NA
r0000074	5000	0	-	random
r0000075	4997	1	-	NA
r0000076	4997	1	-	NA
r0000077	4999	1	-	NA
r0000078	5000	1	-	NA
r0000079	5002	1	-	NA
r0000080	4998	1	-	NA
r0000081	5000	0	-	random
r0000082	4999	1	-	NA
r0000083	5004	1	+	NA
r0000084	5001	1	+	NA
r0000085	5001	1	-	NA
r0000086	5000	0	-	random
r0000087	5001	1	+	NA
r0000088	5002	1	-	NA
r0000089	4999	1	-	NA
r0000090	5000	1	-	NA
r0000091	5000	0	-	random
r0000092	5000	1	+	NA
r0000093	5001	1	+	NA
r0000094	4999	1	-	NA
r0000095	5000	1	-	NA
r0000096	4999	1	-	NA
r0000097	5000	0	+	random
r0000098	5000	0	-	random
r0000099	4998	1	+	NA
r0000100	5000	0	+	random
