chrom	family_id	start	end	period	copies	repeat_bp	requested_gc	founder_gc	unit_substitution_rate	observed_unit_substitutions	founder_sha256
chr_sim	f001	139261	140481	61	20	1220	0.3	0.2786885245901639	0	0	dce1cdca51c22497fc9f797c00efff915bed83b48febff1e655d4da791011745
chr_sim	f002	279742	280962	61	20	1220	0.3	0.29508196721311475	0.02	21	d59a61907fb0806744cb80a5c17218a7824282a626582ac05ac7ed4d075bc3b5
chr_sim	f003	420223	421443	61	20	1220	0.5	0.5409836065573771	0	0	801e95d1c120d6c55953945d35cc3728dbcd01c443c7c023e55e80a24ccccd50
chr_sim	f004	560704	561924	61	20	1220	0.5	0.4918032786885246	0.02	25	48a39597297faa4b87be9b548a0be8d2755a7b8f5155352ed342018e41e91c31
chr_sim	f005	701185	702405	61	20	1220	0.7	0.7540983606557377	0	0	09345b31760ac4176b53f20ca2789dff5d9027d9f2254889ba6aaae37fb71e81
chr_sim	f006	841666	842886	61	20	1220	0.7	0.6721311475409836	0.02	25	c3a43af63a482b24077a45b4edc76a7d670232172363cdff266bf952ce237715
chr_sim	f007	982147	987027	61	80	4880	0.3	0.2786885245901639	0	0	73ebc2535636d25242c06b5e96d7debc2a89d46354d79fd53da36083fea6c9a1
chr_sim	f008	1126288	1131168	61	80	4880	0.3	0.32786885245901637	0.02	103	cc2d0102795c0007759c794123d7729bbbdd294c3621683313b16e3c37a099ef
chr_sim	f009	1270429	1275309	61	80	4880	0.5	0.36065573770491804	0	0	33ff1234c8f03cf744b7857dd792df78cb9f59442a87731b649cc7d57c512ab3
chr_sim	f010	1414570	1419450	61	80	4880	0.5	0.5901639344262295	0.02	104	35b8d00a0ef8342cca9a3bf604f04725d861e9d8139b975bc6594c111d04e191
chr_sim	f011	1558711	1563591	61	80	4880	0.7	0.7213114754098361	0	0	791958b77597308369c0b50d46d52612998090cafccc1317e06e48be5a6fce11
chr_sim	f012	1702852	1707732	61	80	4880	0.7	0.6885245901639344	0.02	105	0d50c008ad986d46b6dab00767810e2b7c16937d1269b53d2b310f07f616e04a
chr_sim	f013	1846993	1859193	61	200	12200	0.3	0.3770491803278688	0	0	9be672c7ff52eb446da3df80e5bbc70a5f5d0314e5e7446622c72ff9672c6d3e
