family_id	monomer_id	monomer_length_bp	consensus_md5	gc_fraction	support_read_count	support_span_bp	mean_identity	low_complexity_flag	confidence	warning
TXF000001	TXM000001	185	9c9dd917017cf0909ef071725eda3314	0.5676	1727	2403575	0.9075	false	high	operational_monomer_cluster;observed_consensus_representative;uncalibrated_confidence;cluster_identity=0.95;possible_higher_order_or_partial:TXF000001-TXF000022;possible_higher_order_or_partial:TXF000001-TXF000135;possible_higher_order_or_partial:TXF000001-TXF000434
TXF000002	TXM000002	312	d1866d79b88fb7d3a86655f47206327d	0.5192	1722	2338490	0.9837	false	high	operational_monomer_cluster;observed_consensus_representative;uncalibrated_confidence;cluster_identity=0.95
TXF000003	TXM000003	178	eca686edbe4dbcde6a466ee20b66aa74	0.3820	1346	23844471	0.9366	false	high	operational_monomer_cluster;observed_consensus_representative;uncalibrated_confidence;cluster_identity=0.95;possible_higher_order_or_partial:TXF000003-TXF000004;possible_higher_order_or_partial:TXF000003-TXF000005;possible_higher_order_or_partial:TXF000003-TXF000006;possible_higher_order_or_partial:TXF000003-TXF000010;possible_higher_order_or_partial:TXF000003-TXF000011;possible_higher_order_or_partial:TXF000003-TXF000012;possible_higher_order_or_partial:TXF000003-TXF000025;possible_higher_order_or_partial:TXF000003-TXF000039;possible_higher_order_or_partial:TXF000003-TXF000049;possible_higher_order_or_partial:TXF000003-TXF000061;possible_higher_order_or_partial:TXF000003-TXF000076;possible_higher_order_or_partial:TXF000003-TXF000172;possible_higher_order_or_partial:TXF000003-TXF000319;possible_higher_order_or_partial:TXF000003-TXF000321;possible_higher_order_or_partial:TXF000003-TXF000402;possible_higher_order_or_partial:TXF000003-TXF000404;possible_higher_order_or_partial:TXF000003-TXF000559;possible_higher_order_or_partial:TXF000003-TXF000561;possible_higher_order_or_partial:TXF000003-TXF000569;possible_higher_order_or_partial:TXF000003-TXF000574;possible_higher_order_or_partial:TXF000003-TXF000580;possible_higher_order_or_partial:TXF000003-TXF000587;possible_higher_order_or_partial:TXF000003-TXF000821;possible_higher_order_or_partial:TXF000003-TXF000835;possible_higher_order_or_partial:TXF000003-TXF001091;possible_higher_order_or_partial:TXF000003-TXF001096;possible_higher_order_or_partial:TXF000003-TXF001524;possible_higher_order_or_partial:TXF000003-TXF001546;possible_higher_order_or_partial:TXF000003-TXF001550;possible_higher_order_or_partial:TXF000003-TXF001551;possible_higher_order_or_partial:TXF000003-TXF001553;possible_higher_order_or_partial:TXF000003-TXF001579
TXF000004	TXM000004	356	e851b8ebf3ecfec31154b5e1528c2055	0.3933	1244	23180839	0.9327	false	high	operational_monomer_cluster;observed_consensus_representative;uncalibrated_confidence;cluster_identity=0.95;possible_higher_order_or_partial:TXF000003-TXF000004;possible_higher_order_or_partial:TXF000004-TXF000005;possible_higher_order_or_partial:TXF000004-TXF000006;possible_higher_order_or_partial:TXF000004-TXF000010;possible_higher_order_or_partial:TXF000004-TXF000011;possible_higher_order_or_partial:TXF000004-TXF000012;possible_higher_order_or_partial:TXF000004-TXF000018;possible_higher_order_or_partial:TXF000004-TXF000023;possible_higher_order_or_partial:TXF000004-TXF000025;possible_higher_order_or_partial:TXF000004-TXF000047;possible_higher_order_or_partial:TXF000004-TXF000069;possible_higher_order_or_partial:TXF000004-TXF000075;possible_higher_order_or_partial:TXF000004-TXF000172;possible_higher_order_or_partial:TXF000004-TXF000404;possible_higher_order_or_partial:TXF000004-TXF000559;possible_higher_order_or_partial:TXF000004-TXF000561;possible_higher_order_or_partial:TXF000004-TXF000572;possible_higher_order_or_partial:TXF000004-TXF000574;possible_higher_order_or_partial:TXF000004-TXF000821;possible_higher_order_or_partial:TXF000004-TXF001091;possible_higher_order_or_partial:TXF000004-TXF001517;possible_higher_order_or_partial:TXF000004-TXF001524
TXF000005	TXM000005	178	19a3ad8ced435e50a42de08cd55f2471	0.3876	1213	17080563	0.9268	false	high	operational_monomer_cluster;observed_consensus_representative;uncalibrated_confidence;cluster_identity=0.95;possible_higher_order_or_partial:TXF000003-TXF000005;possible_higher_order_or_partial:TXF000004-TXF000005;possible_higher_order_or_partial:TXF000005-TXF000006;possible_higher_order_or_partial:TXF000005-TXF000010;possible_higher_order_or_partial:TXF000005-TXF000011;possible_higher_order_or_partial:TXF000005-TXF000012;possible_higher_order_or_partial:TXF000005-TXF000018;possible_higher_order_or_partial:TXF000005-TXF000019;possible_higher_order_or_partial:TXF000005-TXF000023;possible_higher_order_or_partial:TXF000005-TXF000025;possible_higher_order_or_partial:TXF000005-TXF000038;possible_higher_order_or_partial:TXF000005-TXF000039;possible_higher_order_or_partial:TXF000005-TXF000047;possible_higher_order_or_partial:TXF000005-TXF000049;possible_higher_order_or_partial:TXF000005-TXF000061;possible_higher_order_or_partial:TXF000005-TXF000069;possible_higher_order_or_partial:TXF000005-TXF000075;possible_higher_order_or_partial:TXF000005-TXF000076;possible_higher_order_or_partial:TXF000005-TXF000080;possible_higher_order_or_partial:TXF000005-TXF000088;possible_higher_order_or_partial:TXF000005-TXF000138;possible_higher_order_or_partial:TXF000005-TXF000154;possible_higher_order_or_partial:TXF000005-TXF000172;possible_higher_order_or_partial:TXF000005-TXF000319;possible_higher_order_or_partial:TXF000005-TXF000321;possible_higher_order_or_partial:TXF000005-TXF000402;possible_higher_order_or_partial:TXF000005-TXF000404;possible_higher_order_or_partial:TXF000005-TXF000406;possible_higher_order_or_partial:TXF000005-TXF000559;possible_higher_order_or_partial:TXF000005-TXF000561;possible_higher_order_or_partial:TXF000005-TXF000565;possible_higher_order_or_partial:TXF000005-TXF000567;possible_higher_order_or_partial:TXF000005-TXF000569;possible_higher_order_or_partial:TXF000005-TXF000572;possible_higher_order_or_partial:TXF000005-TXF000574;possible_higher_order_or_partial:TXF000005-TXF000580;possible_higher_order_or_partial:TXF000005-TXF000587;possible_higher_order_or_partial:TXF000005-TXF000813;possible_higher_order_or_partial:TXF000005-TXF000821;possible_higher_order_or_partial:TXF000005-TXF000835;possible_higher_order_or_partial:TXF000005-TXF001091;possible_higher_order_or_partial:TXF000005-TXF001096;possible_higher_order_or_partial:TXF000005-TXF001517;possible_higher_order_or_partial:TXF000005-TXF001524;possible_higher_order_or_partial:TXF000005-TXF001546;possible_higher_order_or_partial:TXF000005-TXF001550;possible_higher_order_or_partial:TXF000005-TXF001551;possible_higher_order_or_partial:TXF000005-TXF001553;possible_higher_order_or_partial:TXF000005-TXF001579
TXF000006	TXM000006	534	df2b09e8b8cf64d3fe9de92bf4466de9	0.3933	1175	23738753	0.9382	false	high	operational_monomer_cluster;observed_consensus_representative;uncalibrated_confidence;cluster_identity=0.95;possible_higher_order_or_partial:TXF000003-TXF000006;possible_higher_order_or_partial:TXF000004-TXF000006;possible_higher_order_or_partial:TXF000005-TXF000006;possible_higher_order_or_partial:TXF000006-TXF000010;possible_higher_order_or_partial:TXF000006-TXF000011;possible_higher_order_or_partial:TXF000006-TXF000012;possible_higher_order_or_partial:TXF000006-TXF000018;possible_higher_order_or_partial:TXF000006-TXF000025;possible_higher_order_or_partial:TXF000006-TXF000047;possible_higher_order_or_partial:TXF000006-TXF000069;possible_higher_order_or_partial:TXF000006-TXF000075;possible_higher_order_or_partial:TXF000006-TXF000559;possible_higher_order_or_partial:TXF000006-TXF000561;possible_higher_order_or_partial:TXF000006-TXF000574
TXF000007	TXM000007	116	0c39fd27bc4e61b841f78de64584f0ac	0.5172	1157	397780	0.8251	false	medium	operational_monomer_cluster;observed_consensus_representative;uncalibrated_confidence;cluster_identity=0.95;likely_redundant:TXF000007-TXF000041;possible_higher_order_or_partial:TXF000007-TXF000346;possible_higher_order_or_partial:TXF000007-TXF000683
TXF000008	TXM000008	42	f382ea645f690e6a4cdcdc9a4c5a79c9	0.3095	728	83027	0.8206	false	medium	operational_monomer_cluster;observed_consensus_representative;uncalibrated_confidence;cluster_identity=0.95;possible_higher_order_or_partial:TXF000008-TXF000009
TXF000009	TXM000009	42	58e7f40a480eae8d54fa30b6961e088d	0.3333	699	79708	0.8204	false	medium	operational_monomer_cluster;observed_consensus_representative;uncalibrated_confidence;cluster_identity=0.95;possible_higher_order_or_partial:TXF000008-TXF000009
TXF000010	TXM000010	356	3d4cc4cc2e936a71be11a40871229fd4	0.3820	568	11710131	0.9421	false	high	operational_monomer_cluster;observed_consensus_representative;uncalibrated_confidence;cluster_identity=0.95;possible_higher_order_or_partial:TXF000003-TXF000010;possible_higher_order_or_partial:TXF000004-TXF000010;possible_higher_order_or_partial:TXF000005-TXF000010;possible_higher_order_or_partial:TXF000006-TXF000010;possible_higher_order_or_partial:TXF000010-TXF000011;possible_higher_order_or_partial:TXF000010-TXF000012;possible_higher_order_or_partial:TXF000010-TXF000023;possible_higher_order_or_partial:TXF000010-TXF000025;possible_higher_order_or_partial:TXF000010-TXF000039;possible_higher_order_or_partial:TXF000010-TXF000061;possible_higher_order_or_partial:TXF000010-TXF000075;possible_higher_order_or_partial:TXF000010-TXF000172;possible_higher_order_or_partial:TXF000010-TXF000319;possible_higher_order_or_partial:TXF000010-TXF000402;possible_higher_order_or_partial:TXF000010-TXF000559;possible_higher_order_or_partial:TXF000010-TXF000561;possible_higher_order_or_partial:TXF000010-TXF000574
