read_id	candidate_id	cluster_id	family_id	representative_sha256	edit_distance_upper_bound	similarity_lower_bound	minimum_cluster_identity	compatible_cluster_count	alternative_cluster_ids	status	warning
ERR8666125.68	TXC000001	TXG000013	TXF000010	707e83dffb76452f480caedfc9c6a1f8653d3fb3c41e647aa2c4cef77fab52e8	1	0.9971910112359551	0.95	2	TXG000011	assigned	multiple_compatible_clusters
ERR8666125.70	TXC000002	TXG000474	TXF001259	e0b5880849292c17147df4a1484bbbaa9dae47bb7ec92885b43af5a895f35f19	0	1.0	0.95	1		assigned	
ERR8666125.70	TXC000003	TXG000435	TXF000874	1156d0ab5f062608977aeec0627ad37bf918a34ab739416c197b98cf31b4a927	0	1.0	0.95	1		assigned	
ERR8666125.71	TXC000004	TXG000002	TXF000008	482d01b1c67a3c60f70fe87f8c91f3596e74d830b47ce85820fbf8d4fd0af52e	0	1.0	0.95	1		assigned	
ERR8666125.134	TXC000005	TXG000021	TXF000006	d81530c9a80cd3e75d548b8468809c2286cd9c26cd8dfd106b9e9b4b13db6c4a	9	0.9831460674157303	0.95	2	TXG000027	assigned	multiple_compatible_clusters
ERR8666125.184	TXC000006	TXG003409	NA	5ce0ca4d44ded71d366136b5b7d6a2126dfc9512933de848a7de5b65737f42a1	0	1.0	0.95	1		below_minimum_support	
ERR8666125.184	TXC000007	TXG003232	NA	822e1850838012cb4fdc3fddc9b94e4fa1b2d3ce2a8738da3c9a89dafeac24da	0	1.0	0.95	1		below_minimum_support	
ERR8666125.184	TXC000008	TXG001204	NA	4e80d4e14e2970cd33f505ff65c8de1365dd19c1408995017cab3bd21ae773b7	0	1.0	0.95	1		below_minimum_support	
ERR8666125.263	TXC000009	TXG002649	NA	861dc8e58839924f529d48ab01c018ce71ea9ec4dc4d5b441cc1d1c7ebf98861	0	1.0	0.95	1		below_minimum_support	
ERR8666125.263	TXC000010	TXG002624	TXF001465	9d3522c00805c924b94895ecd9c1135b8e018e5918b6effd8c18228bbc4e6d8b	0	1.0	0.95	1		assigned	
ERR8666125.310	TXC000011	TXG000004	TXF000002	5389f9092d116a27b9fdd409ca07c0e976fef0da37c7bfb55742ca8a58062e84	6	0.9807692307692307	0.95	1		assigned	
