read_id	length_bp	gc_bin_5pct	max_purine_pyrimidine_bin_5pct	any_alignment_span_bp	primary_span_bp	primary_mapq20_span_bp	primary_rows	secondary_rows	organelle_primary_rows
ERR6210723.100692	12768	7	10	12768	12768	12768	1	0	0
ERR6210723.102798	16685	8	10	16685	16685	16685	1	1	1
ERR6210723.103187	14154	8	10	14154	14154	14154	1	0	1
ERR6210723.107003	16678	7	10	16678	16678	16678	1	0	0
ERR6210723.108355	13068	7	10	13062	13062	13062	1	0	0
ERR6210723.108687	18518	7	10	18518	18518	18518	1	0	1
ERR6210723.108757	17363	6	10	17356	17356	17356	1	0	0
ERR6210723.109457	14314	9	10	14314	14314	14314	1	1	0
ERR6210723.109950	16660	6	10	16660	16660	16660	1	0	1
ERR6210723.111005	15575	6	10	15573	15573	15573	1	0	0
ERR6210723.111075	14245	7	10	14245	14245	0	1	1	1
ERR6210723.11257	17548	6	10	17548	17548	17548	1	0	1
ERR6210723.112749	20424	7	10	20424	20424	20424	1	0	0
ERR6210723.113985	15141	7	10	15141	15141	15141	1	0	1
ERR6210723.115481	14133	6	10	14133	14133	14133	1	0	0
ERR6210723.115488	17262	6	10	17262	17262	17262	1	0	1
ERR6210723.116369	15109	7	10	15109	15109	15109	1	0	0
ERR6210723.117626	15588	6	10	15580	15580	15580	1	0	0
ERR6210723.11789	9150	7	10	9150	9150	9150	1	0	0
ERR6210723.117917	17568	7	10	17568	17568	17568	1	0	0
ERR6210723.11837	16316	8	10	16316	16316	16316	1	1	0
ERR6210723.125014	14456	6	10	14456	14456	14456	1	0	1
ERR6210723.125986	17383	6	10	17383	17383	17383	1	0	0
ERR6210723.126533	15822	7	10	15822	15822	15822	1	0	1
ERR6210723.127920	17178	7	10	17178	17178	17178	1	0	0
ERR6210723.128177	15324	6	10	15324	15324	15324	1	0	0
ERR6210723.128765	15959	7	10	15954	15954	15954	1	0	1
ERR6210723.129375	15717	7	11	15717	15717	15717	1	0	0
ERR6210723.130585	14955	6	10	14955	14955	14955	1	0	0
ERR6210723.131355	19350	7	10	19350	19350	19350	1	0	0
ERR6210723.133214	16535	8	10	16535	16535	16535	1	0	0
ERR6210723.134171	19859	7	10	19859	19859	19859	1	0	0
ERR6210723.134242	15719	8	10	15719	15719	15719	1	0	0
ERR6210723.135441	16490	5	10	16490	16490	16490	1	0	1
ERR6210723.135966	15238	7	10	15238	15238	15238	2	0	0
ERR6210723.136105	17187	7	10	17187	17187	17187	1	0	0
ERR6210723.136277	18912	7	10	18912	18912	18912	1	0	0
ERR6210723.137081	14709	6	10	14709	14709	14709	1	0	0
ERR6210723.137201	16250	7	10	16250	16250	16250	1	0	0
ERR6210723.138386	20656	7	10	20654	20654	20654	1	0	0
ERR6210723.139140	16462	6	10	16462	16462	16462	1	0	0
ERR6210723.139949	13983	6	10	13983	13983	13983	1	0	0
ERR6210723.140009	15244	6	10	15244	15244	15244	1	0	1
ERR6210723.14028	14631	6	10	14631	14631	14631	1	0	1
ERR6210723.144797	14705	9	10	14704	14704	0	1	1	1
ERR6210723.145716	15248	7	10	15248	15248	15248	1	0	0
ERR6210723.145754	14899	7	10	14898	14898	14898	1	0	0
ERR6210723.145998	15163	7	10	15147	15147	15147	1	0	0
ERR6210723.146483	19231	7	10	19231	19231	19231	1	0	0
ERR6210723.150481	17983	6	10	17983	17983	17983	1	0	0
ERR6210723.151394	15946	7	10	15924	15924	15924	1	0	0
ERR6210723.151482	14190	7	10	14190	14190	14190	1	0	0
ERR6210723.151865	16653	7	10	16653	16653	16653	1	0	0
ERR6210723.152781	15776	7	10	15776	15776	15776	1	0	0
ERR6210723.154138	16168	7	10	16168	16168	16168	1	0	0
ERR6210723.155236	15662	7	10	15662	15662	15662	1	0	0
ERR6210723.157738	16513	7	11	16513	16513	16513	1	0	0
ERR6210723.157888	15115	6	10	15115	15115	15115	1	0	0
ERR6210723.158710	15593	7	10	15568	15568	15568	1	0	0
ERR6210723.159699	14514	7	10	14514	14514	14514	1	0	1
ERR6210723.159808	16182	7	10	16182	16182	16182	1	0	0
ERR6210723.160252	15662	7	10	15662	15662	15662	1	0	1
ERR6210723.16230	14421	7	10	14420	14420	14420	1	0	0
ERR6210723.164317	17270	10	10	17270	17270	0	1	5	0
ERR6210723.16848	14366	7	10	14366	14366	14366	1	0	0
ERR6210723.168848	15697	7	10	15697	15697	15697	1	0	0
ERR6210723.169346	17370	6	10	17370	17370	17370	1	0	1
ERR6210723.169635	18602	7	10	18602	18602	18602	1	0	0
ERR6210723.172155	15078	7	10	15078	15078	15078	1	0	0
ERR6210723.173382	14527	7	10	14520	14520	14520	1	0	0
ERR6210723.174491	13957	6	10	13952	13952	13952	1	0	0
ERR6210723.175361	14481	7	10	14481	14481	14481	1	0	0
ERR6210723.176815	15434	7	10	15434	15434	15434	1	0	0
ERR6210723.176950	14375	7	10	14375	14375	14375	1	0	0
ERR6210723.177171	15570	8	10	15570	15570	0	1	5	0
ERR6210723.178003	14986	7	11	14986	14986	14986	1	0	0
ERR6210723.17930	17012	6	10	17011	17011	17011	1	0	0
ERR6210723.18027	20095	8	10	20095	20095	20095	1	0	0
ERR6210723.181495	15199	7	10	15199	15199	15199	1	0	0
ERR6210723.183289	15703	6	10	15702	15702	15702	1	0	0
ERR6210723.185692	14856	6	10	14856	14856	14856	1	0	0
ERR6210723.186220	14520	7	10	14520	14520	14520	1	0	1
ERR6210723.18668	14491	7	10	14491	14491	14491	1	0	0
ERR6210723.187205	14177	8	10	14177	14177	7050	2	2	1
ERR6210723.19053	17281	7	10	17281	17281	17281	1	0	0
ERR6210723.191330	14613	7	10	14613	14613	14613	1	0	0
ERR6210723.195303	15556	6	10	15555	15555	15555	1	0	0
ERR6210723.195885	16970	7	10	16970	16970	16970	1	0	0
ERR6210723.196294	15637	7	10	15636	15636	15636	1	0	0
ERR6210723.197694	15358	7	10	15358	15358	15358	1	0	0
ERR6210723.1996	13116	7	11	13116	13116	13116	1	0	0
ERR6210723.199952	15790	7	10	15789	15789	15789	2	0	1
ERR6210723.203282	13789	7	10	13789	13789	4108	2	1	2
ERR6210723.204195	17773	7	10	17748	17748	17748	1	0	0
ERR6210723.204261	14412	7	10	14409	14409	14409	1	0	1
ERR6210723.205227	17449	7	10	17449	17449	17449	1	0	0
ERR6210723.208187	15396	6	10	15396	15396	15396	1	0	1
ERR6210723.212083	16755	6	10	16753	16753	16753	1	0	1
ERR6210723.213927	16082	7	10	16082	16082	16082	1	0	1
ERR6210723.214023	18020	6	10	18013	18013	18013	1	0	0
ERR6210723.214999	14867	6	10	14867	14867	14867	1	0	1
ERR6210723.21514	16431	6	10	16430	16430	16430	1	0	0
ERR6210723.215356	15069	7	10	15069	15069	15069	1	0	0
ERR6210723.216482	15222	6	10	15222	15222	15222	1	0	0
ERR6210723.217161	16640	7	10	16640	16640	16640	1	0	0
ERR6210723.220549	17128	6	10	17128	17128	17128	1	0	0
ERR6210723.221441	17736	6	10	17736	17736	17736	1	0	0
ERR6210723.223008	16159	7	10	16159	16159	2282	2	1	2
ERR6210723.223646	14501	9	10	14494	14494	0	1	1	1
ERR6210723.223664	15044	6	10	15038	15038	15038	1	0	0
ERR6210723.228829	14741	10	10	14741	14741	0	1	5	0
ERR6210723.229887	15823	7	11	15823	15823	15823	1	0	0
ERR6210723.230208	16377	7	10	16377	16377	16377	1	0	0
ERR6210723.231225	16191	6	10	16191	16191	10685	2	1	2
ERR6210723.23142	15813	8	10	15813	15813	0	1	1	1
ERR6210723.231860	17991	6	10	17990	17990	17990	1	0	1
ERR6210723.232175	17208	6	10	17207	17207	17207	1	0	0
ERR6210723.232438	14124	7	10	14124	14124	14124	1	0	1
ERR6210723.232774	14475	6	10	14475	14475	14475	1	0	0
ERR6210723.233737	15320	5	10	15319	15319	15319	1	0	1
ERR6210723.233782	17770	7	10	17770	17770	17770	1	0	0
ERR6210723.234739	17227	5	10	17221	17221	17221	1	0	0
ERR6210723.236473	17301	7	10	17301	17301	17301	1	0	0
ERR6210723.237069	14417	6	10	14417	14417	14417	1	0	0
ERR6210723.237398	15758	10	10	15758	15758	15758	1	5	0
ERR6210723.237821	8072	8	10	8072	8072	0	1	1	1
ERR6210723.238519	15773	7	10	15773	15773	15773	1	0	0
ERR6210723.239137	16421	6	10	16421	16421	16421	1	0	1
ERR6210723.239192	16507	10	10	16507	16507	0	1	5	0
ERR6210723.240901	16792	7	10	16792	16792	16792	1	0	0
ERR6210723.241234	14343	6	10	14343	14343	14343	1	0	0
ERR6210723.242709	15530	7	11	15530	15530	15530	1	0	0
ERR6210723.245791	14423	7	10	14423	14423	14423	1	0	0
ERR6210723.246178	14435	6	10	14435	14435	14435	1	0	1
ERR6210723.248665	16319	6	10	16319	16319	9773	2	1	2
ERR6210723.25002	15538	6	11	15534	15534	15534	2	0	1
ERR6210723.25146	16713	7	10	16713	16713	16713	1	0	0
ERR6210723.251667	15339	7	10	15339	15339	15339	1	0	0
ERR6210723.252462	17315	7	10	17315	17315	17315	1	0	0
ERR6210723.253439	19300	6	10	19299	19299	19299	1	0	0
ERR6210723.253633	14149	6	10	14149	14149	14149	1	0	1
ERR6210723.256752	14203	8	10	14203	14203	14203	1	0	0
ERR6210723.257373	16485	6	10	16485	16485	16485	1	0	1
ERR6210723.258131	15259	7	10	15259	15259	15259	1	0	0
ERR6210723.25922	19015	7	10	19015	19015	19015	1	0	0
ERR6210723.260037	17739	7	10	17734	17734	17734	1	0	1
ERR6210723.260921	15053	7	10	15053	15053	15053	1	0	0
ERR6210723.265111	16423	6	10	16423	16423	16423	1	0	0
ERR6210723.265456	13678	6	10	13671	13671	13671	1	0	0
ERR6210723.267188	14611	6	10	14606	14606	14606	1	0	0
ERR6210723.268784	15159	6	10	15159	15159	15159	1	0	0
ERR6210723.269547	17546	7	10	17546	17546	17546	1	0	1
ERR6210723.27025	13708	8	10	13708	13708	0	1	1	1
ERR6210723.271319	14264	7	10	14264	14264	14264	1	0	1
ERR6210723.271700	16710	6	10	16710	16710	16710	1	0	0
ERR6210723.272043	15841	8	10	15841	15841	15841	1	0	0
ERR6210723.275195	17184	7	10	17184	17184	17184	1	0	0
ERR6210723.275839	14327	6	10	14327	14327	14327	1	0	0
ERR6210723.277383	13809	6	10	13809	13809	13809	1	0	0
ERR6210723.279262	15207	6	10	15207	15207	15207	1	0	1
ERR6210723.279320	15955	8	10	15955	15955	15955	1	0	0
ERR6210723.284466	16231	6	10	16231	16231	16231	1	0	0
ERR6210723.285579	15049	10	10	15049	15049	0	1	5	0
ERR6210723.286009	14615	6	10	14615	14615	14615	1	0	0
ERR6210723.286475	18180	7	10	18174	18174	18174	1	0	1
ERR6210723.288265	14771	9	10	14771	14771	0	1	1	1
ERR6210723.288408	17408	6	10	17408	17408	17408	1	0	0
ERR6210723.289157	15205	7	10	15205	15205	15205	1	0	0
ERR6210723.291431	14602	7	10	14602	14602	14602	1	0	0
ERR6210723.293095	14714	7	10	14714	14714	14714	1	0	0
ERR6210723.295280	16424	7	10	16424	16424	16424	1	0	0
ERR6210723.295641	16800	7	10	16794	16794	16794	1	0	0
ERR6210723.296854	16860	6	10	16860	16860	16860	1	0	1
ERR6210723.297032	16627	6	10	16624	16624	16624	1	0	0
ERR6210723.297227	14642	7	10	14642	14642	14642	1	0	0
ERR6210723.298218	14064	6	10	14064	14064	14064	1	0	0
ERR6210723.299040	14964	6	10	14964	14964	14964	1	0	1
ERR6210723.299624	17742	8	10	17742	17742	17742	1	1	1
ERR6210723.300233	14707	6	10	14707	14707	14707	2	0	0
ERR6210723.301588	14050	7	10	14049	14049	14049	1	0	0
ERR6210723.304354	15241	6	10	15241	15241	8266	2	1	2
ERR6210723.305143	15288	7	11	15288	15288	15288	1	0	0
ERR6210723.305310	14166	7	11	14161	14161	14161	1	0	0
ERR6210723.306667	14351	7	10	14351	14351	14351	1	0	0
ERR6210723.307471	19357	7	10	19357	19357	19357	1	0	0
ERR6210723.308038	15250	7	10	15250	15250	15250	1	0	0
ERR6210723.308377	17178	7	10	17178	17178	17178	1	0	0
ERR6210723.310854	14204	7	10	14204	14204	14204	1	0	0
ERR6210723.311077	14086	9	10	14086	14086	0	1	1	1
ERR6210723.313026	14812	7	10	14812	14812	14812	1	0	0
ERR6210723.316660	15650	6	10	15650	15650	15650	1	0	0
ERR6210723.316730	14767	7	10	14767	14767	14767	1	0	0
ERR6210723.317023	14821	6	10	14821	14821	14821	1	0	0
ERR6210723.317171	14585	7	10	14585	14585	14585	1	0	0
ERR6210723.319126	16106	10	10	16106	16106	16106	1	5	0
ERR6210723.323210	15101	6	10	15101	15101	15101	1	0	1
ERR6210723.32427	17966	7	10	17966	17966	17966	1	0	1
ERR6210723.324533	14744	7	10	14741	14741	14741	1	0	0
ERR6210723.327453	15003	6	10	15003	15003	15003	1	0	0
ERR6210723.327793	14912	7	10	14912	14912	14912	1	0	0
ERR6210723.329492	17592	8	10	17592	17592	17592	1	0	0
ERR6210723.331355	14740	7	10	14740	14740	2373	2	1	2
ERR6210723.331929	13941	6	10	13938	13938	13938	1	0	0
ERR6210723.339108	16466	8	10	16466	16466	16466	1	1	1
ERR6210723.345657	17973	7	10	17973	17973	6310	2	1	2
ERR6210723.345708	14550	6	10	14550	14550	14550	1	0	0
ERR6210723.345854	18364	7	10	18364	18364	18364	1	0	1
ERR6210723.346812	15328	7	10	15328	15328	15328	1	0	1
ERR6210723.351546	14720	10	10	14720	14720	14720	1	5	0
ERR6210723.353646	19099	7	10	19093	19093	19093	1	0	0
ERR6210723.354008	15124	7	10	15116	15116	15116	1	0	0
ERR6210723.356190	15892	7	10	15892	15892	15892	1	0	0
ERR6210723.356221	16119	7	10	16119	16119	16119	1	0	0
ERR6210723.357421	14647	7	10	14647	14647	14647	1	0	0
ERR6210723.358129	15819	7	10	15819	15819	15819	1	0	1
ERR6210723.360059	16988	7	10	16988	16988	16988	1	0	1
ERR6210723.361322	14453	7	10	14453	14453	14453	1	0	0
ERR6210723.363712	8839	7	10	8839	8839	8839	1	0	0
ERR6210723.365100	16450	7	10	16450	16450	16450	1	0	1
ERR6210723.365738	15782	6	10	15782	15782	15782	1	0	0
ERR6210723.365879	13068	7	10	13068	13068	1413	2	1	2
ERR6210723.366134	14063	8	10	14063	14063	14063	1	0	0
ERR6210723.36661	15306	6	10	15306	15306	15306	1	0	0
ERR6210723.367016	14576	6	10	14576	14576	14576	1	0	1
ERR6210723.367675	18652	7	10	18652	18652	18652	1	0	0
ERR6210723.370274	17292	7	10	17292	17292	17292	1	0	0
ERR6210723.37045	15032	7	10	15032	15032	15032	1	0	0
ERR6210723.37223	15821	6	10	15821	15821	14036	2	1	2
ERR6210723.372336	13828	7	10	13828	13828	13828	1	0	0
