sequence_id	length_bp
GWHBWDJ00000001.1	59750379
GWHBWDJ00000002.1	54995391
GWHBWDJ00000003.1	48699167
GWHBWDJ00000004.1	55429011
GWHBWDJ00000005.1	44653506
GWHBWDJ00000006.1	53453164
GWHBWDJ00000007.1	47107907
GWHBWDJ00000008.1	50519958
GWHBWDJ00000009.1	51438404
GWHBWDJ00000010.1	55144513
GWHBWDJ00000011.1	41493097
GWHBWDJ00000012.1	42949683
GWHBWDJ00000013.1	46997782
GWHBWDJ00000014.1	52529456
GWHBWDJ00000015.1	54282814
GWHBWDJ00000016.1	38312285
GWHBWDJ00000017.1	43974151
GWHBWDJ00000018.1	60625348
GWHBWDJ00000019.1	52998867
GWHBWDJ00000020.1	51882786
