family_id	read_estimated_bp	old_assembly_bp	new_assembly_bp	sensitivity_assembly_bp	old_read_ratio	new_read_ratio	old_new_ratio	predicted_missing_bp	observed_gain_bp	reference_state	prediction_state	eligibility	fate	outcome
TXF000001	52757.5725	0.0	0.0	0.0	0.0	0.0	NA	52757.5725	0.0	unresolved	predicted_collapse	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000002	310457.0694	3317.0	49758.0	48509.0	0.010684246960169239	0.16027336757434457	0.06666264721250854	307140.0694	46441.0	reference_collapse	predicted_collapse	eligible	evaluated	TP
TXF000003	0.0	0.0	0.0	0.0	NA	NA	NA	0.0	0.0	unresolved	unresolved	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000004	0.0	0.0	0.0	0.0	NA	NA	NA	0.0	0.0	unresolved	unresolved	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000005	0.0	0.0	0.0	0.0	NA	NA	NA	0.0	0.0	unresolved	unresolved	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000006	0.0	0.0	0.0	0.0	NA	NA	NA	0.0	0.0	unresolved	unresolved	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000007	2.8093	0.0	0.0	0.0	0.0	0.0	NA	2.8093	0.0	unresolved	predicted_collapse	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000008	10353.3528	0.0	0.0	0.0	0.0	0.0	NA	10353.3528	0.0	unresolved	predicted_collapse	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000009	10971.9467	0.0	0.0	0.0	0.0	0.0	NA	10971.9467	0.0	unresolved	predicted_collapse	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000010	0.0	0.0	0.0	0.0	NA	NA	NA	0.0	0.0	unresolved	unresolved	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000011	0.0	0.0	0.0	0.0	NA	NA	NA	0.0	0.0	unresolved	unresolved	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000012	0.0	0.0	0.0	0.0	NA	NA	NA	0.0	0.0	unresolved	unresolved	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000013	0.0	0.0	0.0	0.0	NA	NA	NA	0.0	0.0	unresolved	unresolved	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000014	42.3811	0.0	0.0	0.0	0.0	0.0	NA	42.3811	0.0	unresolved	predicted_collapse	not_source_eligible	new_reference_below_primary_min_bp	NA
TXF000015	0.3956	0.0	0.0	0.0	0.0	0.0	NA	0.3956	0.0	unresolved	predicted_collapse	not_source_eligible	new_reference_below_primary_min_bp	NA
